timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
237941561,237940999,41,0,5589,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
238444108,238443547,41,0,5624,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
238951692,238951132,41,0,5661,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
239451732,239451170,41,0,5696,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
239954335,239953775,41,0,5732,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
240444294,240443734,41,0,5767,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
240939351,240938791,41,0,5803,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
241444376,241443815,41,0,5839,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
241942028,241941465,41,0,5874,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
242441976,242441415,41,0,5910,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
242947022,242946461,41,0,5946,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
243457068,243456503,41,0,5983,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
243939610,243939050,41,0,6017,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
244444652,244444092,41,0,6053,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
244937270,244936679,41,0,6088,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
245437254,245436692,41,0,6124,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
245942295,245941735,41,0,6160,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
246449886,246449317,41,0,6196,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
246957392,246956830,41,0,6233,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
247454933,247454373,41,0,6268,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
247939982,247939422,41,0,6303,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
248440030,248439470,41,0,6339,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
248942677,248942111,41,0,6374,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
249447693,249447133,41,0,6411,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
249945177,249944613,41,0,6446,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
250442748,250442187,41,0,6482,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
250942781,250942213,41,0,6517,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
251452861,251452265,41,0,6554,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
251937863,251937300,41,0,6588,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
252442909,252442348,41,0,6624,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
252940451,252939889,41,0,6660,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
253443003,253442441,41,0,6696,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
253945558,253944997,41,0,6732,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
254455599,254455036,41,0,6768,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
254958152,254957590,41,0,6804,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
255438374,255437814,41,0,6838,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
255935739,255935178,41,0,6874,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
256443438,256442877,41,0,6910,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
256948366,256947804,41,0,6946,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
257448566,257448005,41,0,6982,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
257953429,257952868,41,0,7018,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
258451007,258450447,41,0,7054,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
258951117,258950554,41,0,7089,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
259456256,259455695,41,0,7125,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
259941141,259940581,41,0,7160,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
260441177,260440613,41,0,7196,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
260953755,260953192,41,0,7232,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
261456274,261455713,41,0,7268,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
261941320,261940759,41,0,7303,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
262438864,262438303,41,0,7339,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
262936411,262935851,41,0,7374,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
263441473,263440913,41,0,7410,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
263949134,263948573,41,0,7446,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
264454079,264453516,41,0,7483,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
264939123,264938561,41,0,7517,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
265454166,265453605,41,0,7554,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
265951782,265951222,41,0,7589,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
266451793,266451233,41,0,7625,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
266954316,266953753,41,0,7661,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
267449371,267448806,41,0,7696,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
267951920,267951359,41,0,7732,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
268457046,268456406,41,0,7768,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
268957001,268956441,41,0,7804,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
269437053,269436491,41,0,7838,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
269937103,269936543,41,0,7874,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
270442160,270441598,41,0,7910,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
270957196,270956635,41,0,7947,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
271437345,271436783,41,0,7981,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
