timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
228329552,228229165,-0.87608886,-0.0066963914,0.006314467,-0.48206183,0.10914807,0.0026504965,-0.95481014,13.266145,0.90548366,1.0701168,1.9643327e-05,2.6016078e-05,3.2809807e-05,0.001101774,0.00011019226,-0.00011900786,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.6056396e-05,4.9410287e-06,5.042451e-06,6.217442e-05,0.009504072,0.009507869,0.011172239,0.05603859,0.05603836,0.1537677,1.9954143e-11,2.0064133e-11,4.3136696e-11,5.0000633e-08,5.985711e-08,5.0000363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
229339820,229239253,-0.86513656,-0.008860166,0.001523512,-0.50145596,0.107387975,-0.06194499,-1.0011982,13.408864,0.8816834,-0.015554516,1.9974434e-05,2.645119e-05,3.804637e-05,0.001102679,0.000101144324,-9.206187e-05,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.8642546e-05,4.955423e-06,5.048153e-06,5.982006e-05,0.009508238,0.0095069455,0.011213206,0.055701073,0.05570111,0.15478402,1.9918404e-11,2.0018862e-11,4.31741e-11,5.0000722e-08,5.985544e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
230339782,230239340,-0.8668293,-0.025078073,-0.007049321,-0.4979241,0.051034823,-0.14135744,-1.0035983,13.5599785,0.7329607,-1.0280085,2.0613517e-05,2.6582027e-05,4.309955e-05,0.0011040726,9.2516115e-05,-0.000103049475,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.9045857e-05,4.9654395e-06,5.1164175e-06,5.9522048e-05,0.009497663,0.009500087,0.011200802,0.05512221,0.05512201,0.15486102,1.988215e-11,1.9970945e-11,4.3195943e-11,5.000063e-08,5.9847515e-08,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
231329986,231229427,-0.8699439,-0.02364308,-0.00943735,-0.49249333,-0.14146863,-0.049162373,-1.004592,13.551442,0.6574788,-2.0528362,2.0733407e-05,2.6824693e-05,4.7756854e-05,0.001104329,8.582052e-05,-9.5234034e-05,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.9154593e-05,4.9545883e-06,5.0930926e-06,5.9499915e-05,0.009397782,0.009419392,0.011156653,0.0542632,0.054263372,0.1545237,1.9833838e-11,1.9903886e-11,4.3198677e-11,5.000054e-08,5.9834214e-08,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
232329968,232229515,-0.87469083,-0.025318133,0.008564149,-0.48394376,-0.1486888,-0.03944909,-1.0265799,13.402299,0.5410491,-3.079194,2.1129257e-05,2.6331245e-05,5.2184798e-05,0.0011045695,7.655301e-05,-9.1619884e-05,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.8916756e-05,4.9616137e-06,5.098077e-06,5.983499e-05,0.009388305,0.00939359,0.011155017,0.053753458,0.053754825,0.15462811,1.9800644e-11,1.9854153e-11,4.3212874e-11,5.0000537e-08,5.982115e-08,5.0000178e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
233330083,233229604,-0.891148,-0.020212982,0.015976986,-0.45298073,-0.09680058,0.04255835,-1.0110147,13.261837,0.45282534,-4.1457276,2.1363161e-05,2.549493e-05,5.6147404e-05,0.0011031423,6.738645e-05,-6.818432e-05,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.6539601e-05,4.9757737e-06,5.080451e-06,6.2357794e-05,0.009353579,0.0093415575,0.011158506,0.05322904,0.0532301,0.1547734,1.9765526e-11,1.9811802e-11,4.3238503e-11,5.0000633e-08,5.981478e-08,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
234330126,234229693,-0.90392673,-0.017772757,0.016727623,-0.42699063,0.025202943,0.14687607,-0.9863966,13.185139,0.52846766,-4.9704647,2.1191388e-05,2.5105293e-05,5.9620994e-05,0.0011017391,6.227338e-05,-0.00010544861,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.459361e-05,4.9686387e-06,5.0735553e-06,6.442543e-05,0.009370766,0.009358818,0.011176615,0.052848797,0.052848034,0.1551149,1.9734254e-11,1.977861e-11,4.3259188e-11,5.0005305e-08,5.9819335e-08,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
235330217,235229783,-0.9110851,-0.012129973,0.0067988634,-0.41198364,0.06692114,0.11024417,-1.2914593,13.246035,0.6738765,-5.8332253,2.1046591e-05,2.515713e-05,6.333514e-05,0.0011018519,5.755025e-05,-0.00015646844,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.3584023e-05,4.936858e-06,5.054639e-06,6.526138e-05,0.009520653,0.009524467,0.011141894,0.052536856,0.052535027,0.15357083,1.9704486e-11,1.9747023e-11,4.3208773e-11,5.000453e-08,5.981712e-08,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
236330274,236229873,-0.91531605,-0.018747538,-0.0030509336,-0.4022884,0.10105148,-0.045414403,-2.9391246,13.359796,0.73781043,-8.077013,2.103111e-05,2.5626357e-05,6.7192865e-05,0.0011042254,5.0932023e-05,-0.00021077416,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.3156479e-05,4.7846233e-06,4.907736e-06,6.5854576e-05,0.009988914,0.009988402,0.011167055,0.052319195,0.052318767,0.15405776,1.9574719e-11,1.9611195e-11,4.323218e-11,5.000063e-08,5.9758655e-08,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
237340411,237239965,-0.9093009,-0.019506482,0.00068864715,-0.41568124,-0.03756625,-0.054868516,-2.8239248,13.449902,0.7213641,-10.923744,2.1287762e-05,2.6050659e-05,7.046499e-05,0.0011055345,4.4543714e-05,-0.00018821158,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.45961e-05,4.7420885e-06,4.8411307e-06,6.462692e-05,0.009615773,0.009621633,0.011178445,0.052354105,0.052354734,0.15319878,1.9554943e-11,1.9584345e-11,4.3260603e-11,5.000081e-08,5.971171e-08,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
238330491,238230055,-0.90879935,-0.015954256,0.0011151722,-0.41692695,-0.07228098,-0.01746663,-2.7678783,13.426791,0.65219873,-13.817894,2.1784614e-05,2.6030777e-05,7.408411e-05,0.0011037831,4.0957228e-05,-0.00014757097,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.5030604e-05,4.750725e-06,4.8202073e-06,6.4304855e-05,0.00929722,0.009305656,0.011156935,0.05173493,0.051736057,0.15328951,1.9568045e-11,1.9589504e-11,4.3269124e-11,5.0000633e-08,5.9692304e-08,5.0000093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
239330659,239230146,-0.9094851,-0.022171669,0.005650871,-0.41510636,-0.08343275,0.012063152,-2.851004,13.39963,0.63140213,-16.684494,2.2208398e-05,2.6138132e-05,7.816342e-05,0.0011032064,3.729816e-05,-9.645081e-05,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.519228e-05,4.794898e-06,4.8614493e-06,6.3957144e-05,0.00921991,0.009225692,0.011167399,0.051354602,0.05135612,0.15389302,1.9596436e-11,1.9612808e-11,4.322061e-11,5.0002683e-08,5.96896e-08,5.0000363e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
240330626,240230238,-0.90712625,-0.02023063,0.0077388403,-0.42030102,-0.054159112,0.054931145,-2.9372263,13.321295,0.6113291,-19.623089,2.2416689e-05,2.5797443e-05,8.184333e-05,0.0011028071,3.4777284e-05,-5.8575468e-05,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.5976184e-05,4.8460047e-06,4.8833836e-06,6.335976e-05,0.009240339,0.009239912,0.011132766,0.051088516,0.05109003,0.1526699,1.9615328e-11,1.9629121e-11,4.3249238e-11,5.001012e-08,5.969425e-08,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
241330719,241230332,-0.9070314,-0.016530713,0.0062819566,-0.42069158,0.012164594,0.091066055,-2.9597125,13.28942,0.6864731,-22.556711,2.2388187e-05,2.5770125e-05,8.555935e-05,0.0011022544,3.088064e-05,-4.178429e-05,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.633473e-05,4.8783572e-06,4.8986944e-06,6.3195606e-05,0.009227155,0.009226354,0.01114701,0.050780836,0.050781697,0.15339649,1.9615523e-11,1.9630022e-11,4.3277226e-11,5.0017977e-08,5.969917e-08,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
242330812,242230422,-0.9095901,-0.012834146,-0.00590778,-0.41526636,0.01844849,0.022464287,-2.9671779,13.390656,0.8009955,-25.51718,2.2602502e-05,2.6365935e-05,8.9170586e-05,0.0011022274,2.8927221e-05,-2.2995513e-05,0.26281977,-0.03839576,0.40018925,0.0,0.0,0.0,0.0,0.0,2.6149904e-05,4.901304e-06,4.92327e-06,6.357309e-05,0.009241503,0.009239402,0.011167862,0.050567973,0.05056822,0.15409508,1.9612487e-11,1.9627836e-11,4.3302355e-11,5.0023246e-08,5.9700625e-08,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
