timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
217458715,217358250,8.646678e-05,0.0031282904,0.0072638444,67109399,0,0.3687234,0.39687556,0.07836987,0.030368028,0.010523256,0.017497052,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
217468911,217368251,0.00023250512,0.009005455,0.015034936,67109399,0,0.35309237,0.39317283,0.07836987,0.036031708,0.010389085,0.017497052,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
217658915,217558266,0.001210223,0.008064616,0.014563092,67109399,0,0.3519432,0.39151943,0.16978405,0.019670794,0.0091040395,0.018466318,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
217858781,217758282,0.0015961862,0.0036306633,0.008484482,67109399,0,0.36791438,0.39484018,0.18701266,0.019670794,0.0091040395,0.0115208635,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218058766,217958299,0.0015547575,0.001346327,0.0050161663,67109399,0,0.36748806,0.3963781,0.19944984,0.0056847255,0.008755646,0.020073405,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218258777,218158315,0.0012275361,0.0019710285,0.0059384853,67109399,0,0.36705273,0.3953868,0.16758192,0.01891984,0.009072129,0.017749779,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218458797,218358332,0.0015587326,0.002033723,0.0061613815,67109399,0,0.36660916,0.39694822,0.21017447,0.01981477,0.009528777,0.015788373,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218658799,218558348,0.0017128756,0.00059316086,0.0035141923,67109399,0,0.366086,0.39597836,0.19172348,0.006862513,0.0078085335,0.011776247,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
218858815,218758364,0.0010979959,0.0012504897,0.0044157896,67109399,0,0.36563045,0.3950149,0.15404023,0.020015707,0.009223988,0.016960615,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219058965,218958381,0.0012199228,0.0024142272,0.0037333411,67109399,0,0.34869567,0.3922284,0.169852,0.010575747,0.009033962,0.01771063,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219258911,219158397,0.0015200328,0.0013454374,0.0017323515,1049239,0,0.36476997,0.39568192,0.15786062,0.010575747,0.009033962,0.01980376,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219458855,219358414,0.0008349088,0.0010012372,0.0036314786,1049239,0,0.36431086,0.3947541,0.06895891,0.011688448,0.008348274,1.1754944e-38,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
219659099,219558430,0.0003064896,0.008269681,0.013517061,1049239,0,0.34733775,0.38955736,0.089832135,0.043718286,0.007015107,0.017534815,0.0,0.0,0.0,0.0,4259850,4325386,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
