timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
222358095,222358013,0.4076321,-0.21878758,-10.04387
222411583,222411502,-0.006706247,0.021758664,-10.273781
222460211,222460129,0.19955514,-0.022892851,-9.879207
222508909,222508757,0.3461949,0.26475224,-9.663259
222562330,222562248,0.0849895,-0.30946767,-9.633143
222610958,222610875,0.0052631986,-0.9196056,-10.387071
222659584,222659501,0.4918906,-0.4041419,-9.5241165
222708208,222708126,0.45914552,-0.11864523,-9.641851
222761697,222761613,-0.017410906,0.31362006,-9.275212
222810324,222810242,0.007511017,0.037663966,-11.186641
222858969,222858872,0.17258713,0.13647981,-8.962955
222912434,222912353,-0.10272501,-0.03765066,-8.537996
222961060,222960976,-0.38027635,-0.11557381,-9.685655
223009683,223009597,-0.16534542,0.021827968,-10.483165
223058806,223058711,-0.33677766,-0.21901219,-9.034934
223112283,223112201,-0.5292289,-0.4229774,-10.760689
223160909,223160823,-0.20360248,-0.18076327,-9.540535
223209530,223209447,-0.128693,-0.4296022,-10.149446
223263010,223262929,-0.23153748,-0.6140644,-10.077091
223311645,223311550,-0.1133345,-0.5612764,-10.262494
223360256,223360173,-0.3068853,-0.4462734,-10.410053
223408982,223408797,-0.40715823,-0.41413498,-10.444987
223462367,223462284,-0.075968176,-0.43844348,-9.509713
223510993,223510911,-0.19062348,-0.38050932,-10.398995
223559624,223559538,-0.029339697,-0.24153203,-10.421663
223613111,223613029,-0.40129322,-0.058927108,-10.250295
223661750,223661661,-0.27478677,-0.2930923,-10.245561
223710375,223710292,-0.3019935,0.031069623,-9.908493
223759008,223758925,-0.449055,0.03331061,-10.17688
223812589,223812421,-0.3815182,0.04637922,-9.96649
223861133,223861047,-0.25272936,-0.2580441,-9.94656
223909757,223909675,-0.27488193,-0.07015827,-9.838667
223958384,223958303,-0.1868046,-0.14882159,-9.771373
224011878,224011797,-0.36872464,-0.37669304,-8.848695
224060509,224060427,-0.26559588,-0.20326068,-9.111342
224109133,224109046,-0.25537625,-0.45679563,-10.012551
224162623,224162539,-0.32472402,0.0548625,-9.81715
224211723,224211642,-0.14435758,-0.18017112,-9.627527
224260350,224260267,-0.38861996,0.10809385,-9.930701
224309091,224308896,-0.30803367,-0.2924416,-10.393876
224357604,224357523,-0.2885383,-0.095145054,-10.082821
224411092,224411009,-0.5897377,-0.11429996,-9.945659
224459711,224459629,-0.46971023,-0.03159426,-9.951699
224508332,224508251,-0.39903536,-0.21464042,-10.161395
