timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
218261771,218136700,0.012927366,0.011324003,0.016718706,1,0,0,0,0,0,0,0,0,0,0
219269794,219139199,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
220266972,220132675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
221264869,221135676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
222262239,222130675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
223269983,223136689,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
224257558,224126674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
225265173,225139676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
226272817,226139676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
227270534,227140676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
228258122,228131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
229265707,229133681,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
230263486,230138683,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
231270963,231139970,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
232268569,232140675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
233266236,233135675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
234264044,234134675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
235261694,235131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
236269138,236135675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
237247098,237119675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
238264613,238133674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
239272067,239138680,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
240269840,240136698,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
241267387,241139687,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
