timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
219071404,218972173,3.0079389,3.7977512,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
219269468,219169731,-2.8763525,3.6849475,-2.5132132,-1.2565761,6.106744e-05,1.2566983,2.5133355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
220266692,220167395,-2.0631776,3.753495,-2.5111194,-1.254538,0.0020918332,1.2587802,2.5154567,-0.008754773,-0.002119545,-0.001239704,-0.007331483,-0.011976126,0.0264571,0.027688071,0.034379162,0.037283488,0.032387212,0.20002209,0.20001695,0.19998842,0.1999759,0.1999966
221264535,221165060,1.1574683,3.5640178,-2.5065656,-1.2498504,0.006802747,1.2633725,2.5199523,-0.0221502,-0.009654995,-0.0069502126,-0.017774269,-0.027168345,-0.05772887,-0.056512825,-0.044252865,-0.037892293,-0.046221144,0.19997089,0.19997495,0.20001392,0.20003335,0.20000689
222261977,222162725,2.4906368,3.5542166,-2.4747667,-1.2179576,0.039148923,1.2959051,2.5521472,0.02852626,0.0624052,0.031245107,-0.021872144,-0.02354905,-0.023237195,0.020522371,0.06626152,0.05075717,-0.0045420416,0.20005047,0.19982848,0.19984394,0.20007457,0.20020254
223269731,223170270,1.9152834,3.8600354,-2.4136183,-1.1563635,0.10082941,1.3571928,2.6131065,0.03288675,0.014289859,0.00562483,0.018863562,0.035700027,0.027805012,0.030884003,0.014143992,0.00073906034,0.009177165,0.19988279,0.19968744,0.19992429,0.20026538,0.20024005
224267041,224167936,1.3416203,3.4059775,-2.4456594,-1.1650008,0.09906644,1.3363926,2.5738416,0.2832169,0.28583467,0.11396909,0.00807254,0.10950389,-0.061691627,0.12092688,0.17718348,0.033879597,-0.11288445,0.19164933,0.1915842,0.20309196,0.21047477,0.20319971
225264907,225165604,1.4839718,3.2512786,-2.4637606,-1.1559227,0.12277191,1.3427566,2.5547028,0.12393627,0.34728467,0.22778185,-0.050560758,-0.11713022,-0.39186865,-0.20058765,0.063308254,0.033602297,-0.23651648,0.18383475,0.180091,0.20334765,0.2228158,0.20991084
226262394,226163272,1.3877351,2.938144,-2.4997287,-1.1439848,0.14704299,1.3287005,2.5038874,0.1720217,0.39321357,0.27845645,0.024136141,-0.0491658,-0.3037912,-0.12287566,0.12638703,0.10162207,-0.14275634,0.1656407,0.16259922,0.20968395,0.24654786,0.21552822
227260040,227160940,1.4006503,2.7876096,-2.5131276,-1.1326772,0.16870594,1.3316293,2.486445,-0.1487427,-0.032559276,0.09123987,0.056457702,-0.07785221,-0.22172427,-0.32769036,-0.24322124,-0.11188713,-0.09149213,0.1569443,0.15252006,0.21104595,0.25952187,0.2199678
