timestamp,instance_count,latitude,longitude,time_inside,acceptance_radius,loiter_radius,yaw,altitude,sequence_current,nav_cmd,frame,origin,loiter_exit_xtrack,force_heading,altitude_is_relative,autocontinue,vtol_back_transition
218037337,1,36.660725,126.34204,0.0,0.0,0.0,1.0558168,59.64503,0,22,0,0,0,0,0,1,0
250844179,1,36.6607,126.342026,0.0,0.0,0.0,nan,50.0,0,16,0,0,0,0,1,1,0
252694310,1,36.660805,126.34205,0.0,0.0,0.0,nan,50.0,1,16,0,0,0,0,1,1,0
260069156,1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2,93,0,0,0,0,0,1,0
263124130,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3000,0,0,0,0,0,1,0
268798664,1,36.661175,126.34369,0.0,0.0,0.0,nan,50.0,4,16,0,0,0,0,1,1,0
272294208,1,36.661297,126.34429,0.0,0.0,0.0,nan,50.0,5,16,0,0,0,0,1,1,0
274991106,1,36.661583,126.34304,0.0,0.0,0.0,nan,50.0,6,16,0,0,0,0,1,1,0
281307259,1,36.662514,126.34166,0.0,0.0,0.0,nan,50.0,7,16,0,0,0,0,1,1,0
289541205,1,36.66387,126.34012,0.0,0.0,0.0,nan,50.0,8,16,0,0,0,0,1,1,0
300744797,1,36.664402,126.34074,0.0,0.0,0.0,nan,50.0,9,16,0,0,0,0,1,1,0
304942609,1,36.661972,126.34192,0.0,0.0,0.0,nan,10.0,10,16,0,0,0,0,1,1,0
322448599,1,36.661522,126.34214,0.0,0.0,0.0,nan,10.0,11,16,0,0,0,0,1,1,0
325431293,1,36.660152,126.3429,0.0,0.0,0.0,nan,10.0,12,16,0,0,0,0,1,1,0
335299519,1,36.659973,126.343,0.0,0.0,0.0,nan,11.0,13,16,0,0,0,0,1,1,0
336399379,1,36.660446,126.34366,35.0,0.0,-75.0,0.017453292,50.0,14,19,0,0,1,1,1,1,0
383325167,1,36.66111,126.34348,0.0,0.0,0.0,nan,50.0,15,16,0,0,0,0,1,1,0
383378540,1,36.66083,126.342514,0.0,0.0,0.0,nan,50.0,16,16,0,0,0,0,1,1,0
383423827,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3000,0,0,0,0,0,1,0
383433854,1,36.66073,126.34211,0.0,0.0,0.0,nan,50.0,18,16,0,0,0,0,1,1,0
414429955,1,36.6607,126.342026,0.0,0.0,0.0,nan,59.51825,19,16,0,0,0,0,0,1,0
418062060,1,36.6607,126.342026,0.0,0.0,0.0,nan,0.0,19,21,0,0,0,0,1,1,0
473803942,1,36.6607,126.342026,0.0,0.0,0.0,nan,0.0,19,21,0,0,0,0,1,1,0
473841863,1,36.6607,126.342026,0.0,0.0,0.0,nan,0.0,20,0,0,0,0,0,1,1,0
