timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
217777415,217678174,-0.012706403,0.0018970711,0.02045865,0.0022735596,-0.039411902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37823486,0.0,0.0,nan,0.0,0.0,-0.056589246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218281370,218181945,-0.009677842,0.009277472,-0.044596042,0.011484146,-0.04186189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2937765,0.0,0.0,nan,0.0,0.0,-0.049808025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218775101,218675837,0.0033843443,0.0033299325,-0.05823396,0.003455162,-0.040277064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197299,0.0,0.0,nan,0.0,0.0,-0.03300357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219279342,219179608,0.015454255,0.029791243,-0.037853003,-0.00901413,-0.035707653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33040714,0.0,0.0,nan,0.0,0.0,-0.05309069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219782654,219683379,0.026175462,0.07634882,-0.06889321,-0.01832962,-0.029088855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6267481,0.0,0.0,nan,0.0,0.0,-0.01759398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220276636,220177273,0.056277893,0.020333195,-0.0039293617,-0.024195671,-0.03018558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07009697,0.0,0.0,nan,0.0,0.0,-0.042156816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220780257,220681044,0.034982923,-0.021713614,0.004531704,-0.028074265,-0.03344357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,0.021024466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221274310,221174938,0.005649654,-0.023689805,0.037959434,-0.021912575,-0.04063505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28792667,0.0,0.0,nan,0.0,0.0,0.03316462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221777989,221678709,0.007727515,-0.021576636,-0.012360463,-0.026810646,-0.04250568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36176395,0.0,0.0,nan,0.0,0.0,0.04620409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222281761,222182481,0.05867368,0.009581571,-0.026445933,-0.020671844,-0.032667577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26852798,0.0,0.0,nan,0.0,0.0,0.057421803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222775589,222676375,0.02077384,-0.0271456,-0.05773791,-0.037846565,-0.031618834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52139187,0.0,0.0,nan,0.0,0.0,0.08326864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223279779,223180147,0.06760804,0.029667512,-0.03693498,-0.038484573,-0.02337575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71168995,0.0,0.0,nan,0.0,0.0,0.12129176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223773254,223674042,-0.06701799,0.004103303,-0.14285417,-0.042523384,-0.03449756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4645319,0.0,0.0,nan,0.0,0.0,0.11640227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224277081,224177814,0.05477511,0.00037036836,-0.05217272,-0.0392704,-0.03792721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,nan,0.0,0.0,0.12838328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224780855,224681587,0.13022321,0.095836714,0.05759296,-0.022542953,-0.03878683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643013,0.0,0.0,nan,0.0,0.0,0.131006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225274737,225175482,0.046725497,0.029861443,-0.05512333,-0.034431458,-0.04027778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29202557,0.0,0.0,nan,0.0,0.0,0.12789679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
