timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
307957841,307930091,3,4,1,0,0,0,3,0,3,0,0
308968002,308940208,3,4,1,0,0,0,3,0,3,0,0
309993242,309965264,3,4,1,0,0,0,3,0,3,0,0
311008143,310980345,3,4,1,0,0,0,3,0,3,0,0
312033452,312005509,3,4,1,0,0,0,3,0,3,0,0
313043362,313015516,3,4,1,0,0,0,3,0,3,0,0
314063399,314035625,3,4,1,0,0,0,3,0,3,0,0
315083424,315055681,3,4,1,0,0,0,3,0,3,0,0
316108784,316075765,3,4,1,0,0,0,3,0,3,0,0
317133914,317105850,3,4,1,0,0,0,3,0,3,0,0
318148717,318115979,3,4,1,0,0,0,3,0,3,0,0
319173857,319146021,3,4,1,0,0,0,3,0,3,0,0
320188967,320161087,3,4,1,0,0,0,3,0,3,0,0
321203997,321171173,3,4,1,0,0,0,3,0,3,0,0
322214149,322181282,3,4,1,0,0,0,3,0,3,0,0
323229129,323201329,3,4,1,0,0,0,3,0,3,0,0
324249293,324221409,3,4,1,0,0,0,3,0,3,0,0
325259272,325231493,3,4,1,0,0,0,3,0,3,0,0
326279479,326251597,3,4,1,0,0,0,3,0,3,0,0
327299544,327266654,3,4,1,0,0,0,3,0,3,0,0
328324492,328291729,3,4,1,0,0,0,3,0,3,0,0
329344659,329316817,3,4,1,0,0,0,3,0,3,0,0
330374860,330341911,3,4,1,0,0,0,3,0,3,0,0
331389909,331361970,3,4,1,0,0,0,3,0,3,0,0
332420025,332387279,3,4,1,0,0,0,3,0,3,0,0
333445016,333417130,3,4,1,0,0,0,3,0,3,0,0
334470001,334442214,3,4,1,0,0,0,3,0,3,0,0
335480063,335452282,3,4,1,0,0,0,3,0,3,0,0
336505229,336477371,3,4,1,0,0,0,3,0,3,0,0
337525401,337492443,3,4,1,0,0,0,3,0,3,0,0
338555510,338522545,3,4,1,0,0,0,3,0,3,0,0
339580373,339552603,3,4,1,0,0,0,3,0,3,0,0
340595683,340562689,3,4,1,0,0,0,3,0,3,0,0
341605656,341572761,3,4,1,0,0,0,3,0,3,0,0
342625771,342597840,3,4,1,0,0,0,3,0,3,0,0
343640871,343612916,3,4,1,0,0,0,3,0,3,0,0
344655892,344627982,3,4,1,0,0,0,3,0,3,0,0
345676106,345643201,3,4,1,0,0,0,3,0,3,0,0
346686035,346653287,3,4,1,0,0,0,3,0,3,0,0
347711034,347683221,3,4,1,0,0,0,3,0,3,0,0
348726175,348698380,3,4,1,0,0,0,3,0,3,0,0
349741272,349713368,3,4,1,0,0,0,3,0,3,0,0
350761426,350728518,3,4,1,0,0,0,3,0,3,0,0
351791563,351758530,3,4,1,0,0,0,3,0,3,0,0
352816480,352783609,3,4,1,0,0,0,3,0,3,0,0
353836597,353808670,3,4,1,0,0,0,3,0,3,0,0
354861690,354828846,3,4,1,0,0,0,3,0,3,0,0
355871717,355843820,3,4,1,0,0,0,3,0,3,0,0
356881680,356848904,3,4,1,0,0,0,3,0,3,0,0
357891736,357863965,3,4,1,0,0,0,3,0,3,0,0
358911878,358884041,3,4,1,0,0,0,3,0,3,0,0
359927022,359894117,3,4,1,0,0,0,3,0,3,0,0
360947003,360914305,3,4,1,0,0,0,3,0,3,0,0
361972256,361939281,3,4,1,0,0,0,3,0,3,0,0
362982303,362949343,3,4,1,0,0,0,3,0,3,0,0
363997191,363969415,3,4,1,0,0,0,3,0,3,0,0
365012279,364984482,3,4,1,0,0,0,3,0,3,0,0
366022337,365994549,3,4,1,0,0,0,3,0,3,0,0
367032418,367004623,3,4,1,0,0,0,3,0,3,0,0
368042493,368014699,3,4,1,0,0,0,3,0,3,0,0
369062634,369029769,3,4,1,0,0,0,3,0,3,0,0
370092834,370059893,3,4,1,0,0,0,3,0,3,0,0
371107654,371074908,3,4,1,0,0,0,3,0,3,0,0
372122890,372094979,3,4,1,0,0,0,3,0,3,0,0
373147858,373120085,3,4,1,0,0,0,3,0,3,0,0
374157903,374130118,3,4,1,0,0,0,3,0,3,0,0
375183033,375155189,3,4,1,0,0,0,3,0,3,0,0
376193160,376165260,3,4,1,0,0,0,3,0,3,0,0
377213151,377180397,3,4,1,0,0,0,3,0,3,0,0
378238191,378210401,3,4,1,0,0,0,3,0,3,0,0
379258438,379225477,3,4,1,0,0,0,3,0,3,0,0
380278490,380250546,3,4,1,0,0,0,3,0,3,0,0
381288499,381260617,3,4,1,0,0,0,3,0,3,0,0
382313992,382280748,3,4,1,0,0,0,3,0,3,0,0
383328532,383300751,3,4,1,0,0,0,3,0,3,0,0
384346224,384318334,3,4,1,0,0,0,3,0,3,0,0
385361282,385333440,3,4,1,0,0,0,3,0,3,0,0
386386344,386356012,3,4,1,0,0,0,3,0,3,0,0
387408941,387381064,3,4,1,0,0,0,3,0,3,0,0
388433966,388406098,3,4,1,0,0,0,3,0,3,0,0
389441516,389413662,3,4,1,0,0,0,3,0,3,0,0
390453936,390423895,3,4,1,0,0,0,3,0,3,0,0
391474002,391446290,3,4,1,0,0,0,3,0,3,0,0
392494108,392466354,3,4,1,0,0,0,3,0,3,0,0
393506650,393476434,3,4,1,0,0,0,3,0,3,0,0
