timestamp,speed_up,speed_down,want_takeoff
487436676,3.0,2.0,0
488436724,3.0,2.0,0
489436899,3.0,2.0,0
490436838,3.0,2.0,0
491436929,3.0,2.0,0
492437050,3.0,2.0,0
493437282,3.0,2.0,0
494437341,3.0,2.0,0
495437352,3.0,2.0,0
496437490,3.0,2.0,0
497437565,3.0,2.0,0
498437689,3.0,2.0,0
499437969,3.0,2.0,0
500437958,3.0,2.0,0
501438216,3.0,2.0,0
502438372,3.0,2.0,0
503438295,3.0,2.0,0
504438466,3.0,2.0,0
505438693,3.0,2.0,0
506438783,3.0,2.0,0
507439128,3.0,2.0,0
508438904,3.0,2.0,0
509439003,3.0,2.0,0
510434237,3.0,2.0,0
