timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,yaw_acceptance,altitude_acceptance,type
263138122,0.024917899,0.0,1.1159896,1.0696965,-0.39735925,0.41216218,8.56215,nan,0.0,0
263157961,0.024435522,0.0,1.1158128,1.0696961,-0.39584744,0.40959138,8.56215,nan,0.0,0
263638024,0.013362317,0.0,1.1145277,1.0696781,-0.34193182,0.34352008,7.60719,nan,0.0,0
264138030,-0.002204101,0.0,1.0998112,1.0696396,-0.22634713,0.3079594,7.48441,nan,0.0,0
264638135,-0.06890091,0.0,1.0669303,1.0695567,0.022270175,1.4861274,8.455339,nan,0.0,0
265138129,-0.08460407,0.0,1.0374697,1.0694276,0.4089762,3.9275036,12.745122,nan,0.0,0
265638333,-0.088967256,0.0,1.0218272,1.0692959,0.8024697,7.4530253,16.816656,nan,0.0,0
266138261,-0.06595452,0.0,1.0169256,1.0691909,1.1153846,12.067036,21.19929,nan,0.0,0
266638306,-0.02518458,0.0,1.0231752,1.0691687,1.1794322,17.743507,25.434029,nan,0.0,0
267138319,0.020414,0.0,1.0337151,1.0692128,1.045385,24.383528,29.167027,nan,0.0,0
267638448,0.049762554,0.0,1.0466704,1.0693142,0.7415776,31.980877,32.395004,nan,0.0,0
268138460,0.038100824,0.0,1.0571779,1.0694163,0.43755782,40.336117,35.327072,nan,0.0,0
268638466,0.046687823,0.0,1.0647043,1.0695025,0.18181068,49.36074,37.411217,nan,0.0,0
269138454,0.6120018,-0.12435984,1.6664282,1.4333547,-13.184938,96.0822,36.3924,nan,0.0,0
269638560,0.87266463,-0.11573352,1.7027628,1.4681411,-15.002995,87.43366,37.894123,nan,0.0,0
270138626,0.39912158,-0.095960565,1.6934931,1.4867858,-14.846746,78.16952,38.3251,nan,0.0,0
270638750,-0.049613137,-0.118688814,1.6328344,1.4775252,-12.449062,68.84396,37.634426,nan,0.0,0
271138657,-0.2206252,-0.13407202,1.5480702,1.4524188,-9.324563,59.740936,37.34233,nan,0.0,0
271638800,-0.29628235,-0.12461659,1.4611022,1.4202142,-6.286141,50.613926,38.177803,nan,0.0,0
272138924,-0.23881671,-0.09983428,1.3924838,1.3873812,-3.7792962,41.27759,39.107754,nan,0.0,0
272638845,-0.15220053,-0.07313859,1.3553902,1.3408612,-1.0613316,87.431435,39.80211,nan,0.0,0
273138891,-0.08769056,-0.06024141,1.3366239,1.3328197,-0.31818032,77.6459,40.265278,nan,0.0,0
273638937,-0.040448952,-0.04212956,1.3285769,1.3286347,0.0058943005,67.68199,40.690296,nan,0.0,0
274139053,-0.0037051144,-0.03252717,1.3279309,1.3281585,0.03248932,57.675182,41.08455,nan,0.0,0
274639045,0.025778893,-0.030880677,1.3309035,1.3306187,-0.09022913,47.567623,41.354923,nan,0.0,0
275139151,-0.24989036,-0.013503768,-0.83096313,-1.0752954,-18.402384,85.56219,41.359684,nan,0.0,0
275639146,-0.87266463,-0.030317055,-0.9676188,-1.1507461,-13.105858,93.04889,41.112022,nan,0.0,0
276139262,-0.87266463,-0.019092958,-1.124879,-1.2241485,-6.7991343,100.18689,40.858124,nan,0.0,0
276639273,-0.87266463,-0.043929894,-1.3303792,-1.3065641,1.5211123,104.91613,39.71089,nan,0.0,0
277139540,-0.87266463,-0.080880344,-1.5809171,-1.3958926,11.025822,106.384735,38.7072,nan,0.0,0
277639400,-0.87266463,-0.13455802,-1.8382568,-1.4841489,19.91837,104.3367,38.346096,nan,0.0,0
278139446,-0.87266463,-0.15812163,-2.0637555,-1.5619359,26.48288,99.33307,37.976578,nan,0.0,0
278639581,-0.87266463,-0.19073221,-2.0774536,-1.6203326,29.587011,91.77014,38.37588,nan,0.0,0
279139591,-0.87266463,-0.22122638,-2.0774536,-1.6491058,28.859793,82.57381,39.379192,nan,0.0,0
279639499,-0.2101473,-0.2094713,-1.9500107,-1.6377184,24.648808,72.750824,40.309254,nan,0.0,0
280139628,0.43594095,-0.16088451,-1.7620213,-1.5902098,18.559786,63.182846,40.98465,nan,0.0,0
280639629,0.6621996,-0.10459317,-1.5877122,-1.5206871,12.209371,53.872257,41.904922,nan,0.0,0
281119677,0.55319285,-0.07297117,-1.4573466,-1.4477904,6.925428,44.652348,42.092205,nan,0.0,0
281639739,0.5437891,-0.04652374,-1.2868669,-0.9598988,16.715292,191.8329,41.531773,nan,0.0,0
282139840,0.55448437,-0.05061193,-1.138068,-0.93147,10.755654,182.97353,41.003727,nan,0.0,0
282639790,0.46833426,-0.030500937,-1.0272286,-0.9086522,6.2465863,173.56036,40.572712,nan,0.0,0
