timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
230253621,1693632373800295,366607257,1263420418,11690,29345,0.23600002,0.57126474,0.94000006,1.419,0.57,0.87,95,77,0.316,0.15100001,-0.27800003,-0.97700006,5.7733054,0,nan,0.0,3,0,1,20,0
230848613,1693632374400295,366607262,1263420411,12330,29985,0.263,0.5714056,0.93600005,1.414,0.57,0.87,95,77,0.056,0.053000003,-0.020000001,-1.0120001,5.7733054,0,nan,0.0,3,0,1,20,0
231254908,1693632374800295,366607259,1263420408,12805,30460,0.28,0.5955877,0.934,1.4100001,0.57,0.87,95,83,0.263,-0.24800001,-0.087000005,-1.0810001,4.67336,0,nan,0.0,3,0,1,20,0
231851614,1693632375400295,366607251,1263420401,13429,31084,0.27100003,0.7360177,0.93000007,1.4030001,0.57,0.87,95,83,0.22600001,-0.157,-0.162,-1.0450001,3.999778,0,nan,0.0,3,0,1,20,0
232255613,1693632375800295,366607245,1263420393,13851,31506,0.252,0.7294293,0.92600006,1.3980001,0.57,0.87,95,82,0.19900002,-0.148,-0.134,-1.054,3.8635876,0,nan,0.0,3,0,1,20,0
232855613,1693632376400296,366607236,1263420386,14515,32170,0.256,0.64065015,0.92100006,1.391,0.57,0.87,95,82,0.22600001,-0.208,-0.08800001,-1.105,3.6317384,0,nan,0.0,3,0,1,20,0
233250613,1693632376800296,366607230,1263420381,14979,32634,0.27800003,0.60786724,0.919,1.389,0.59,0.93,95,66,0.133,-0.104,-0.082,-1.052,3.690303,0,nan,0.0,3,0,1,19,0
233854613,1693632377400296,366607223,1263420382,15566,33221,0.28500003,0.6080011,0.91800004,1.389,0.59,0.93,95,66,0.079,-0.076000005,0.022000002,-0.98700005,3.690303,0,nan,0.0,3,0,1,19,0
234249613,1693632377800296,366607222,1263420388,15949,33604,0.28300002,0.60808456,0.91600007,1.389,0.59,0.93,95,58,0.14500001,-0.051000003,0.136,-0.91,3.690303,0,nan,0.0,3,0,1,19,0
234850613,1693632378400296,366607225,1263420397,16538,34193,0.27600002,0.6082085,0.91300005,1.3900001,0.59,0.93,95,58,0.143,0.019000001,0.142,-0.933,3.690303,0,nan,0.0,3,0,1,19,0
235246613,1693632378800296,366607228,1263420405,16865,34520,0.286,0.6898581,0.91,1.3900001,0.59,0.93,95,101,0.119,-0.017,0.11800001,-0.97700006,2.632013,0,nan,0.0,3,0,1,19,0
235847613,1693632379400296,366607231,1263420415,17961,35616,0.28500003,0.7571669,0.90700006,1.3900001,0.59,0.93,95,101,0.08400001,0.082,0.017,-2.457,1.8170205,0,nan,0.0,3,0,1,19,0
236250613,1693632379800297,366607235,1263420416,19125,36781,0.282,0.75737864,0.90500003,1.3900001,0.59,0.93,95,80,0.116000004,0.113000005,-0.026,-2.9840002,1.8170205,0,nan,0.0,3,0,1,19,0
236846611,1693632380400297,366607243,1263420416,20882,38537,0.282,0.75769037,0.90200007,1.3900001,0.59,0.93,95,80,0.106000006,0.060000002,-0.087000005,-2.8690002,1.8170205,0,nan,0.0,3,0,1,19,0
237234613,1693632380800297,366607245,1263420415,22077,39733,0.282,0.757901,0.90000004,1.3900001,0.59,0.93,95,77,0.074,0.007,-0.074,-2.8990002,1.8170205,0,nan,0.0,3,0,1,19,0
237850613,1693632381400297,366607244,1263420407,23882,41537,0.28,0.7582201,0.897,1.3900001,0.62,0.93,95,77,0.112,-0.001,-0.112,-2.9540002,1.8170205,0,nan,0.0,3,0,1,18,0
238248612,1693632381800297,366607243,1263420405,25071,42726,0.28,0.7584293,0.89500004,1.389,0.62,0.93,96,70,0.065000005,-0.060000002,-0.025,-2.8620002,1.8170205,0,nan,0.0,3,0,1,18,0
