timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
217458528,-0.23531401,0.13637102,-0.0010846339,0.0,0.0,-0.001
217463508,-0.23530143,0.13631862,-0.0010805153,0.0,0.0,-0.001
217473711,-0.23547262,0.1361402,-0.0010419025,0.0,0.0,-0.001
217498502,-0.23527229,0.13602535,-0.0011486105,0.0,0.0,-0.001
217518501,-0.23536868,0.1361722,-0.0010936739,0.0,0.0,-0.001
217538502,-0.2354569,0.13600579,-0.0011685579,0.0,0.0,-0.001
217558507,-0.23525192,0.1361995,-0.0012031706,0.0,0.0,-0.001
217578523,-0.23540662,0.13627203,-0.001174067,0.0,0.0,-0.001
217598507,-0.2354721,0.13626668,-0.0011325022,0.0,0.0,-0.001
217618511,-0.23538372,0.13627699,-0.0012100494,0.0,0.0,-0.001
217638512,-0.23539591,0.13605279,-0.0012764499,0.0,0.0,-0.001
217658584,-0.23535188,0.1358462,-0.0011968809,0.0,0.0,-0.001
217678588,-0.23552,0.13635668,-0.0011741596,0.0,0.0,-0.001
217698525,-0.23549393,0.13639769,-0.0013242124,0.0,0.0,-0.001
217718526,-0.2355832,0.13626729,-0.0012712252,0.0,0.0,-0.001
217738525,-0.23569289,0.13631737,-0.001245585,0.0,0.0,-0.001
217758520,-0.23550661,0.1365191,-0.001318237,0.0,0.0,-0.001
217778526,-0.23558407,0.13645984,-0.0013580446,0.0,0.0,-0.001
217798528,-0.23554447,0.1364183,-0.0013015352,0.0,0.0,-0.001
217818531,-0.23551989,0.13665913,-0.0013027409,0.0,0.0,-0.001
217838582,-0.23572132,0.13695242,-0.0013265864,0.0,0.0,-0.001
217858548,-0.23569444,0.13677302,-0.0012975917,0.0,0.0,-0.001
217878639,-0.23568892,0.1366286,-0.001288673,0.0,0.0,-0.001
217898534,-0.23567355,0.13656382,-0.0012786811,0.0,0.0,-0.001
217918612,-0.2358159,0.1364741,-0.001256319,0.0,0.0,-0.001
217938538,-0.23609625,0.13692765,-0.0012401228,0.0,0.0,-0.001
217958537,-0.2362332,0.13631028,-0.0012623839,0.0,0.0,-0.001
217978566,-0.23642501,0.13639924,-0.0012067688,0.0,0.0,-0.001
217998540,-0.23646364,0.1363114,-0.0012519886,0.0,0.0,-0.001
