timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
215853890,215850627,4325386,2000.08,3.9064062,31.25125,nan,nan,74.22172,nan,nan,nan,nan,nan,6.1575537,nan,nan,6.0522227,nan,nan,0.0,0.0,0.0
218603929,218603352,4325386,2000.08,3.9064062,31.25125,nan,nan,74.22172,nan,nan,nan,nan,nan,5.70266,nan,nan,6.0522227,nan,nan,0.0,0.0,0.0
218673974,218670857,4325386,2000.08,3.9064062,31.25125,nan,nan,74.22172,nan,nan,nan,nan,nan,5.70266,nan,nan,5.7945113,nan,nan,0.0,0.0,0.0
219119116,219115894,4325386,2000.08,3.9064062,31.25125,nan,nan,74.22172,nan,nan,nan,nan,nan,5.912314,nan,nan,5.7945113,nan,nan,0.0,0.0,0.0
220079645,220075973,4325386,2000.08,3.9064062,31.25125,nan,nan,74.22172,nan,nan,nan,nan,nan,6.4621544,nan,nan,5.7945113,nan,nan,0.0,0.0,0.0
220784165,220783532,4325386,2000.08,3.9064062,31.25125,nan,nan,74.22172,nan,nan,nan,nan,nan,6.4621544,nan,nan,10.258523,nan,nan,0.0,0.0,0.0
220849589,220848537,4325386,2000.08,3.9064062,31.25125,nan,nan,74.22172,nan,nan,nan,nan,nan,6.4621544,nan,nan,10.384676,nan,nan,0.0,0.0,0.0
220914155,220911042,4325386,2000.08,3.9064062,31.25125,nan,nan,74.22172,nan,nan,nan,nan,nan,6.4621544,nan,nan,10.472474,nan,nan,0.0,0.0,0.0
221104126,221103559,4325386,2000.08,3.9064062,31.25125,nan,nan,97.49704,nan,nan,nan,nan,nan,6.4621544,nan,nan,10.129441,nan,nan,0.0,0.0,0.0
221164168,221163564,4325386,2000.08,3.9064062,31.25125,nan,nan,97.49704,nan,nan,nan,nan,nan,5.7956576,nan,nan,10.129441,nan,nan,0.0,0.0,0.0
221229259,221226069,4325386,2000.08,3.9064062,31.25125,31.25125,nan,97.49704,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.129441,nan,nan,0.0,0.0,0.0
221619357,221616101,4325386,2000.08,3.9064062,31.25125,31.25125,nan,97.66016,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,9.0687475,nan,nan,0.0,0.0,0.0
221684372,221681107,4325386,2000.08,3.9064062,31.25125,31.25125,nan,98.84066,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.942527,nan,nan,0.0,0.0,0.0
221744185,221743612,4325386,2000.08,3.9064062,31.25125,31.25125,nan,101.04757,89.84734,nan,nan,nan,nan,5.7956576,5.1807775,nan,12.250911,10.296006,nan,0.0,0.0,0.0
221809269,221808618,4325386,2000.08,3.9064062,31.25125,31.25125,nan,102.41677,89.84734,nan,nan,nan,nan,5.7956576,5.1807775,nan,13.03306,10.296006,nan,0.0,0.0,0.0
221874264,221871123,4325386,2000.08,3.9064062,31.25125,31.25125,nan,105.08648,90.5308,nan,nan,nan,nan,5.7956576,5.1807775,nan,12.588575,10.542549,nan,0.0,0.0,0.0
221939333,221936128,4325386,2000.08,3.9064062,31.25125,31.25125,nan,105.35056,90.5308,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.908678,10.542549,nan,0.0,0.0,0.0
222004200,222001134,4325386,2000.08,3.9064062,31.25125,31.25125,nan,106.78514,121.0307,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.988728,10.531436,nan,0.0,0.0,0.0
222064586,222063639,4325386,2000.08,3.9064062,31.25125,31.25125,nan,106.78514,120.6439,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.988728,13.87883,nan,0.0,0.0,0.0
222129300,222128644,4325386,2000.08,3.9064062,31.25125,31.25125,nan,113.36464,121.0307,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.180994,13.544468,nan,0.0,0.0,0.0
222194219,222191150,4325386,2000.08,3.9064062,31.25125,31.25125,nan,113.36464,122.04212,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.071938,12.96517,nan,0.0,0.0,0.0
222259586,222256155,4325386,2000.08,3.9064062,31.25125,31.25125,nan,113.36464,123.94425,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.071938,13.4106045,nan,0.0,0.0,0.0
222324307,222321161,4325386,2000.08,3.9064062,31.25125,31.25125,nan,nan,124.49256,nan,nan,nan,nan,5.7956576,5.1807775,nan,nan,12.213522,nan,0.0,0.0,0.0
222384318,222383666,4325386,2000.08,3.9064062,31.25125,31.25125,nan,nan,129.50189,nan,nan,nan,nan,5.7956576,5.1807775,nan,nan,12.607071,nan,0.0,0.0,0.0
222449736,222448671,4325386,2000.08,3.9064062,31.25125,31.25125,nan,nan,133.79698,nan,nan,nan,nan,5.7956576,5.1807775,nan,nan,12.339126,nan,0.0,0.0,0.0
222514367,222511176,4325386,2000.08,3.9064062,31.25125,31.25125,nan,117.82858,136.50102,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.156988,10.781868,nan,0.0,0.0,0.0
222579438,222576182,4325386,2000.08,3.9064062,31.25125,31.25125,nan,117.82858,137.48349,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.156988,12.136419,nan,0.0,0.0,0.0
222644295,222641187,4325386,2000.08,3.9064062,31.25125,31.25125,nan,nan,140.12938,nan,nan,nan,nan,5.7956576,5.1807775,nan,nan,12.789508,nan,0.0,0.0,0.0
222704304,222703693,4325386,2000.08,3.9064062,31.25125,31.25125,nan,126.795235,140.12938,nan,nan,nan,nan,5.7956576,5.1807775,nan,13.127615,7.5665927,nan,0.0,0.0,0.0
222769392,222768698,4325386,2000.08,3.9064062,31.25125,31.25125,nan,135.43636,140.12938,nan,nan,nan,nan,5.7956576,5.1807775,nan,12.832138,7.536297,nan,0.0,0.0,0.0
222834315,222831203,4325386,2000.08,3.9064062,31.25125,31.25125,nan,135.43636,140.22432,nan,nan,nan,nan,5.7956576,5.1807775,nan,12.832138,12.669453,nan,0.0,0.0,0.0
222899542,222896209,4325386,2000.08,3.9064062,31.25125,31.25125,nan,nan,140.72208,nan,nan,nan,nan,5.7956576,5.1807775,nan,nan,12.793943,nan,0.0,0.0,0.0
222964297,222961214,4325386,2000.08,3.9064062,31.25125,31.25125,nan,135.43636,140.77856,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.204453,14.501022,nan,0.0,0.0,0.0
223024341,223023720,4325386,2000.08,3.9064062,31.25125,31.25125,nan,135.43636,140.77856,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.204453,15.4202795,nan,0.0,0.0,0.0
223089467,223088725,4325386,2000.08,3.9064062,31.25125,31.25125,nan,nan,140.77856,nan,nan,nan,nan,5.7956576,5.1807775,nan,nan,13.621579,nan,0.0,0.0,0.0
223284510,223281241,4325386,2000.08,3.9064062,31.25125,31.25125,nan,nan,140.77856,nan,nan,nan,nan,5.7956576,5.1807775,nan,nan,7.102825,nan,0.0,0.0,0.0
223409611,223408752,4325386,2000.08,3.9064062,31.25125,31.25125,nan,142.93155,140.77856,nan,nan,nan,nan,5.7956576,5.1807775,nan,12.306036,6.581856,nan,0.0,0.0,0.0
223474491,223471257,4325386,2000.08,3.9064062,31.25125,31.25125,nan,143.5415,140.77856,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.881218,6.581856,nan,0.0,0.0,0.0
223539546,223536263,4325386,2000.08,3.9064062,31.25125,31.25125,nan,143.84238,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.846591,nan,nan,0.0,0.0,0.0
223665132,223663774,4325386,2000.08,3.9064062,31.25125,31.25125,nan,143.5415,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.147787,nan,nan,0.0,0.0,0.0
224049482,224048806,4325386,2000.08,3.9064062,31.25125,31.25125,nan,142.93155,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.454206,nan,nan,0.0,0.0,0.0
224114450,224111312,4325386,2000.08,3.9064062,31.25125,31.25125,nan,84.79931,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.253145,nan,nan,0.0,0.0,0.0
224179523,224176317,4325386,2000.08,3.9064062,31.25125,31.25125,nan,84.79931,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.666322,nan,nan,0.0,0.0,0.0
224304539,224303828,4325386,2000.08,3.9064062,31.25125,31.25125,nan,82.10678,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.8261,nan,nan,0.0,0.0,0.0
224369522,224368833,4325386,2000.08,3.9064062,31.25125,31.25125,nan,82.10678,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.557546,nan,nan,0.0,0.0,0.0
224564456,224561350,4325386,2000.08,3.9064062,31.25125,31.25125,nan,82.10678,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,9.686542,nan,nan,0.0,0.0,0.0
224624468,224623855,4325386,2000.08,3.9064062,31.25125,31.25125,nan,82.10678,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,11.461478,nan,nan,0.0,0.0,0.0
224689565,224688861,4325386,2000.08,3.9064062,31.25125,31.25125,nan,82.27223,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.5415535,nan,nan,0.0,0.0,0.0
224754476,224751366,4325386,2000.08,3.9064062,31.25125,31.25125,nan,82.45495,nan,nan,nan,nan,nan,5.7956576,5.1807775,nan,10.178123,nan,nan,0.0,0.0,0.0
224814493,224811371,4325386,2000.08,3.9064062,31.25125,nan,nan,82.45495,nan,nan,nan,nan,nan,4.774926,nan,nan,10.178123,nan,nan,0.0,0.0,0.0
224819673,224816372,4325386,2000.08,3.9064062,31.25125,nan,nan,82.5634,nan,nan,nan,nan,nan,4.774926,nan,nan,10.907035,nan,nan,0.0,0.0,0.0
224884558,224881377,4325386,2000.08,3.9064062,31.25125,nan,nan,82.609024,nan,nan,nan,nan,nan,4.774926,nan,nan,9.988934,nan,nan,0.0,0.0,0.0
225074603,225071393,4325386,2000.08,3.9064062,31.25125,nan,nan,82.609024,nan,nan,nan,nan,nan,4.774926,nan,nan,9.46525,nan,nan,0.0,0.0,0.0
225139673,225136399,4325386,2000.08,3.9064062,31.25125,nan,nan,82.609024,nan,nan,nan,nan,nan,4.774926,nan,nan,10.117056,nan,nan,0.0,0.0,0.0
225204497,225201404,4325386,2000.08,3.9064062,31.25125,nan,nan,82.27223,nan,nan,nan,nan,nan,4.774926,nan,nan,9.97078,nan,nan,0.0,0.0,0.0
225265338,225263910,4325386,2000.08,3.9064062,31.25125,nan,nan,82.37171,nan,nan,nan,nan,nan,4.774926,nan,nan,10.316496,nan,nan,0.0,0.0,0.0
225329567,225328915,4325386,2000.08,3.9064062,31.25125,nan,nan,82.271935,nan,nan,nan,nan,nan,4.774926,nan,nan,10.044807,nan,nan,0.0,0.0,0.0
225394531,225391421,4325386,2000.08,3.9064062,31.25125,nan,nan,82.20695,nan,nan,nan,nan,nan,4.774926,nan,nan,7.8913474,nan,nan,0.0,0.0,0.0
225459919,225456426,4325386,2000.08,3.9064062,31.25125,nan,nan,82.19802,nan,nan,nan,nan,nan,4.774926,nan,nan,8.97624,nan,nan,0.0,0.0,0.0
225524553,225521432,4325386,2000.08,3.9064062,31.25125,nan,nan,82.18493,nan,nan,nan,nan,nan,4.774926,nan,nan,10.5915165,nan,nan,0.0,0.0,0.0
225584536,225583937,4325386,2000.08,3.9064062,31.25125,nan,nan,82.18493,nan,nan,nan,nan,nan,4.774926,nan,nan,10.848207,nan,nan,0.0,0.0,0.0
225844604,225841459,4325386,2000.08,3.9064062,31.25125,nan,nan,82.19802,nan,nan,nan,nan,nan,4.774926,nan,nan,8.280307,nan,nan,0.0,0.0,0.0
225904588,225903964,4325386,2000.08,3.9064062,31.25125,nan,nan,82.19802,nan,nan,nan,nan,nan,4.774926,nan,nan,6.064724,nan,nan,0.0,0.0,0.0
226164579,226161486,4325386,2000.08,3.9064062,31.25125,nan,nan,82.301994,nan,nan,nan,nan,nan,4.774926,nan,nan,9.266373,nan,nan,0.0,0.0,0.0
226224621,226223992,4325386,2000.08,3.9064062,31.25125,nan,nan,82.47995,nan,nan,nan,nan,nan,4.774926,nan,nan,8.981422,nan,nan,0.0,0.0,0.0
226354566,226351503,4325386,2000.08,3.9064062,31.25125,nan,nan,82.55796,nan,nan,nan,nan,nan,4.774926,nan,nan,8.602329,nan,nan,0.0,0.0,0.0
226419695,226416508,4325386,2000.08,3.9064062,31.25125,nan,nan,82.55796,nan,nan,nan,nan,nan,4.774926,nan,nan,7.5906963,nan,nan,0.0,0.0,0.0
226544633,226544019,4325386,2000.08,3.9064062,31.25125,nan,nan,82.569084,nan,nan,nan,nan,nan,4.774926,nan,nan,6.93347,nan,nan,0.0,0.0,0.0
