timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
217838751,217738281,0.10060332,0.10061175,0.21405241,1.2339497,1.2339687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.407215,0.0,0.0,nan,0.0,0.0,0.09034645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218338741,218238322,0.10066724,0.1006705,0.21409568,1.2165388,1.216554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404988,0.0,0.0,nan,0.0,0.0,0.09034676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218838743,218738363,0.100651525,0.10065254,0.21411186,1.2033526,1.2033654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4068,0.0,0.0,nan,0.0,0.0,0.090347014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219338827,219238404,0.10063337,0.10063247,0.21411388,1.185868,1.1858773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405354,0.0,0.0,nan,0.0,0.0,0.09034745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219838833,219738445,0.100557886,0.10055654,0.21409085,1.1746976,1.1747049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406237,0.0,0.0,nan,0.0,0.0,0.09034773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220338915,220238487,0.10053669,0.1005355,0.21409446,1.1574227,1.1574272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404735,0.0,0.0,nan,0.0,0.0,0.09034813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220838992,220738528,0.100534216,0.1005334,0.21405628,1.144596,1.1445991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406181,0.0,0.0,nan,0.0,0.0,0.09034854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221339022,221238570,0.1006079,0.10060718,0.21411087,1.1299134,1.1299148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404438,0.0,0.0,nan,0.0,0.0,0.09034881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221839005,221738612,0.10051602,0.100515895,0.21408716,1.1190058,1.1190063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405973,0.0,0.0,nan,0.0,0.0,0.09034921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222339060,222238654,0.10044405,0.100444004,0.21407829,1.1041055,1.104105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404546,0.0,0.0,nan,0.0,0.0,0.09034941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222839099,222738696,0.10048057,0.100480944,0.21407893,1.093851,1.09385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405565,0.0,0.0,nan,0.0,0.0,0.09034976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223339201,223238738,0.10051791,0.10051304,0.21408461,1.081279,1.0812776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403659,0.0,0.0,nan,0.0,0.0,0.090350166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
