timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
297126894,297125945,396321,0.5712121,-0.115909085,0.8045454,nan,0
298142926,298141977,396321,0.57575756,-0.096969694,0.9030303,nan,0
299137404,299136455,396321,0.56439394,-0.10833333,0.80833334,nan,0
300131519,300130570,396321,0.5681818,-0.07424242,0.90681815,nan,0
301125919,301124970,396321,0.57878786,-0.0022727272,0.85075754,nan,0
302142064,302141115,396321,0.73712116,-0.009848485,0.87954545,nan,0
303135639,303134690,396321,0.5401515,-0.12878788,0.73181814,nan,0
304130131,304129163,396321,0.43181816,-0.2742424,0.70378786,nan,0
305144229,305143280,396321,0.27878788,-0.3409091,0.5810606,nan,0
306134951,306134002,396321,0.5416666,-0.18333332,1.040909,nan,0
307129311,307128362,396321,0.2810606,-0.14772727,0.9742424,nan,0
308145019,308144069,396321,-0.2121212,0.12878788,0.3393939,nan,0
309139419,309138469,396321,-0.34015152,0.22651514,0.20454545,nan,0
310133763,310132814,396321,-0.29772726,-0.03712121,0.3560606,nan,0
311127587,311126638,396321,-0.30378786,-0.17121212,0.330303,nan,0
312143680,312142731,396321,-0.31439394,-0.17954545,0.3272727,nan,0
313137744,313136794,396321,-0.29848483,-0.18181817,0.36742422,nan,0
314132455,314131506,396321,-0.2992424,-0.14772727,0.30606058,nan,0
315126564,315125615,396321,-0.31742424,-0.1310606,0.33257574,nan,0
316136467,316135518,396321,-0.3022727,-0.12121212,0.30075756,nan,0
317130905,317129954,396321,-0.33181816,-0.10151515,0.32272726,nan,0
318125364,318124416,396321,-0.33257574,0.070454545,0.2742424,nan,0
319133222,319132272,396321,-0.27575758,0.109848484,0.325,nan,0
320146256,320145307,396321,-0.23484848,-0.3681818,0.3272727,nan,0
321136977,321136028,396321,-0.09924242,-0.4431818,0.5068182,nan,0
322131388,322130438,396321,-0.0810606,-0.25833333,0.57045454,nan,0
323141700,323140750,396321,-0.05681818,-0.19015151,0.59469694,nan,0
324135465,324134513,396321,-0.15075757,-0.23863636,0.5477272,nan,0
325129960,325129010,396321,-0.17424242,-0.20227273,0.51969695,nan,0
326141263,326140314,396321,-0.1780303,-0.23560606,0.5537879,nan,0
327135902,327134953,396321,-0.13787879,-0.26060605,0.65075755,nan,0
328149245,328148295,396321,-0.070454545,-0.26590908,0.6469697,nan,0
329143988,329143039,396321,-0.115909085,-0.26363635,0.60984844,nan,0
330138145,330137196,396321,-0.16969696,-0.2681818,0.5477272,nan,0
331132477,331131527,396321,-0.19772726,-0.21969697,0.5143939,nan,0
332126704,332125755,396321,-0.225,-0.1780303,0.4643939,nan,0
333142244,333141294,396321,-0.19318181,-0.2060606,0.50757575,nan,0
334136613,334135654,396321,-0.1060606,-0.23181817,0.72499996,nan,0
335130970,335130021,396321,-0.068939395,-0.26590908,0.6227273,nan,0
336146754,336145803,396321,-0.028787877,-0.325,0.7659091,nan,0
337140914,337139965,396321,0.16590908,-0.5143939,0.9272727,nan,0
338135225,338134276,396321,0.27878788,-0.65378785,0.96969694,nan,0
339129513,339128564,396321,0.32575756,-0.72196966,0.94242424,nan,0
340145100,340144151,396321,0.3780303,-0.7590909,0.9295454,nan,0
341134008,341133059,396321,0.455303,-0.79999995,0.9348484,nan,0
342128561,342127612,396321,0.57272726,-0.8068181,0.9681818,nan,0
343144863,343143895,396321,0.61287874,-0.77575755,1.0151515,nan,0
344136177,344135227,396321,0.68257576,-0.75,1.0515151,nan,0
345128970,345128020,396321,0.7363636,-0.6909091,1.1075758,nan,0
346144923,346143974,396321,0.7765151,-0.6530303,1.1492424,nan,0
347139463,347138513,396321,0.7863636,-0.57272726,1.1431818,nan,0
348131060,348130111,396321,0.7871212,-0.54090905,1.1742424,nan,0
349146723,349145774,396321,0.7863636,-0.4810606,1.1992424,nan,0
350137334,350136385,396321,0.71969694,-0.38333333,1.0795454,nan,0
351131873,351130924,396321,0.62348485,-0.30151513,0.98712116,nan,0
352142532,352141580,396321,0.5568182,-0.24166666,1.0113636,nan,0
353131321,353130371,396321,0.4643939,-0.2090909,0.95757574,nan,0
354143262,354142313,396321,0.3780303,-0.17651515,0.94469696,nan,0
355137503,355136553,396321,0.29545453,-0.17424242,0.9333333,nan,0
356148220,356147271,396321,0.23863636,-0.2060606,0.9143939,nan,0
357136946,357135997,396321,0.15530303,-0.24848484,0.87954545,nan,0
358127952,358127003,396321,0.098484844,-0.30833334,0.85681814,nan,0
359141667,359140717,396321,0.052272726,-0.39469695,0.82878786,nan,0
360130303,360129345,396321,0.009090909,-0.41363636,0.7174242,nan,0
361146730,361145780,396321,0.01590909,-0.5181818,0.5681818,nan,0
362135204,362134254,396321,0.052272726,-0.5560606,0.56136364,nan,0
363145419,363144470,396321,0.09015151,-0.5954545,0.5962121,nan,0
364139785,364138824,396321,0.19848484,-0.64166665,0.6424242,nan,0
365134301,365133352,396321,0.2651515,-0.6401515,0.6651515,nan,0
