timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
220859640,220760067,0.0018184072,0.0037976294,0.005339796,1049239,0,0.34459,0.3895389,0.21941407,0.009184514,0.0054641166,0.0031443073,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
221056842,220957625,0.0022052324,0.0035351801,0.010133866,1049239,0,0.36055464,0.39290395,0.24363017,0.009184514,0.0054641166,0.030004483,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
221254284,221155182,0.0019663794,0.0042098304,0.008842567,1049239,0,0.35987708,0.39442867,0.27563232,0.017146323,0.007241143,0.016352793,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
221451868,221352740,0.0026027528,0.004987799,0.011635208,1049239,0,0.3592279,0.39342627,0.32773855,0.016456503,0.0076674684,0.0038181914,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
221659770,221560175,0.0034617214,0.005331478,0.009179044,1049239,0,0.34276062,0.39119428,0.38059816,0.012643675,0.0080422005,0.014719756,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
221856871,221757732,0.002953413,0.0034133221,0.0074866842,1049239,0,0.35876885,0.3946184,0.4045353,0.012643675,0.0080422005,0.029973054,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
222054419,221955290,0.0038201616,0.0030249346,0.009366204,1114775,0,0.3581102,0.39362466,0.46154007,0.04663462,0.00535454,0.023995992,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
222261976,222162725,0.0031715038,0.0063136513,0.009102302,1114775,0,0.3414047,0.3913592,0.5212395,0.036685795,0.0061868187,0.017506447,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
222459382,222360283,0.0041468893,0.0018745599,0.004940793,1114775,0,0.35741445,0.39480284,0.56839454,0.036685795,0.0061868187,0.013062302,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
222656968,222557841,0.00524978,0.0032874362,0.008685339,1114775,0,0.35659978,0.39379016,0.6076924,0.026532104,0.0071980036,0.0011981693,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
