timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
242932454,1200.0,0.5867378,1097.3915,0.0,8474,0,41.748592,350,0,0,0,38,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244001320,1200.0,0.5867378,1336.358,0.0,8508,0,41.91713,352,0,0,0,38,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244906711,1200.0,0.5867378,1457.0669,0.0,8541,0,41.82967,354,0,0,0,38,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245932751,1200.0,0.5867378,1009.9966,0.0,8575,0,41.751827,356,0,0,0,38,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246986818,1200.0,0.5867378,1454.929,0.0,8616,0,41.626034,358,0,0,0,38,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248011811,1200.0,0.5867378,984.0954,0.0,8654,0,41.7495,360,0,0,0,38,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249272077,1200.0,0.5867378,1300.2802,0.0,8694,0,41.78406,361,0,0,0,38,0.0,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249984706,1200.0,0.5867378,1219.5681,0.0,8726,0,20.95821,363,1,0,0,38,0.002754821,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250932019,1200.0,0.5867378,1456.6454,0.0,8757,0,41.96098,366,1,0,0,38,0.0027322404,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251937713,1200.0,0.5867378,1169.5989,0.0,8795,0,67.80283,368,1,0,0,38,0.0027173914,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253015692,1200.0,0.5867378,1130.6171,0.0,8840,0,41.58136,370,1,0,0,38,0.0027027028,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253947275,1200.0,0.5867378,1426.9622,0.0,8880,0,41.79387,372,1,0,0,38,0.002688172,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254938713,1200.0,0.5867378,1253.7301,0.0,8917,0,41.791004,374,1,0,0,38,0.0026737968,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255998767,1200.0,0.5867378,1196.8044,0.0,8950,0,41.958084,376,1,0,0,38,0.0026595744,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257017838,1200.0,0.5867378,1384.5046,0.0,8989,0,41.95469,378,1,0,0,38,0.0026455026,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257934691,1200.0,0.5867378,1195.5068,0.0,9021,0,41.877636,380,1,0,0,38,0.002631579,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259012857,1200.0,0.5867378,1320.239,0.0,9058,0,41.786015,382,1,0,0,38,0.002617801,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
