timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
217866642,217865854,19482372,36.660603099999996,126.342033,13.32102,0.66718477,4.3897705,-0.002337625,-0.0015572843,0.0,0.03529336,0.00068905985,0.06264702,0.024423674,0.11107101,-0.07792316,0.1691699,-5.863286e-05,0.007765632,0.0063900133,1.0691717,-0.003119908,13.964363,0.1,0.35211056,0.3912892,0.13672374,0.10497107,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
218370095,218369624,19482372,36.660603099999996,126.342033,13.340626,0.6640176,4.4020696,-0.002337625,-0.0015572843,0.0,0.041791268,-0.0005213832,0.06265314,0.024810439,0.11107101,-0.07792316,0.1691699,0.011839873,-0.0017776659,0.0038382427,1.0705261,-0.003119908,13.964363,0.1,0.35936663,0.39375746,0.14135727,0.10659195,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
218874199,218873395,19482372,36.660603099999996,126.342033,13.359488,0.6654644,4.4215083,-0.002337625,-0.0015572843,0.0,0.04653751,0.0016684027,0.06467012,0.032256596,0.11107101,-0.07792316,0.1691699,0.020020323,-0.004016973,0.016312417,1.0717947,-0.003119908,13.964363,0.1,0.35038182,0.39195937,0.13684319,0.10519565,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
219367722,219367288,19482372,36.660603099999996,126.342033,13.365894,0.66776484,4.436814,-0.002337625,-0.0015572843,0.0,0.042247143,0.0040008617,0.06480208,0.031315405,0.11107101,-0.07792316,0.1691699,-0.08636601,0.120840475,-0.12536423,1.0729386,-0.003119908,13.964363,0.1,0.35683063,0.393891,0.1409809,0.106614895,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
219871849,219871060,19482372,36.660603099999996,126.342033,13.379193,0.6608595,4.454221,-0.002337625,-0.0015572843,0.0,0.042229153,-0.0011499512,0.065398894,0.03259171,0.11107101,-0.07792316,0.1691699,-0.04480537,-0.13699657,-0.48759705,1.0745822,-0.003119908,13.964363,0.1,0.34786007,0.39220482,0.1365076,0.10522955,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
220365518,220364952,19482372,36.660603099999996,126.342033,13.389954,0.6477841,4.453103,-0.002337625,-0.0015572843,0.0,0.03859424,-0.005954286,0.06309458,0.017849848,0.11107101,-0.07792316,0.1691699,-0.044429563,0.15129915,0.57366204,1.0778795,-0.003119908,13.964363,0.1,0.35429528,0.3917809,0.14062043,0.10638369,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
220869359,220868724,19482372,36.660603099999996,126.342033,13.400144,0.64445627,4.459698,-0.002337625,-0.0015572843,0.0,0.036421146,-0.006280637,0.058072194,0.01280398,0.11107101,-0.07792316,0.1691699,-0.290297,-0.24104473,-1.0288644,1.0807762,-0.003119908,13.964363,0.1,0.34534353,0.39018658,0.13623585,0.10501452,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
221372959,221372495,19482372,36.660603099999996,126.342033,13.414767,0.6539694,4.4496264,-0.002337625,-0.0015572843,0.0,0.032839864,-0.0019039245,0.04786854,-0.008989293,0.11107101,-0.07792316,0.1691699,-0.82299304,-0.798864,-0.6536102,1.0829926,-0.003119908,13.964363,0.106078625,0.35262367,0.39304447,0.14081463,0.106656894,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
221867175,221866392,19482372,36.660603099999996,126.342033,13.423094,0.6635763,4.427024,-0.002337625,-0.0015572843,0.0,0.031218946,0.00018598502,0.038714625,-0.025926104,0.11107101,-0.07792316,0.1691699,1.5155946,-1.0937455,0.20074624,1.0885822,-0.003119908,13.964363,0.12868118,0.34287465,0.39087838,0.1359109,0.10509252,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
222370675,222370161,19482372,36.660603099999996,126.342033,13.4216585,0.6601998,4.407243,-0.002337625,-0.0015572843,0.0,0.01649298,0.019523876,0.046212476,-0.022503009,0.11107101,-0.07792316,0.1691699,0.70628333,0.051837865,1.4897938,1.1290008,-0.003119908,13.964363,0.1484623,0.34997413,0.39124596,0.14019856,0.10640361,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
