timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
217458482,4259850,4259850,2490378,0,0,0.1099451,0.10994509,0.0,0.0,4325386,4325386,2490378,0,0,0.00189713,0.00189713,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
217463463,4259850,4259850,2490378,0,0,0.1102604,0.11026038,0.0,0.0,4325386,4325386,2490378,0,0,0.0019164893,0.0019164893,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
217658528,4259850,4259850,2490378,0,0,0.10865179,0.10865178,0.0,0.0,4325386,4325386,2490378,0,0,0.002387752,0.002387752,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
217858500,4259850,4259850,2490378,0,0,0.11093635,0.11093635,0.0,0.0,4325386,4325386,2490378,0,0,0.0021620863,0.0021620863,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
218058525,4259850,4259850,2490378,0,0,0.109728254,0.109728284,0.0,0.0,4325386,4325386,2490378,0,0,0.0024906208,0.0024906208,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
218258532,4259850,4259850,2490378,0,0,0.110828616,0.11082862,0.0,0.0,4325386,4325386,2490378,0,0,0.002283288,0.002283288,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
218458565,4259850,4259850,2490378,0,0,0.11061142,0.11061139,0.0,0.0,4325386,4325386,2490378,0,0,0.002216438,0.002216438,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
218658544,4259850,4259850,2490378,0,0,0.11302953,0.11302955,0.0,0.0,4325386,4325386,2490378,0,0,0.0022153347,0.0022153347,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
218858558,4259850,4259850,2490378,0,0,0.110232,0.11023199,0.0,0.0,4325386,4325386,2490378,0,0,0.002502978,0.002502978,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
219058579,4259850,4259850,2490378,0,0,0.11134921,0.11134924,0.0,0.0,4325386,4325386,2490378,0,0,0.0019522565,0.0019522565,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
219258593,4259850,4259850,2490378,0,0,0.11076249,0.11076249,0.0,0.0,4325386,4325386,2490378,0,0,0.002138282,0.002138282,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
219458611,4259850,4259850,2490378,0,0,0.10787147,0.10787149,0.0,0.0,4325386,4325386,2490378,0,0,0.0025087972,0.002508797,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
219658635,4259850,4259850,2490378,0,0,0.106460184,0.106460184,0.0,0.0,4325386,4325386,2490378,0,0,0.002509337,0.002509337,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
219858643,4259850,4259850,2490378,0,0,0.10589593,0.10589594,0.0,0.0,4325386,4325386,2490378,0,0,0.0020231998,0.0020231998,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
220058661,4259850,4259850,2490378,0,0,0.10393259,0.10393263,0.0,0.0,4325386,4325386,2490378,0,0,0.0023269542,0.0023269544,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
220258708,4259850,4259850,2490378,0,0,0.10794416,0.10794418,0.0,0.0,4325386,4325386,2490378,0,0,0.0021407157,0.002140716,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
220458692,4259850,4259850,2490378,0,0,0.114092395,0.11409239,0.0,0.0,4325386,4325386,2490378,0,0,0.0021556627,0.002155663,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
220658708,4259850,4259850,2490378,0,0,0.11192207,0.11192207,0.0,0.0,4325386,4325386,2490378,0,0,0.0021385138,0.002138514,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
220858729,4259850,4259850,2490378,0,0,0.12951145,0.12951146,0.0,0.0,4325386,4325386,2490378,0,0,0.0015117032,0.0015117029,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
221058750,4259850,4259850,2490378,0,0,0.11067648,0.11067651,0.0,0.0,4325386,4325386,2490378,0,0,0.0023869898,0.0023869898,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
221258757,4259850,4259850,2490378,0,0,0.11396066,0.11396068,0.0,0.0,4325386,4325386,2490378,0,0,0.0017957693,0.0017957692,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
221458775,4259850,4259850,2490378,0,0,0.13993879,0.13993882,0.0,0.0,4325386,4325386,2490378,0,0,0.0021203184,0.002120319,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
221658792,4259850,4259850,2490378,0,0,0.11828537,0.11828535,0.0,0.0,4325386,4325386,2490378,0,0,0.0014047276,0.0014047273,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
221858810,4259850,4259850,2490378,0,0,0.11819492,0.11819497,0.0,0.0,4325386,4325386,2490378,0,0,0.0017988033,0.0017988037,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222058824,4259850,4259850,2490378,0,0,0.13439819,0.13439819,0.0,0.0,4325386,4325386,2490378,0,0,0.004234834,0.004234834,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222258842,4259850,4259850,2490378,0,0,0.119185865,0.119185835,0.0,0.0,4325386,4325386,2490378,0,0,0.0019129465,0.0019129473,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222458817,4259850,4259850,2490378,0,0,0.11693543,0.11693543,0.0,0.0,4325386,4325386,2490378,0,0,0.0041530943,0.004153094,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222658877,4259850,4259850,2490378,0,0,0.12655078,0.12655082,0.0,0.0,4325386,4325386,2490378,0,0,0.0026801296,0.0026801291,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
222858910,4259850,4259850,2490378,0,0,0.13924487,0.13924497,0.0,0.0,4325386,4325386,2490378,0,0,0.0036646537,0.0036646542,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223058982,4259850,4259850,2490378,0,0,0.19557467,0.19557466,0.0,0.0,4325386,4325386,2490378,0,0,0.0041320315,0.004132032,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223258925,4259850,4259850,2490378,0,0,0.11134814,0.111348234,0.0,0.0,4325386,4325386,2490378,0,0,0.0038470288,0.0038470286,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223458942,4259850,4259850,2490378,0,0,0.116051905,0.11605187,0.0,0.0,4325386,4325386,2490378,0,0,0.006630565,0.0066305688,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223658960,4259850,4259850,2490378,0,0,0.15535961,0.15535958,0.0,0.0,4325386,4325386,2490378,0,0,0.007700609,0.007700607,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
223858978,4259850,4259850,2490378,0,0,0.1593767,0.15937671,0.0,0.0,4325386,4325386,2490378,0,0,0.0014590087,0.0014590103,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224059007,4259850,4259850,2490378,0,0,0.11948203,0.11948205,0.0,0.0,4325386,4325386,2490378,0,0,0.0048881657,0.004888165,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224259009,4259850,4259850,2490378,0,0,0.13126765,0.13126764,0.0,0.0,4325386,4325386,2490378,0,0,0.004203541,0.0042035435,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224459032,4259850,4259850,2490378,0,0,0.1593252,0.15932518,0.0,0.0,4325386,4325386,2490378,0,0,0.0029646277,0.002964626,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224659082,4259850,4259850,2490378,0,0,0.124560475,0.124560475,0.0,0.0,4325386,4325386,2490378,0,0,0.0006717862,0.000671786,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
224859066,4259850,4259850,2490378,0,0,0.117076755,0.11707677,0.0,0.0,4325386,4325386,2490378,0,0,0.0022827643,0.002282764,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225059079,4259850,4259850,2490378,0,0,0.1315809,0.13158092,0.0,0.0,4325386,4325386,2490378,0,0,0.0032690333,0.003269034,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225259097,4259850,4259850,2490378,0,0,0.12663023,0.12663023,0.0,0.0,4325386,4325386,2490378,0,0,0.0031570676,0.0031570673,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225459113,4259850,4259850,2490378,0,0,0.13801156,0.13801154,0.0,0.0,4325386,4325386,2490378,0,0,0.001817094,0.0018170938,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225659131,4259850,4259850,2490378,0,0,0.12589571,0.12589559,0.0,0.0,4325386,4325386,2490378,0,0,0.0018612443,0.0018612446,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
225859150,4259850,4259850,2490378,0,0,0.103153795,0.10315381,0.0,0.0,4325386,4325386,2490378,0,0,0.0021933059,0.0021933059,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226059166,4259850,4259850,2490378,0,0,0.119567804,0.119567834,0.0,0.0,4325386,4325386,2490378,0,0,0.0017478185,0.0017478183,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226259184,4259850,4259850,2490378,0,0,0.14214519,0.14214517,0.0,0.0,4325386,4325386,2490378,0,0,0.0017120711,0.001712072,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226459200,4259850,4259850,2490378,0,0,0.11381039,0.11381035,0.0,0.0,4325386,4325386,2490378,0,0,0.0020327612,0.0020327615,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226659235,4259850,4259850,2490378,0,0,0.13637403,0.13637403,0.0,0.0,4325386,4325386,2490378,0,0,0.0019418993,0.0019418994,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
226859232,4259850,4259850,2490378,0,0,0.18498315,0.1849832,0.0,0.0,4325386,4325386,2490378,0,0,0.0034826912,0.003482691,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
227059249,4259850,4259850,2490378,0,0,0.15110488,0.15110488,0.0,0.0,4325386,4325386,2490378,0,0,0.0026794495,0.0026794488,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
