timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
218261491,218136700,0.012927366,0.011324003,0.016718706,1,0,0,0,0,0,0,0,0,0,0
219269455,219139199,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
220266680,220132675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
221264522,221135676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
222261965,222130675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
223269718,223136689,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
224257292,224126674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
225264895,225139676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
226272432,226139676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
227270269,227140676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
228257849,228131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
229265432,229133681,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
230263136,230138683,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
231270648,231139970,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
232268297,232140675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
233265947,233135675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
234263684,234134675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
235261396,235131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
236268861,236135675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
237246770,237119675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
238264302,238133674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
239271747,239138680,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
240269517,240136698,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
241267109,241139687,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
242274668,242143674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
243272330,243138674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
244270034,244139674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
245267687,245134675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
246255534,246129675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
247263040,247132683,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
248270660,248138718,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
249268368,249138672,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
250256128,250122673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
251263659,251137674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
252261339,252130672,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
253268885,253143675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
254267255,254137100,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
255264205,255138674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
