timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
217458369,217453500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217463367,217458516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217560874,217558496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217660912,217658572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217760889,217758509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217860897,217858535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217958403,217953522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218060915,218058564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218158421,218153541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218260932,218258566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218360950,218358548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218460947,218458599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218560958,218558593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218658457,218653598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218760970,218758583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218858473,218853583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218960986,218958602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219060994,219058628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219161004,219158626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219261013,219258629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219358520,219353650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219461026,219458647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219558531,219553648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219661043,219658668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219761051,219758666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219861060,219858677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219961073,219958694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220058574,220053695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220161086,220158707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220258593,220253706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220361100,220358722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220461110,220458725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220561118,220558736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220661127,220658739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220758635,220753752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220858643,220853757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220958653,220953763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221061163,221058784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221161172,221158818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221261176,221258793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221361183,221358799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221458692,221453808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221561203,221558817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221658708,221653825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221761220,221758840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221861228,221858842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221958732,221953844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222061246,222058857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222158815,222153904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222261258,222258876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222358766,222353878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
