timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale_raw,tas_scale_raw_var,tas_scale_validated,beta_innov,beta_innov_var,source
218383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
219383852,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
220383852,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
221383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
222383859,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
223383900,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
224383861,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
225383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
226383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
227383850,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
228383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
229383852,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
230383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
231383862,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
232383852,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
233383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
234383852,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
235383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
236383850,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
237383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
238383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
239383850,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
240383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
241383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
242383851,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
243383850,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1399999,0.0,0.0,1
