timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
240048613,1693632383600298,11010053,366607235,1263420396,30563,48218,0.279,0.75940925,0.89000005,1.389,0.62,0.93,96,79,0.09,-0.08800001,0.020000001,-3.0080001,1.8170205,0,nan,0.0,0.0,1092,3,0,1,18
241050823,1693632384600298,11010053,366607230,1263420402,33597,51252,0.27,0.75994813,0.887,1.389,0.62,0.93,96,76,0.120000005,-0.0050000004,0.120000005,-2.959,1.8170205,0,nan,0.0,0.0,1092,3,0,1,18
242054612,1693632385600298,11010053,366607239,1263420419,36731,54387,0.272,0.73860514,0.883,1.389,0.59,0.93,96,82,0.10300001,0.057000004,0.086,-3.0700002,1.0769348,0,nan,0.0,0.0,1092,3,0,1,19
243051613,1693632386600299,11010053,366607251,1263420423,39820,57475,0.273,0.73916703,0.87900007,1.389,0.59,0.93,96,80,0.072000004,0.061000004,-0.040000003,-3.1100001,1.0769348,0,nan,0.0,0.0,1092,3,0,1,19
244055625,1693632387600299,11010053,366607242,1263420404,42897,60553,0.266,0.7748712,0.87600005,1.3870001,0.62,0.93,96,60,0.21900001,-0.120000005,-0.18200001,-3.012,3.6902118,0,nan,0.0,0.0,1092,3,0,1,18
245034617,1693632388600299,11010053,366607229,1263420393,46019,63674,0.279,0.67007357,0.873,1.386,0.62,0.93,96,99,0.187,-0.186,0.022000002,-3.0600002,3.8373346,0,nan,0.0,0.0,1092,3,0,1,18
246047628,1693632389600300,11010053,366607215,1263420406,49117,66772,0.275,0.76070875,0.873,1.3870001,0.62,0.93,96,63,0.201,-0.11100001,0.16800001,-3.028,3.4280212,0,nan,0.0,0.0,1092,3,0,1,18
247046619,1693632390600300,11010053,366607215,1263420430,52144,69799,0.266,0.6681441,0.87100005,1.3870001,0.59,0.93,96,78,0.28,0.126,0.25,-2.805,2.1141918,0,nan,0.0,0.0,1092,3,0,1,19
248049613,1693632391600300,11010053,366607238,1263420448,54870,72525,0.26200002,0.5139773,0.87000006,1.388,0.62,0.93,96,94,0.34100002,0.33900002,0.035,-2.194,0.24481802,0,nan,0.0,0.0,1092,3,0,1,18
249049613,1693632392600300,11010053,366607260,1263420429,56704,74359,0.252,0.49063542,0.86800003,1.388,0.62,0.93,96,79,0.39000002,0.125,-0.36900002,-1.2950001,5.2801948,0,nan,0.0,0.0,1092,3,0,1,18
250048855,1693632393600301,11010053,366607253,1263420395,57959,75614,0.28,0.5001649,0.86700004,1.386,0.62,0.93,96,62,0.38700002,-0.19900002,-0.33100003,-0.91200006,4.253181,0,nan,0.0,0.0,1092,3,0,1,18
251051762,1693632394600301,11010053,366607229,1263420366,58650,76305,0.27800003,0.47704682,0.86800003,1.3900001,0.62,0.93,96,80,0.393,-0.33200002,-0.21100001,-0.441,3.740038,0,nan,0.0,0.0,1092,3,0,1,18
252044612,1693632395600301,11010053,366607184,1263420324,58979,76634,0.22800002,0.13952929,0.869,1.3900001,0.62,0.93,96,82,1.3540001,-0.92200005,-0.99200004,-0.19500001,3.9263773,0,nan,0.0,0.0,1092,3,0,1,18
253054614,1693632396600302,11010053,366607105,1263420246,59274,76930,0.24000001,0.2470763,0.873,1.3920001,0.62,0.93,96,79,0.906,-0.882,-0.20700002,-0.21800001,3.594583,0,nan,0.0,0.0,1092,3,0,1,18
254051988,1693632397600302,11010053,366607080,1263420330,59592,77247,0.187,0.10492186,0.878,1.401,0.59,0.93,96,79,1.978,0.77400005,1.8210001,-0.09200001,1.3431019,0,nan,0.0,0.0,1092,3,0,1,19
255050612,1693632398600302,11010053,366607264,1263420563,59841,77496,0.171,0.055107202,0.878,1.411,0.59,0.93,96,80,3.5740001,3.203,1.585,-0.080000006,0.5820907,0,nan,0.0,0.0,1092,3,0,1,19
256054614,1693632399600303,11010053,366607559,1263420663,60062,77718,0.224,0.05817985,0.874,1.4070001,0.62,0.93,96,73,2.917,2.917,0.069000006,-0.08400001,0.11834658,0,nan,0.0,0.0,1092,3,0,1,18
257049613,1693632400600303,11010053,366607699,1263420560,59887,77542,0.171,0.12326789,0.87700003,1.404,0.62,0.93,96,98,1.725,0.314,-1.6960001,0.22000001,5.126643,0,nan,0.0,0.0,1092,3,0,1,18
258036612,1693632401600303,11010053,366607707,1263420353,59741,77396,0.18300001,0.1689655,0.878,1.404,0.59,0.93,96,80,1.5120001,0.31100002,-1.48,0.15300001,4.7959194,0,nan,0.0,0.0,1092,3,0,1,19
259049673,1693632402600303,11010053,366607807,1263420336,59555,77210,0.263,0.08600109,0.883,1.4150001,0.62,0.93,96,81,1.9660001,1.7590001,0.87700003,0.133,0.33709323,0,nan,0.0,0.0,1092,3,0,1,18
260045614,1693632403600304,11010053,366607953,1263420436,59343,76998,0.24800001,0.103645675,0.8880001,1.422,0.59,0.93,96,79,1.7080001,1.5300001,0.75900006,0.142,0.49001268,0,nan,0.0,0.0,1092,3,0,1,19
261043205,1693632404600304,11010053,366608090,1263420498,59173,76828,0.268,0.18982846,0.89100003,1.424,0.64,1.01,96,78,0.883,0.83900005,0.27800003,0.012,0.32326096,0,nan,0.0,0.0,1092,3,0,1,18
