timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
316792801,316692349,2.1309328,3.4573233,0.08056863,0.034560468,6.390398,2.1460207,0.31190175,0.090248436
317792818,317692429,2.136913,3.4230225,0.08088856,0.034618154,6.390398,2.1460207,0.27367613,0.09024481
318782920,318682509,2.1701913,3.364868,0.08112764,0.03462772,6.390398,2.1460207,0.31887004,0.09022227
319793177,319692589,2.1763556,3.3594832,0.08128698,0.03469902,6.390398,2.1460207,0.014114582,0.09020661
320793096,320692669,2.1784327,3.346381,0.08163476,0.0349291,6.390398,2.1460207,0.18580717,0.09015684
321783164,321682747,2.1386948,3.3010547,0.08191735,0.035108108,6.390398,2.1460207,0.47122553,0.09032571
322783385,322682827,2.1101797,3.2619846,0.08223097,0.035317335,6.390398,2.1460207,0.25845486,0.09020271
323793294,323692906,2.1045783,3.2393417,0.08260035,0.03550232,6.390398,2.1460207,0.17243113,0.09018339
324793527,324692985,2.103939,3.2095058,0.08293964,0.03561292,6.390398,2.1460207,0.22295481,0.09020828
325783454,325683063,2.1044,3.1869774,0.08323812,0.035707794,6.390398,2.1460207,0.22441614,0.09022579
326783558,326683142,2.1044786,3.1544552,0.0835155,0.03572945,6.390398,2.1460207,0.23240077,0.09024552
327793620,327693221,2.102129,3.1195004,0.08378274,0.03574769,6.390398,2.1460207,0.24943,0.09025071
328783730,328683298,2.0995798,3.0920594,0.084032655,0.035799183,6.390398,2.1460207,0.23027675,0.09024575
329783944,329683376,2.096325,3.0651362,0.08426356,0.03581656,6.390398,2.1460207,0.22475046,0.090250745
330793844,330693455,2.0928302,3.039231,0.0844736,0.035811767,6.390398,2.1460207,0.18424976,0.09026227
331784145,331683531,2.0903816,3.0183566,0.084660776,0.03580592,6.390398,2.1460207,0.19059557,0.09028358
332784062,332683609,2.0885804,2.9960299,0.084840275,0.03574665,6.390398,2.1460207,0.1479303,0.09028937
333784174,333683686,2.0867727,2.9737563,0.08501625,0.035678994,6.390398,2.1460207,0.16934615,0.09029906
334794432,334693764,2.0843706,2.9526608,0.085191354,0.03562418,6.390398,2.1460207,0.16312262,0.09029034
335784336,335683840,2.0820968,2.9359343,0.08536318,0.03561694,6.390398,2.1460207,0.1410247,0.09026952
336784411,336683917,2.079505,2.9198391,0.08552734,0.035600815,6.390398,2.1460207,0.16316421,0.09026594
337787066,337683994,2.073846,2.9058766,0.085663095,0.03562012,6.390398,2.1460207,0.15144955,0.09024479
338794502,338694071,2.053848,2.89225,0.08564824,0.03563812,6.390398,2.1460207,0.15468752,0.0902511
339784553,339684147,2.0166075,2.885439,0.08534603,0.035680562,6.390398,2.1460207,0.22487888,0.090282924
340784768,340684223,1.9646684,2.8905015,0.08473047,0.03577969,6.390398,2.1460207,0.2434254,0.09033992
341784693,341684299,1.9030511,2.8966026,0.08363293,0.035917338,6.390398,2.1460207,0.19431181,0.090365924
342784776,342684375,1.834053,2.912679,0.08207305,0.036002245,6.390398,2.1460207,0.13006327,0.090431154
343784891,343684451,1.8066264,2.920021,0.08084985,0.036044084,6.390398,2.1460207,0.05706249,0.09039422
344784910,344684526,1.7915561,2.9255178,0.07981617,0.03598005,6.390398,2.1460207,0.022297138,0.09035593
345794986,345694602,1.791795,2.9244049,0.079314396,0.035864845,6.390398,2.1460207,-0.028963367,0.090299144
346785058,346684677,1.7962449,2.9180377,0.07930859,0.03582863,6.390398,2.1460207,-0.059554048,0.09024871
347785152,347684752,1.8012987,2.903798,0.07953673,0.03580808,6.390398,2.1460207,-0.11446542,0.09021735
348785211,348684827,1.79836,2.8875728,0.079826675,0.035904553,6.390398,2.1460207,-0.1283066,0.090199895
349785283,349684901,1.7889878,2.8759475,0.080029,0.03613009,6.390398,2.1460207,-0.13385335,0.09020887
350785366,350684975,1.767027,2.8665643,0.08000371,0.0364222,6.390398,2.1460207,-0.14538173,0.09022412
351785452,351685050,1.7363471,2.8620586,0.079737484,0.036759645,6.390398,2.1460207,-0.147452,0.09024287
