timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
217335259,nan,0,0,0,0,0,0,0,0
217836725,nan,0,0,0,0,0,0,0,0
218023844,nan,0,0,0,0,0,0,0,0
218045652,nan,0,0,0,0,0,0,0,0
218551649,nan,0,0,0,0,0,0,0,0
219057649,nan,0,0,0,0,0,0,0,0
219564108,nan,0,0,0,0,0,0,0,0
220069911,nan,0,0,0,0,0,0,0,0
220575650,nan,0,0,0,0,0,0,0,0
221081669,nan,0,0,0,0,0,0,0,0
221587650,nan,0,0,0,0,0,0,0,0
222093671,nan,0,0,0,0,0,0,0,0
222599663,nan,0,0,0,0,0,0,0,0
223106658,nan,0,0,0,0,0,0,0,0
223612648,nan,0,0,0,0,0,0,0,0
224119849,nan,0,0,0,0,0,0,0,0
224625669,nan,0,0,0,0,0,0,0,0
225131649,nan,0,0,0,0,0,0,0,0
225637649,nan,0,0,0,0,0,0,0,0
226143649,nan,0,0,0,0,0,0,0,0
226649653,nan,0,0,0,0,0,0,0,0
227155668,nan,0,0,0,0,0,0,0,0
227661669,nan,0,0,0,0,0,0,0,0
228167649,nan,0,0,0,0,0,0,0,0
228673648,nan,0,0,0,0,0,0,0,0
229179889,nan,0,0,0,0,0,0,0,0
229685650,nan,0,0,0,0,0,0,0,0
230191650,nan,0,0,0,0,0,0,0,0
230697810,nan,0,0,0,0,0,0,0,0
231203678,nan,0,0,0,0,0,0,0,0
231710111,nan,0,0,0,0,0,0,0,0
232215648,nan,0,0,0,0,0,0,0,0
232721648,nan,0,0,0,0,0,0,0,0
233228718,nan,0,0,0,0,0,0,0,0
233734648,nan,0,0,0,0,0,0,0,0
234240669,nan,0,0,0,0,0,0,0,0
234746648,nan,0,0,0,0,0,0,0,0
235252668,nan,0,0,0,0,0,0,0,0
235758667,nan,0,0,0,0,0,0,0,0
236264651,nan,0,0,0,0,0,0,0,0
236770649,nan,0,0,0,0,0,0,0,0
237276648,nan,0,0,0,0,0,0,0,0
237782722,nan,0,0,0,0,0,0,0,0
238288797,nan,0,0,0,0,0,0,0,0
238794649,nan,0,0,0,0,0,0,0,0
239300807,nan,0,0,0,0,0,0,0,0
239806648,nan,0,0,0,0,0,0,0,0
240312649,nan,0,0,0,0,0,0,0,0
240818668,nan,0,0,0,0,0,0,0,0
241324649,nan,0,0,0,0,0,0,0,0
241830983,nan,0,0,0,0,0,0,0,0
242336648,nan,0,0,0,0,0,0,0,0
242842650,nan,0,0,0,0,0,0,0,0
243348658,nan,0,0,0,0,0,0,0,0
243854663,nan,0,0,0,0,0,0,0,0
244361649,nan,0,0,0,0,0,0,0,0
244867650,nan,0,0,0,0,0,0,0,0
245373664,nan,0,0,0,0,0,0,0,0
245879668,nan,0,0,0,0,0,0,0,0
246385648,nan,0,0,0,0,0,0,0,0
246892651,nan,0,0,0,0,0,0,0,0
247398669,nan,0,0,0,0,0,0,0,0
247904648,nan,0,0,0,0,0,0,0,0
248410648,nan,0,0,0,0,0,0,0,0
248916649,nan,0,0,0,0,0,0,0,0
249422647,nan,0,0,0,0,0,0,0,0
249928667,nan,0,0,0,0,0,0,0,0
250434649,nan,0,0,0,0,0,0,0,0
250940649,nan,0,0,0,0,0,0,0,0
251446991,nan,0,0,0,0,0,0,0,0
251952668,nan,0,0,0,0,0,0,0,0
252459158,nan,0,0,0,0,0,0,0,0
252964647,nan,0,0,0,0,0,0,0,0
253470647,nan,0,0,0,0,0,0,0,0
253977648,nan,0,0,0,0,0,0,0,0
