timestamp,lat,lon,alt,x,y,z,yaw,valid_alt,valid_hpos,valid_lpos,manual_home
213957645,36.66072259502875,126.34204036515534,9.645031,13.287241,0.6569639,4.3193216,1.0535883,1,1,1,0
219069038,36.660723163460005,126.34204036338527,9.51825,13.350448,0.656806,4.446102,1.0629276,1,1,1,0
253933608,36.660723163460005,126.34204036338527,9.51825,13.350448,0.656806,4.446102,1.5414312,1,1,1,0
475411715,36.66070118763141,126.34202642065105,8.3628845,10.906847,-0.58687097,5.602777,0.37163258,1,1,1,0
497879716,36.660595675032894,126.34201095545609,9.651669,-0.82561845,-1.9663527,4.313994,2.1376367,1,1,1,0
