timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
230729955,230729914,0.692763,2.274895e-05,-0.81804407,1.7631671,0.042171337,1.7533371,1
230839962,230839866,0.6920551,2.2131573e-05,1.6417916,1.6980981,0.17637245,1.6978908,1
230930026,230929984,0.69170076,2.164402e-05,-1.5757393,1.685418,0.16368866,1.6861581,1
231039926,231039844,0.69244224,2.108147e-05,-3.4346442,1.7288843,0.7581498,1.7752397,1
231130010,231129969,0.6922113,2.0660495e-05,0.13980985,1.7916543,0.0012122126,1.7786986,1
231239985,231239905,0.6921223,2.0156174e-05,0.33776182,1.7264919,0.0073419944,1.7143228,1
231330046,231330005,0.69257665,1.9744373e-05,0.01463446,1.6660742,1.4282906e-05,1.65388,1
231429913,231429873,0.69236195,1.9296549e-05,0.18349114,1.6305743,0.0022942836,1.6188242,1
231530092,231530051,0.6919398,1.8870363e-05,-2.4221919,1.6476791,0.3956416,1.6660169,1
231629907,231629866,0.6911929,1.8479126e-05,-2.0817316,1.6942607,0.2842017,1.705224,1
231740073,231739994,0.6905631,1.8068773e-05,0.17084023,1.6659185,0.0019466329,1.6541164,1
231829940,231829879,0.6901851,1.7732344e-05,0.5579655,1.6261979,0.021271534,1.6156096,1
231940033,231939954,0.6899152,1.7336e-05,1.6017705,1.6800421,0.16968283,1.6790341,1
232029945,232029902,0.6901246,1.703164e-05,0.9742006,1.6911775,0.06235411,1.6831732,1
232129988,232129947,0.68970263,1.6701586e-05,-0.15251085,1.6326141,0.00158298,1.6215723,1
232239998,232239902,0.689405,1.6340384e-05,-0.35121733,1.5566558,0.008804745,1.5468491,1
232330029,232329986,0.6889507,1.6047612e-05,-0.7961964,1.5292876,0.04605839,1.5228953,1
232440100,232440020,0.68882436,1.5702628e-05,-1.7601316,1.5618558,0.22039759,1.5688483,1
232530178,232530136,0.6885444,1.544138e-05,-1.2179458,1.6374508,0.10065727,1.6354561,1
232640035,232639954,0.6888952,1.5147798e-05,-1.0152594,1.6789299,0.06821485,1.6738111,1
232730054,232730013,0.68843037,1.4916819e-05,0.50367796,1.6775066,0.016803477,1.6668937,1
232830106,232830044,0.6881565,1.4667854e-05,-0.17881218,1.6777006,0.0021175672,1.6668907,1
232940174,232940095,0.6884919,1.44090445e-05,-2.7387426,1.7500281,0.47622794,1.7787237,1
233030080,233030037,0.6887273,1.422154e-05,-3.3202205,1.9200792,0.6379288,1.9649136,1
233140267,233140153,0.6890422,1.4018765e-05,0.53536594,2.1010542,0.015157294,2.089039,1
233230050,233230008,0.68905866,1.3864029e-05,-1.5906991,2.1401458,0.13136818,2.1397097,1
233330145,233330102,0.6888613,1.3699838e-05,-0.5635931,2.1845489,0.016155748,2.1727607,1
233430109,233430066,0.68877584,1.3539162e-05,-0.44460785,2.1194851,0.010362901,2.1074047,1
233530127,233530085,0.6885177,1.33759595e-05,0.23224385,2.028283,0.0029547273,2.0157046,1
233640139,233640059,0.6883624,1.3193619e-05,-0.3980748,1.9802883,0.0088911615,1.9689585,1
233730158,233730115,0.6882481,1.304897e-05,2.4620728,2.0230458,0.3329305,2.0384262,1
233840165,233840084,0.68881243,1.2884398e-05,-2.4239056,2.171677,0.30060324,2.1878982,1
233930149,233930108,0.6886568,1.2759612e-05,-0.38826585,2.24861,0.0074490644,2.2357368,1
234030114,234030073,0.6886303,1.2625526e-05,0.026209265,2.230289,3.422205e-05,2.2166708,1
234130213,234130172,0.6886589,1.24925145e-05,-0.035034582,2.1759226,6.267696e-05,2.1626332,1
234230222,234230182,0.6886601,1.2357644e-05,-0.49359024,2.0852363,0.0129818125,2.073694,1
234340331,234340251,0.68889,1.2207331e-05,-1.448305,2.0540001,0.11346895,2.051699,1
234430151,234430110,0.6886404,1.2088512e-05,-2.2772093,2.101264,0.27420965,2.1145747,1
234540239,234540156,0.68884593,1.1949585e-05,-1.5478036,2.1317003,0.124871425,2.13054,1
234630164,234630123,0.6888087,1.1837834e-05,-1.2844936,2.097899,0.08738498,2.0932927,1
234730226,234730185,0.688793,1.1711904e-05,0.22233102,2.0120535,0.0027297197,1.9999788,1
234830219,234830178,0.6888591,1.1583045e-05,0.07051509,1.9275597,0.0002866248,1.9156237,1
234930325,234930271,0.6889249,1.14506e-05,0.4735343,1.8765231,0.013277197,1.8658658,1
235030256,235030214,0.6891185,1.1307485e-05,-1.1363574,1.9092158,0.07515059,1.903187,1
235130253,235130212,0.6887231,1.1158801e-05,1.2488785,1.915917,0.09045262,1.9111837,1
235240268,235240187,0.6885393,1.0986806e-05,-2.156328,1.8915665,0.27312753,1.9029335,1
235330276,235330235,0.6879496,1.0849581e-05,-1.6344696,1.9853543,0.14951101,1.987193,1
235430335,235430293,0.6870771,1.0705419e-05,-2.0247657,2.1762402,0.20931493,2.1863804,1
235530319,235530278,0.68595445,1.0573943e-05,-2.4271736,2.5408313,0.25762224,2.4583123,1
235630329,235630267,0.68522066,1.0486171e-05,-0.74116874,4.2661753,0.014307145,2.5042257,1
235740394,235740315,0.68516725,1.0434608e-05,0.39509463,6.286627,0.0027589386,2.454397,1
235830309,235830268,0.6851138,1.0408059e-05,0.66765475,7.3951573,0.0066975188,2.3527465,1
235940386,235940305,0.6851279,1.038286e-05,0.13536453,8.087052,0.0002517544,2.2477345,1
236030317,236030276,0.6851756,1.0364434e-05,0.34835994,8.300262,0.0016245089,2.190563,1
236130385,236130344,0.6853319,1.0345418e-05,-1.7849028,8.192158,0.043210406,2.1497335,1
236230368,236230326,0.68553406,1.0328247e-05,1.0849895,8.333977,0.01569482,2.216391,1
236330363,236330322,0.68576646,1.0311894e-05,-1.7425627,7.9441633,0.04247038,2.2930124,1
236440418,236440323,0.6860946,1.0290121e-05,-2.1430092,7.3171873,0.0697367,2.2846708,1
236530473,236530432,0.6862693,1.0269443e-05,0.2837211,7.0886283,0.0012617653,2.2447784,1
236640392,236640312,0.6865601,1.0242969e-05,-3.112594,7.143737,0.15068741,2.329947,1
236730424,236730384,0.68687767,1.0223467e-05,-3.363191,7.7729,0.16168788,2.498345,1
236832918,236832877,0.6870348,1.0205715e-05,0.82262003,8.392669,0.008958926,2.5658267,1
236930461,236930418,0.68716544,1.0188372e-05,-2.2791724,8.671986,0.06655694,2.6676245,1
237030398,237030355,0.6874886,1.0172152e-05,-1.8027627,8.931353,0.040431272,2.762201,1
237140542,237140462,0.68759376,1.0154641e-05,-1.6137962,8.977133,0.03223422,2.7809234,1
237230429,237230385,0.6877436,1.0141104e-05,-4.455701,9.343057,0.23610248,2.9416842,1
237340511,237340430,0.6878481,1.0126973e-05,1.6082628,10.171085,0.028255582,3.0340807,1
237430453,237430409,0.68796337,1.0115862e-05,0.2847209,10.034069,0.0008976749,2.979762,1
237530532,237530459,0.6881282,1.0102856e-05,-0.23253816,9.656046,0.00062222383,2.8553026,1
237630441,237630398,0.68831885,1.0088516e-05,-1.4446728,9.1640215,0.025305236,2.7316973,1
237730481,237730437,0.68851197,1.0072669e-05,0.24455214,8.783816,0.0007565144,2.6370096,1
237840520,237840437,0.6887461,1.0053488e-05,-1.9474223,8.387652,0.05023858,2.5684214,1
237930561,237930489,0.68896,1.0036795e-05,-2.439817,8.146191,0.08119278,2.5102808,1
238040613,238040531,0.6893118,1.0014809e-05,-2.0689294,7.830174,0.06074037,2.4420223,1
238130505,238130463,0.68957406,9.995079e-06,-0.9016906,7.5029955,0.012040315,2.3549168,1
238230544,238230504,0.690005,9.9720955e-06,-1.5684618,7.5918922,0.03600438,2.4522834,1
238330552,238330509,0.690448,9.950501e-06,-1.7955902,8.086678,0.044299804,2.5783343,1
238430600,238430558,0.6907945,9.931015e-06,-2.8062842,8.273351,0.10576436,2.5733511,1
238540651,238540566,0.69102013,9.910614e-06,-1.3201871,8.502758,0.022775536,2.5930448,1
238630611,238630555,0.6912302,9.894856e-06,1.1945415,8.932571,0.01774939,2.7344415,1
238740633,238740548,0.6915984,9.876622e-06,-1.6339885,8.937426,0.033192735,2.729727,1
238830561,238830521,0.6918727,9.86101e-06,-2.2028654,8.651457,0.062322397,2.6454182,1
238930573,238930532,0.69219846,9.843105e-06,-2.829969,8.433392,0.105516054,2.546554,1
239030684,239030639,0.692501,9.824862e-06,-4.3773766,8.487433,0.25084698,2.593283,1
239130636,239130591,0.6927473,9.8077735e-06,-4.764496,8.881879,0.2839792,2.720424,1
239240704,239240620,0.6930505,9.790518e-06,-3.1945524,9.245847,0.122639626,2.7407458,1
239330753,239330677,0.69330394,9.777077e-06,-3.4431143,9.304162,0.14157388,2.7251792,1
239430616,239430571,0.6936141,9.762575e-06,-2.1869311,9.340311,0.056893986,2.6916296,1
239530657,239530582,0.6939446,9.7476095e-06,-1.420266,9.131219,0.02454529,2.5863943,1
239630698,239630656,0.6943259,9.732853e-06,-1.6732814,9.457026,0.032895837,2.6379054,1
239730701,239730654,0.6945772,9.720315e-06,-2.232308,10.085634,0.054898754,2.7579536,1
239830641,239830579,0.69468063,9.709044e-06,-1.8508171,10.145312,0.03751622,2.7355907,1
239940800,239940721,0.6948995,9.696236e-06,-2.156053,9.739226,0.0530337,2.612924,1
240030770,240030730,0.6951158,9.685348e-06,-3.3547988,9.718615,0.1286726,2.6221993,1
240130665,240130624,0.69537485,9.673568e-06,-1.7739582,9.829629,0.035571907,2.6143484,1
240230754,240230712,0.6956694,9.661924e-06,-2.97646,9.7687645,0.100766905,2.6008205,1
240330685,240330644,0.6959363,9.65001e-06,-3.0574994,9.622551,0.107944384,2.5736306,1
240430772,240430731,0.69614875,9.637502e-06,-1.1729269,9.290953,0.016452774,2.466755,1
240530773,240530715,0.6962972,9.624104e-06,-0.65853494,9.128811,0.0052783834,2.4135232,1
240640755,240640672,0.6965662,9.609787e-06,-4.093561,9.426003,0.19752972,2.5498958,1
240730725,240730684,0.6967961,9.599326e-06,-2.6798923,9.8551035,0.08097128,2.6323948,1
240830836,240830795,0.6970951,9.588072e-06,-1.3875357,9.835914,0.02174859,2.6124816,1
240930783,240930742,0.69735545,9.576012e-06,-1.2090449,9.403434,0.017272526,2.4900272,1
241030787,241030746,0.6976558,9.563188e-06,-2.3101041,9.166526,0.06468683,2.4255097,1
241130762,241130721,0.69794333,9.550556e-06,-1.4951057,9.475354,0.026212342,2.4869933,1
241230789,241230732,0.69816667,9.538967e-06,-0.97898537,9.619405,0.011070359,2.4946384,1
241340843,241340763,0.6983791,9.526091e-06,-1.2583336,9.26736,0.018984232,2.3827085,1
241430804,241430761,0.69858474,9.5147525e-06,-0.6509687,8.92484,0.005275665,2.2897618,1
241530798,241530755,0.6988625,9.501074e-06,-1.5276527,8.499922,0.03050646,2.1908681,1
241630807,241630764,0.6991309,9.486191e-06,-1.7980468,8.136694,0.044148047,2.0983684,1
241730851,241730808,0.69938534,9.470726e-06,-2.265909,8.060731,0.070773065,2.0643206,1
241830830,241830787,0.6996739,9.455602e-06,-3.5187852,8.165309,0.16848855,2.1025171,1
241930853,241930811,0.7,9.441912e-06,-4.3217635,8.741081,0.23741837,2.2699995,1
242040948,242040868,0.7,9.429044e-06,-1.0935881,9.350103,0.014211786,2.3810637,1
242130910,242130867,0.7,9.418906e-06,-0.9112068,9.264178,0.009958284,2.375125,1
242230913,242230870,0.6999928,9.406973e-06,0.43574595,9.043697,0.0023328036,2.3390212,1
242330872,242330829,0.7,9.394386e-06,-0.30290353,8.782866,0.0011607265,2.2638004,1
242430958,242430895,0.7,9.3812e-06,-1.1261576,8.462304,0.016652033,2.166928,1
242530914,242530873,0.7,9.367091e-06,-1.5662272,8.138268,0.03349153,2.0804622,1
242630963,242630908,0.7,9.352405e-06,-1.1555037,7.990357,0.018566668,2.0188637,1
242740998,242740900,0.7,9.335834e-06,-2.2178469,7.879206,0.06936464,1.9894004,1
242830923,242830881,0.7,9.3221015e-06,-2.8614118,7.683515,0.11840179,1.9549294,1
242930971,242930915,0.7,9.3060835e-06,-1.1370262,7.4628825,0.019248277,1.87837,1
243030960,243030920,0.7,9.288931e-06,-1.8570414,7.118488,0.05382858,1.7918305,1
243131001,243130960,0.7,9.270725e-06,-1.4270852,6.9153776,0.03272211,1.735878,1
243230956,243230915,0.7,9.252043e-06,-2.5572858,6.8556156,0.10599114,1.7316141,1
243330994,243330953,0.7,9.233412e-06,-1.260211,6.8796544,0.025649412,1.7263945,1
