timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
217088715,216988220,4325386,0.0018856978,0.002268718,-0.00040891528,0.34906584,2.1831801e-07,2.2095405e-07,4.2909053e-07,4259850,0.109859355,0.017623127,-0.017847314,0.4,0.0005001152,0.0006021447,0.0005001134,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
218098893,217998302,4325386,0.0019083986,0.0022748017,-0.00050713815,0.34906584,2.1585736e-07,2.186026e-07,4.2994228e-07,4259850,0.10984859,0.017840639,-0.01725355,0.4,0.00050030823,0.0006022387,0.00050030503,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
219108846,219008385,4325386,0.0019052542,0.0022685074,-0.00067700393,0.34906584,2.1294206e-07,2.1569116e-07,4.290118e-07,4259850,0.109746404,0.018170277,-0.017193435,0.4,0.00049931253,0.00060100027,0.00049931044,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
220119006,220018469,4325386,0.0019282801,0.0022555979,-0.000714753,0.34906584,2.107719e-07,2.1344522e-07,4.2986443e-07,4259850,0.10980618,0.01814764,-0.016661208,0.4,0.00049958914,0.00060120085,0.0004995865,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
221059464,220958546,4325386,0.0019454552,0.0022780783,-0.000576578,0.34906584,2.0829108e-07,2.1081728e-07,4.3018633e-07,4259850,0.10993062,0.01786286,-0.015564246,0.4,0.00050010136,0.0006015593,0.00050010136,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
221469258,221368581,4325386,0.0019470667,0.0022867946,-0.00047645977,0.34906584,2.0737414e-07,2.0982654e-07,4.3022203e-07,4259850,0.109876834,0.017654682,-0.014344376,0.4,0.00049964257,0.00060087646,0.00049964257,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
221999192,221898625,4325386,0.0019548265,0.0022934328,-0.00028152592,0.34906584,2.0791515e-07,2.102864e-07,4.3035573e-07,4259850,0.10984624,0.017199423,-0.01342294,0.4,0.00049962994,0.0006007137,0.0004996183,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
222809265,222708693,4325386,0.0019645225,0.0023189671,0.00014982928,0.34906584,2.0652108e-07,2.087233e-07,4.3033344e-07,4259850,0.10981489,0.016309725,-0.012888762,0.4,0.0004996073,0.0006003636,0.0004995948,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
223149252,223048722,4325386,0.0019586408,0.0023368155,0.0003506496,0.34906584,2.052966e-07,2.074251e-07,4.3061854e-07,4259850,0.10976271,0.015973348,-0.011787188,0.4,0.00049942144,0.000599945,0.0004994134,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
224019417,223918795,4325386,0.001984526,0.002385654,0.00091980724,0.34906584,2.0501359e-07,2.0701034e-07,4.3107028e-07,4259850,0.11003324,0.014962211,-0.0119191585,0.4,0.0005002455,0.00060036377,0.0005002331,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
