timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
217942553,4.9977355,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
218442551,5.083438,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
218942565,4.9115295,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
219442554,5.090991,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
219942572,5.004181,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
220442551,4.903674,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
220942551,5.069641,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
221442554,5.055542,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
221942552,5.064807,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
222442551,5.041443,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
222942551,5.0511107,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
223442552,5.0423493,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
223942552,5.031775,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
224442552,5.045169,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
224942552,5.0660157,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
225442780,5.0339904,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
225942551,5.0278473,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
226442580,4.9387207,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
226942551,5.0442624,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
227442553,5.027948,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
227942551,5.050607,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
228442551,5.0301633,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
228942551,5.046881,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
229442553,4.927844,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
229942582,5.0499024,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
230442551,5.0509095,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
230942551,4.9426484,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
231442551,5.0436583,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0
