timestamp,timestamp_sample,device_id,pressure,temperature,error_count
337182998,337182412,4028193,101022.0,41.54,200
338177312,338176726,4028193,101017.0,41.55,200
339182358,339181772,4028193,101018.0,41.55,201
340187192,340186605,4028193,100926.0,41.55,202
341176061,341175474,4028193,100951.0,41.559998,204
342170602,342170015,4028193,100875.0,41.559998,204
343186937,343186341,4028193,100867.0,41.559998,204
344175501,344174915,4028193,100823.0,41.559998,206
345171064,345170478,4028193,100766.0,41.559998,206
346186964,346186378,4028193,100784.0,41.559998,206
347181504,347180918,4028193,100746.0,41.559998,206
348183943,348183357,4028193,100756.0,41.559998,210
349177976,349177390,4028193,100666.0,41.559998,211
350179381,350178795,4028193,100646.0,41.559998,215
351184752,351184166,4028193,100670.0,41.559998,215
352176995,352176409,4028193,100578.0,41.55,219
353177809,353177140,4028193,100574.0,41.55,221
354185347,354184735,4028193,100659.0,41.559998,221
355179583,355178994,4028193,100613.0,41.55,221
356190324,356189738,4028193,100616.0,41.55,223
357178988,357178402,4028193,100637.0,41.54,226
358189263,358188677,4028193,100617.0,41.54,228
359172913,359172324,4028193,100552.0,41.55,229
360183195,360182593,4028193,100558.0,41.54,231
361177979,361177393,4028193,100619.0,41.54,231
362180547,362179952,4028193,100590.0,41.53,235
363187469,363186876,4028193,100615.0,41.54,235
364181875,364181289,4028193,100563.0,41.54,235
365187147,365186560,4028193,100624.0,41.53,235
366181342,366180756,4028193,100631.0,41.53,236
367175604,367175012,4028193,100639.0,41.53,236
368186353,368185760,4028193,100591.0,41.53,238
369184559,369183973,4028193,100600.0,41.52,240
370191550,370190964,4028193,100547.0,41.52,240
371185990,371185403,4028193,100595.0,41.52,240
372180152,372179566,4028193,100621.0,41.51,241
373186868,373186282,4028193,100558.0,41.51,245
374159626,374159040,4028193,100642.0,41.51,245
375168560,375167974,4028193,100636.0,41.5,249
376185551,376184965,4028193,100549.0,41.51,249
377191028,377190442,4028193,100644.0,41.51,249
378185578,378184992,4028193,100556.0,41.5,249
379179810,379179171,4028193,100551.0,41.51,249
380185060,380184471,4028193,100647.0,41.5,249
381185178,381184592,4028193,100621.0,41.489998,251
382179556,382178970,4028193,100538.0,41.5,251
383184798,383184198,4028193,100539.0,41.489998,251
384151739,384151153,4028193,100619.0,41.489998,253
385170662,385170076,4028193,100621.0,41.489998,254
386170138,386169497,4028193,100604.0,41.48,257
387189337,387188751,4028193,100613.0,41.48,257
388184963,388184357,4028193,100597.0,41.469997,257
389168776,389168190,4028193,100676.0,41.469997,258
390186991,390186405,4028193,100654.0,41.469997,258
391182082,391181496,4028193,100679.0,41.469997,258
392188025,392187363,4028193,100722.0,41.48,258
393183910,393183324,4028193,100761.0,41.48,258
