timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
218098196,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,0.019385276,0.00084375974,1.1207115e-11,-0.02607519,-0.27917665,-9.851987,0.00046827213,-0.021593269,0.0052586966,0.0022103633,0.0016409535,0.017575242,4.385995e-06,5.645072e-06,-1.0073139e-07,36.20629,36.20629
219135350,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,0.019102814,0.0008499993,1.1268083e-11,-0.027988104,-0.27610567,-9.857242,0.00048223988,-0.021943312,0.0053108656,0.0023853753,0.0016648583,0.019028628,4.0561863e-06,7.200553e-06,-1.359695e-07,36.234543,36.234543
220172531,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,0.60728705,0.011939672,1.295693e-10,-0.022289647,-0.23084688,-9.818156,-0.013683794,-0.018772341,0.0013605299,0.113363326,0.55353075,0.48632574,0.0006605347,0.00038626342,-8.439096e-06,36.27646,36.27646
221105987,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,1.3839891,0.02565217,2.851652e-10,0.012955555,-0.12972933,-9.907788,0.0055532735,-0.0071407217,0.0030001728,0.41481024,1.3579776,2.8190987,0.0012850688,0.0019035594,5.8579263e-07,36.271847,36.271847
222143171,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,2.2911344,0.053834096,5.4786615e-09,0.5608176,-0.19457516,-9.816269,0.06536001,-0.016768223,0.098582484,2.4482071,4.771616,7.0114837,0.0027817164,0.00949571,-5.5228313e-05,36.298454,36.298454
223180356,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,3.4406679,0.06402997,8.3000335e-09,0.0116160195,-0.46978647,-10.132514,-0.15083079,-0.061468072,-0.014829806,8.813773,46.880657,47.93732,0.04442878,0.033651024,-0.0019261033,36.328938,36.328938
224113806,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,3.523943,0.068763904,3.4597256e-09,-0.20672858,-0.30194724,-9.981962,0.036661714,-0.11570576,-0.023706654,2.6239812,14.01688,12.925878,0.011761581,0.0073358025,-0.00030526603,36.3487,36.3487
225150980,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,3.2799072,0.061235245,5.5507776e-09,-0.19931848,-0.15754801,-10.2134695,0.108571626,0.04095028,0.01601503,4.989249,17.211214,16.347115,0.013673363,0.009500964,-0.00021948044,36.356037,36.356037
226188160,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,2.283519,0.046112604,3.8212136e-09,-0.157595,0.19563659,-10.123535,-0.09086955,-0.047000244,-0.00499507,5.3581867,47.538746,38.569897,0.035844605,0.029485077,-0.0014339956,36.382343,36.382343
227121638,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,3.2337022,0.058152664,1.8554378e-09,-0.17149928,-0.09074343,-9.768052,0.027931688,0.010108554,-0.0023234957,5.6911016,35.398148,28.169424,0.024654517,0.012597499,-0.0008989597,36.402042,36.402042
228158806,2490378,2490378,0,0,0,0,0,405.0059,405.0059,8100.1177,8100.1177,3.089162,0.057059027,6.0929723e-09,-0.11948479,-0.08212754,-9.980757,0.013585185,0.04798721,0.08993464,6.612129,63.680313,37.603676,0.042062815,0.023836328,-0.00083838217,36.42095,36.42095
