timestamp,time_estimate,safe_time_estimate,valid
393568550,84.32825,192.76108,1
394578677,82.807785,191.08856,1
395598783,80.99247,189.09172,1
396608977,79.12823,187.04105,1
397619029,77.30045,185.0305,1
398629017,75.9758,183.57338,1
399650042,75.02508,182.52759,1
400659263,74.16291,181.57921,1
401669594,73.3654,180.70195,1
402679408,72.57922,179.83714,1
403689531,70.13344,177.14679,1
404709302,69.437584,176.38135,1
405719392,68.88829,175.77711,1
406729458,68.46639,175.31303,1
407739837,68.26117,175.0873,1
408749637,68.19234,175.01157,1
409759705,68.05353,174.85889,1
410779975,67.5104,174.26144,1
411793862,66.53134,173.18448,1
412800085,52.540154,157.79417,1
413809906,51.992332,157.19157,1
414820116,51.717224,156.88895,1
415840262,51.287563,156.41632,1
416850348,50.524612,155.57707,1
417860561,45.31315,149.84447,1
418881105,45.00264,149.5029,1
419890600,44.955227,149.45074,1
420900477,44.64894,149.11383,1
421922854,43.85189,148.23708,1
422970938,42.819767,147.10175,1
423980712,41.687214,145.85594,1
425000767,40.66256,144.72882,1
426010812,39.670395,143.63744,1
427020968,38.585213,142.44374,1
428031272,37.54231,141.29654,1
429041075,36.5571,140.21281,1
430061275,35.61161,139.17278,1
431071285,34.732758,138.20604,1
432081424,33.707157,137.07788,1
433091528,32.702324,135.97256,1
434114045,31.709812,134.8808,1
435121848,30.646399,133.71104,1
436131751,29.644253,132.60867,1
437141899,28.636972,131.50067,1
438151943,27.581572,130.33974,1
439172087,26.620293,129.28232,1
440182020,25.624855,128.18735,1
441192103,24.62624,127.08887,1
442204725,23.678097,126.045906,1
443222303,22.708094,124.978905,1
444232846,21.689814,123.858795,1
445242711,20.744707,122.819176,1
446253405,19.777557,121.75531,1
447262710,18.799461,120.679405,1
448282793,17.770435,119.54748,1
449292895,16.706049,118.376656,1
450303160,15.672583,117.23984,1
451313045,14.659716,116.12569,1
452323185,13.680589,115.048645,1
453343264,12.730256,114.00328,1
454354124,11.742285,112.91651,1
455363474,10.884968,111.973465,1
456373444,9.883544,110.871895,1
457383449,8.82799,109.71079,1
458403578,7.799021,108.578926,1
459413773,6.760471,107.436516,1
460423950,5.806078,106.38669,1
461433934,4.773164,105.25048,1
462456619,3.733939,104.10733,1
463464749,2.744144,103.018555,1
464474342,1.7981374,101.97795,1
465493361,0.8018775,100.882065,1
466494376,0.74055135,100.814606,1
467504798,1.1936976,101.313065,1
468529612,1.2523429,101.37758,1
469535118,1.3485638,101.48342,1
470544796,1.7555451,101.9311,1
471555180,2.2094045,102.43034,1
472565221,2.1240025,102.3364,1
473585356,2.3994782,102.63943,1
474595295,2.6372528,102.90098,1
475605281,2.8227603,103.105034,1
476615654,3.0041845,103.3046,1
477625478,3.2664986,103.59315,1
478625552,3.3910897,103.7302,1
479635893,3.5564606,103.91211,1
480645940,1.0229855,101.12528,1
481668091,1.2669466,101.39364,1
482676034,1.4955239,101.64507,1
483686233,1.6286917,101.79156,1
484696300,1.7340049,101.9074,1
485716412,1.6557815,101.82136,1
