timestamp,timestamp_sample,device_id,differential_pressure_pa,temperature,error_count
333245632,333242670,4728865,144.6664,30.605764,0
334231645,334228679,4728865,105.737946,30.605764,0
335258280,335255317,4728865,139.40579,30.605764,0
336244090,336241051,4728865,161.50034,30.605764,0
337257633,337254644,4728865,149.927,30.605764,0
338257915,338254953,4728865,172.02153,30.605764,0
339256778,339253779,4728865,172.02153,30.50806,0
340257105,340254143,4728865,139.40579,30.50806,0
341250841,341247877,4728865,183.59486,30.50806,0
342251070,342248064,4728865,161.50034,30.50806,0
343250509,343247545,4728865,183.59486,30.50806,0
344246742,344243779,4728865,166.76093,30.410357,0
345245748,345242786,4728865,166.76093,30.410357,0
346218469,346215495,4728865,183.59486,30.410357,0
347150312,347147270,4728865,177.28214,30.410357,0
348215092,348212128,4728865,177.28214,30.410357,0
349241839,349238877,4728865,161.50034,30.312653,0
350251413,350248451,4728865,172.02153,30.312653,0
351211159,351208181,4728865,139.40579,30.312653,0
352257839,352254876,4728865,133.09308,30.312653,0
353252526,353249563,4728865,183.59486,30.214949,0
354195178,354192215,4728865,172.02153,30.214949,0
355249630,355246622,4728865,172.02153,30.214949,0
356257543,356253514,4728865,172.02153,30.117245,0
357251100,357248103,4728865,172.02153,30.117245,0
358246840,358243876,4728865,149.927,30.117245,0
359258337,359255375,4728865,183.59486,30.117245,0
360252849,360249887,4728865,177.28214,30.117245,0
361198632,361195659,4728865,172.02153,30.117245,0
362246539,362242832,4728865,166.76093,30.117245,0
363254832,363250742,4728865,172.02153,30.01954,0
364253912,364250949,4728865,127.832466,30.117245,0
365253123,365250115,4728865,155.1876,30.01954,0
366253635,366250623,4728865,166.76093,30.01954,0
367253708,367249598,4728865,161.50034,30.01954,0
368206896,368203933,4728865,183.59486,30.01954,0
369246931,369243967,4728865,189.90758,29.921837,0
370255439,370252477,4728865,144.6664,29.921837,0
371228231,371225268,4728865,177.28214,29.921837,0
372254537,372251574,4728865,155.1876,29.921837,0
373231301,373228340,4728865,177.28214,29.921837,0
374218423,374215460,4728865,172.02153,29.921837,0
375252339,375249376,4728865,177.28214,29.921837,0
376251557,376248557,4728865,149.927,29.824133,0
377252512,377249550,4728865,183.59486,29.824133,0
378252817,378248889,4728865,183.59486,29.824133,0
379251840,379248877,4728865,166.76093,29.824133,0
380251117,380248141,4728865,177.28214,29.824133,0
381246628,381243624,4728865,166.76093,29.824133,0
382232712,382229734,4728865,155.1876,29.824133,0
383246071,383243096,4728865,161.50034,29.726429,0
384257584,384254608,4728865,144.6664,29.726429,0
385256272,385253281,4728865,122.57187,29.726429,0
386241419,386238089,4728865,116.25914,29.726429,0
387253051,387250073,4728865,110.998535,29.824133,0
388255289,388252326,4728865,66.80948,29.824133,0
389254283,389251319,4728865,105.737946,29.824133,0
390229283,390226319,4728865,88.904015,29.824133,0
391230178,391227215,4728865,110.998535,29.824133,0
392243378,392240296,4728865,100.47734,29.824133,0
393217602,393214459,4728865,72.07008,29.824133,0
394246448,394242282,4728865,72.07008,29.824133,0
395246630,395243617,4728865,72.07008,29.824133,0
396233543,396230580,4728865,100.47734,29.921837,0
397247838,397244877,4728865,72.07008,29.921837,0
398230929,398227112,4728865,110.998535,29.921837,0
399257153,399254191,4728865,61.548878,29.921837,0
400243116,400239924,4728865,94.16461,29.921837,0
401245145,401242182,4728865,88.904015,29.921837,0
402246218,402242118,4728865,100.47734,30.01954,0
403245842,403242880,4728865,100.47734,30.01954,0
404246635,404243662,4728865,83.64341,30.01954,0
405247574,405244600,4728865,94.16461,30.01954,0
406248157,406244210,4728865,88.904015,30.01954,0
407247290,407244327,4728865,77.33069,30.01954,0
408233737,408230772,4728865,88.904015,30.01954,0
409221334,409218290,4728865,88.904015,30.01954,0
410249751,410245677,4728865,88.904015,30.01954,0
411154629,411151626,4728865,72.07008,30.01954,0
412250155,412247143,4728865,94.16461,30.117245,0
413251102,413248140,4728865,100.47734,30.117245,0
414252764,414248632,4728865,88.904015,30.117245,0
415252840,415249877,4728865,44.714947,30.117245,0
416199372,416195361,4728865,66.80948,30.117245,0
417253296,417250334,4728865,88.904015,30.117245,0
418254811,418250526,4728865,77.33069,30.214949,0
419242141,419239177,4728865,88.904015,30.214949,0
420256196,420253235,4728865,88.904015,30.214949,0
421257139,421254168,4728865,44.714947,30.214949,0
422258087,422254208,4728865,83.64341,30.214949,0
423255032,423252065,4728865,83.64341,30.312653,0
424253052,424250049,4728865,83.64341,30.312653,0
425226527,425223312,4728865,94.16461,30.312653,0
426256741,426252684,4728865,77.33069,30.312653,0
427256865,427253882,4728865,44.714947,30.312653,0
428257323,428254318,4728865,72.07008,30.410357,0
429258376,429255414,4728865,88.904015,30.410357,0
430246012,430243050,4728865,88.904015,30.410357,0
431246536,431243574,4728865,72.07008,30.410357,0
432246118,432243156,4728865,77.33069,30.410357,0
433246818,433243855,4728865,88.904015,30.50806,0
434248160,434245198,4728865,83.64341,30.50806,0
435221011,435218049,4728865,72.07008,30.50806,0
436247631,436244634,4728865,83.64341,30.50806,0
437250289,437247327,4728865,83.64341,30.50806,0
438208427,438205242,4728865,88.904015,30.605764,0
439251189,439248227,4728865,83.64341,30.605764,0
440238142,440235159,4728865,94.16461,30.605764,0
441252790,441249809,4728865,72.07008,30.605764,0
442253838,442250876,4728865,72.07008,30.703468,0
443173014,443170050,4728865,83.64341,30.703468,0
444249430,444246468,4728865,38.40222,30.703468,0
445235641,445232458,4728865,72.07008,30.703468,0
446250039,446247069,4728865,72.07008,30.801172,0
447250590,447247568,4728865,66.80948,30.801172,0
448250014,448247050,4728865,94.16461,30.801172,0
449252346,449249384,4728865,88.904015,30.801172,0
450250454,450247492,4728865,38.40222,30.801172,0
451219853,451216878,4728865,77.33069,30.898876,0
452247130,452244168,4728865,83.64341,30.898876,0
453221372,453218368,4728865,77.33069,30.898876,0
454250075,454247113,4728865,83.64341,30.898876,0
455182904,455179877,4728865,77.33069,30.898876,0
456251121,456248158,4728865,55.236153,30.99658,0
457253098,457250134,4728865,66.80948,30.99658,0
458252839,458249877,4728865,88.904015,30.99658,0
459253518,459250551,4728865,49.975548,30.99658,0
460253548,460250585,4728865,83.64341,31.094284,0
461240515,461237498,4728865,83.64341,31.094284,0
462255386,462252422,4728865,44.714947,31.094284,0
463256798,463253825,4728865,66.80948,31.094284,0
464256700,464253735,4728865,83.64341,31.191988,0
465243272,465240170,4728865,83.64341,31.191988,0
466244641,466241648,4728865,66.80948,31.191988,0
467246110,467242201,4728865,72.07008,31.191988,0
468164435,468161309,4728865,88.904015,31.191988,0
469245407,469242445,4728865,88.904015,31.191988,0
470255761,470252798,4728865,83.64341,31.191988,0
471243476,471239431,4728865,55.236153,31.289692,0
472243894,472240932,4728865,83.64341,31.289692,0
473243511,473240518,4728865,88.904015,31.289692,0
474257749,474254786,4728865,49.975548,31.387396,0
475256088,475253088,4728865,77.33069,31.387396,0
476253629,476250618,4728865,83.64341,31.387396,0
477255552,477252589,4728865,83.64341,31.387396,0
478255628,478252628,4728865,83.64341,31.4851,0
479256504,479253541,4728865,83.64341,31.4851,0
480256113,480253146,4728865,49.975548,31.4851,0
481258006,481255044,4728865,83.64341,31.4851,0
482252406,482249443,4728865,77.33069,31.4851,0
483239699,483235735,4728865,88.904015,31.4851,0
484253135,484250150,4728865,88.904015,31.582804,0
485254972,485252010,4728865,83.64341,31.582804,0
486198504,486195541,4728865,83.64341,31.582804,0
487251186,487248215,4728865,83.64341,31.582804,0
488250628,488247618,4728865,83.64341,31.680508,0
489194986,489192019,4728865,83.64341,31.680508,0
490205321,490202348,4728865,83.64341,31.680508,0
491247253,491244282,4728865,83.64341,31.778212,0
492220570,492217597,4728865,83.64341,31.778212,0
493255234,493252260,4728865,88.904015,31.778212,0
494248211,494244132,4728865,94.16461,31.778212,0
495255245,495252282,4728865,83.64341,31.875916,0
496254494,496251526,4728865,77.33069,31.875916,0
497254305,497251342,4728865,77.33069,31.875916,0
498255577,498252592,4728865,38.40222,31.875916,0
499249530,499246566,4728865,83.64341,31.875916,0
500251132,500248170,4728865,77.33069,31.875916,0
501250706,501247742,4728865,38.40222,31.97362,0
502232828,502228530,4728865,88.904015,31.97362,0
503259191,503256229,4728865,83.64341,31.97362,0
504247452,504244488,4728865,83.64341,31.97362,0
505255692,505251464,4728865,88.904015,32.071323,0
506255501,506252538,4728865,83.64341,32.071323,0
507256012,507253050,4728865,77.33069,32.071323,0
508257405,508254443,4728865,83.64341,32.071323,0
509252738,509248680,4728865,83.64341,32.071323,0
510256405,510253442,4728865,55.236153,32.16903,0
