timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
217873841,217873292,19482731,36.660603099999996,126.342033,13.316564,0.65682954,4.413079,0.0007660138,0.002327696,0.0,0.015680892,-0.013536229,0.0742714,0.023203565,0.11544465,-0.07187036,0.17246991,0.008679307,-0.00089929695,-0.007235278,1.0879443,-0.0028464322,13.965662,0.1,0.35274762,0.3915342,0.13737038,0.10476874,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
218373650,218373333,19482731,36.660603099999996,126.342033,13.335098,0.654493,4.4251146,0.0007660138,0.002327696,0.0,0.018931266,-0.013581608,0.07408182,0.023766756,0.11544465,-0.07187036,0.17246991,-0.016083376,0.031814557,0.0009740985,1.0893881,-0.0028464322,13.965662,0.1,0.35972846,0.39371866,0.141782,0.10629073,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
218873834,218873374,19482731,36.660603099999996,126.342033,13.351857,0.65619785,4.4442205,0.0007660138,0.002327696,0.0,0.020028623,-0.010416401,0.07562936,0.031136949,0.11544465,-0.07187036,0.17246991,0.019596154,0.00434538,-0.02632825,1.090632,-0.0028464322,13.965662,0.1,0.35046566,0.3916972,0.1371583,0.10484737,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
219373798,219373415,19482731,36.660603099999996,126.342033,13.356917,0.6594078,4.459434,0.0007660138,0.002327696,0.0,0.010442993,-0.005738021,0.07656786,0.03134109,0.11544465,-0.07187036,0.17246991,-0.084074825,0.09052809,0.16388908,1.0919642,-0.0028464322,13.965662,0.1,0.35743305,0.39403588,0.14163391,0.10637824,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
219874039,219873456,19482731,36.660603099999996,126.342033,13.365907,0.654214,4.477337,0.0007660138,0.002327696,0.0,-0.0009530401,-0.004154622,0.07787203,0.033808805,0.11544465,-0.07187036,0.17246991,-0.12475066,0.026050571,-0.08271239,1.093721,-0.0028464322,13.965662,0.1,0.3481218,0.3921219,0.13689265,0.10493401,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
220373855,220373498,19482731,36.660603099999996,126.342033,13.372712,0.6430231,4.475946,0.0007660138,0.002327696,0.0,-0.012633887,-0.0069668256,0.072227456,0.015108645,0.11544465,-0.07187036,0.17246991,0.117579676,-0.23751377,-0.037337124,1.097273,-0.0028464322,13.965662,0.1,0.355118,0.39209908,0.14138377,0.1062034,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
220873977,220873539,19482731,36.660603099999996,126.342033,13.38106,0.6408502,4.482983,0.0007660138,0.002327696,0.0,-0.005719219,-0.005136963,0.07480093,0.01783644,0.11544465,-0.07187036,0.17246991,0.12520969,0.39791492,0.53098375,1.1004018,-0.0028464322,13.965662,0.1,0.34576973,0.39027986,0.13666362,0.1047677,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
221373957,221373581,19482731,36.660603099999996,126.342033,13.398512,0.65036476,4.474364,0.0007660138,0.002327696,0.0,-0.00086285477,-0.005002261,0.06112062,-0.007429272,0.11544465,-0.07187036,0.17246991,-0.46049967,-0.9064577,-0.89150953,1.1028035,-0.0028464322,13.965662,0.10342932,0.3527873,0.392872,0.14117107,0.10632213,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
221874078,221873624,19482731,36.660603099999996,126.342033,13.408149,0.6583677,4.4535313,0.0007660138,0.002327696,0.0,-0.00034981544,-0.006730799,0.05317,-0.023306875,0.11544465,-0.07187036,0.17246991,-1.0859046,0.32883945,-0.7287918,1.1091999,-0.0028464322,13.965662,0.124261856,0.34356883,0.3911167,0.13655089,0.104909174,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
222374128,222373665,19482731,36.660603099999996,126.342033,13.408801,0.652534,4.4374976,0.0007660138,0.002327696,0.0,-0.002598799,0.000991898,0.07089633,-0.010385353,0.11544465,-0.07187036,0.17246991,-0.16746536,0.90761286,1.4997244,1.1495872,-0.0028464322,13.965662,0.1402955,0.35037723,0.39123064,0.14066909,0.106131665,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
222874187,222873707,19482731,36.660603099999996,126.342033,13.4219475,0.6401773,4.4359984,0.0007660138,0.002327696,0.0,0.005795508,-0.06977022,0.057414692,-0.013556754,0.11544465,-0.07187036,0.17246991,-0.11892916,-2.0426857,-3.8944807,1.1875324,-0.0028464322,13.965662,0.14179468,0.34097448,0.38952225,0.13592069,0.104681924,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
223374129,223373749,19482731,36.660603099999996,126.342033,13.454373,0.58391714,4.3839192,0.0007660138,0.002327696,0.0,0.18544646,-0.23564355,-0.08536705,-0.18761529,0.11544465,-0.07187036,0.17246991,1.1018267,-0.5280815,0.24934554,1.184335,-0.0028464322,13.965662,0.19387388,0.34811154,0.392113,0.14076367,0.106211744,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,0,1,1,1,0
