timestamp,voltage_v,rssi_v,free_memory_bytes,pwm[0],pwm[1],pwm[2],pwm[3],pwm[4],pwm[5],pwm[6],pwm[7],pwm_disarmed[0],pwm_disarmed[1],pwm_disarmed[2],pwm_disarmed[3],pwm_disarmed[4],pwm_disarmed[5],pwm_disarmed[6],pwm_disarmed[7],pwm_failsafe[0],pwm_failsafe[1],pwm_failsafe[2],pwm_failsafe[3],pwm_failsafe[4],pwm_failsafe[5],pwm_failsafe[6],pwm_failsafe[7],pwm_rate_hz[0],pwm_rate_hz[1],pwm_rate_hz[2],pwm_rate_hz[3],pwm_rate_hz[4],pwm_rate_hz[5],pwm_rate_hz[6],pwm_rate_hz[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_arm_sync,status_failsafe,status_fmu_initialized,status_fmu_ok,status_init_ok,status_outputs_armed,status_raw_pwm,status_rc_ok,status_rc_dsm,status_rc_ppm,status_rc_sbus,status_rc_st24,status_rc_sumd,status_safety_off,alarm_pwm_error,alarm_rc_lost,arming_failsafe_custom,arming_fmu_armed,arming_fmu_prearmed,arming_force_failsafe,arming_io_arm_ok,arming_lockdown,arming_termination_failsafe
217355815,5.4090004,1.7110001,1464,900,900,900,900,0,0,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1520,1927,1509,961,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
218378409,5.4280005,1.7070001,1464,947,900,934,912,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
219398468,5.4090004,1.6500001,1464,1237,1119,1171,1188,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
220423577,5.4160004,1.6940001,1464,1374,1173,1266,1300,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
221431123,5.4160004,1.6930001,1464,1484,1299,1385,1403,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
222456377,5.438,1.687,1464,1583,1438,1518,1604,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
223481426,5.4570003,1.6660001,1464,1714,1651,1624,1706,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
224506496,5.4230003,1.6980001,1464,1681,1676,1674,1665,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1513,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
225534022,5.426,1.6660001,1464,1713,1661,1681,1670,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1513,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
226559207,5.433,1.697,1464,1697,1652,1655,1692,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
