timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
219358686,219358414,-0.86127216,-0.020985909,-0.00011819466,-0.50771046,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219408640,219408418,-0.8611483,-0.020981677,-8.110629e-05,-0.50792056,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219458647,219458422,-0.8610445,-0.020848917,-3.998082e-05,-0.5081021,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219508654,219508426,-0.8610291,-0.02058907,-1.1485716e-05,-0.5081389,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219558651,219558430,-0.86096805,-0.020413801,9.129262e-05,-0.5082493,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219608656,219608434,-0.8608556,-0.02032229,0.00023121096,-0.50844353,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219658668,219658439,-0.8608664,-0.020274185,0.00024494826,-0.50842696,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219708665,219708443,-0.860928,-0.020298418,0.00020562645,-0.5083217,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219758666,219758447,-0.8609285,-0.02032506,0.00021488356,-0.5083197,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219808674,219808451,-0.86091274,-0.02023726,0.0002709005,-0.5083501,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219858677,219858455,-0.86092913,-0.020083748,0.00034076444,-0.50832826,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219908706,219908459,-0.860909,-0.019969767,0.0004514631,-0.5083668,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
219958694,219958464,-0.86069643,-0.01994162,0.0006204088,-0.5087275,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220008691,220008468,-0.8604991,-0.01993872,0.000705214,-0.50906116,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220058697,220058472,-0.8604248,-0.019945176,0.00056593947,-0.5091868,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220108703,220108476,-0.860433,-0.019629207,0.0006380598,-0.509185,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220158707,220158480,-0.8605014,-0.019285006,0.0007424164,-0.5090826,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220208709,220208484,-0.8605621,-0.018902587,0.00085420214,-0.5089942,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220258741,220258488,-0.86059785,-0.018368853,0.00070841704,-0.5089533,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220308713,220308492,-0.8605224,-0.017785499,0.00063461903,-0.50910157,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220358722,220358497,-0.8603339,-0.017407525,0.00072901056,-0.50943315,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220408725,220408501,-0.8601632,-0.016925,0.00080171484,-0.5097375,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220458725,220458505,-0.8600432,-0.016559074,0.00083962636,-0.5099518,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
