timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
217458543,0.0,0.0,0.0,0.0
217463522,0.0,0.0,0.0,0.0
217658597,0.0,0.0,0.0,0.0
217858562,0.0,0.0,0.0,0.0
218058589,0.0,0.0,0.0,0.0
218258592,0.0,0.0,0.0,0.0
218458628,0.0,0.0,0.0,0.0
218658625,0.0,0.0,0.0,0.0
218858636,0.0,0.0,0.0,0.0
219058656,0.0,0.0,0.0,0.0
219258670,0.0,0.0,0.0,0.0
219458692,0.0,0.0,0.0,0.0
219658710,0.0,0.0,0.0,0.0
219858703,0.0,0.0,0.0,0.0
220058722,0.0,0.0,0.0,0.0
220258782,0.0,0.0,0.0,0.0
220458751,0.0,0.0,0.0,0.0
220658765,0.0,0.0,0.0,0.0
220858787,0.0,0.0,0.0,0.0
221058811,0.0,0.0,0.0,0.0
221258818,0.0,0.0,0.0,0.0
221458833,0.0,0.0,0.0,0.0
221658851,0.0,0.0,0.0,0.0
221858867,0.0,0.0,0.0,0.0
222058883,0.0,0.0,0.0,0.0
222258901,0.0,0.0,0.0,0.0
222458874,0.0,0.0,0.0,0.0
222658939,0.0,0.0,0.0,0.0
222858990,0.0,0.0,0.0,0.0
223059053,0.0,0.0,0.0,0.0
223258983,0.0,0.0,0.0,0.0
223459003,0.0,0.0,0.0,0.0
223659021,0.0,0.0,0.0,0.0
223859036,0.0,0.0,0.0,0.0
224059071,0.0,0.0,0.0,0.0
224259067,0.0,0.0,0.0,0.0
224459094,0.0,0.0,0.0,0.0
224659150,0.0,0.0,0.0,0.0
224859124,0.0,0.0,0.0,0.0
225059139,0.0,0.0,0.0,0.0
225259157,0.0,0.0,0.0,0.0
225459170,0.0,0.0,0.0,0.0
225659191,0.0,0.0,0.0,0.0
225859225,0.0,0.0,0.0,0.0
226059225,0.0,0.0,0.0,0.0
226259241,0.0,0.0,0.0,0.0
226459256,0.0,0.0,0.0,0.0
226659318,0.0,0.0,0.0,0.0
226859294,0.0,0.0,0.0,0.0
227059306,0.0,0.0,0.0,0.0
227259323,0.0,0.0,0.0,0.0
227459343,0.0,0.0,0.0,0.0
227659362,0.0,0.0,0.0,0.0
227859381,0.0,0.0,0.0,0.0
228059450,0.0,0.0,0.0,0.0
228259455,0.0,0.0,0.0,0.0
228459428,0.0,0.0,0.0,0.0
228659483,0.0,0.0,0.0,0.0
228859461,0.0,0.0,0.0,0.0
229059484,0.0,0.0,0.0,0.0
229259497,0.0,0.0,0.0,0.0
229459513,0.0,0.0,0.0,0.0
229659559,0.0,0.0,0.0,0.0
229859620,0.0,0.0,0.0,0.0
230059566,0.0,0.0,0.0,0.0
230259583,0.0,0.0,0.0,0.0
230459610,0.0,0.0,0.0,0.0
230659665,0.0,0.0,0.0,0.0
230859643,0.0,0.0,0.0,0.0
231059658,0.0,0.0,0.0,0.0
231259691,0.0,0.0,0.0,0.0
231459702,0.0,0.0,0.0,0.0
231659718,0.0,0.0,0.0,0.0
231859733,0.0,0.0,0.0,0.0
232059749,0.0,0.0,0.0,0.0
232259769,0.0,0.0,0.0,0.0
232459786,0.0,0.0,0.0,0.0
232659798,0.0,0.0,0.0,0.0
232859815,0.0,0.0,0.0,0.0
233059841,0.0,0.0,0.0,0.0
233259853,0.0,0.0,0.0,0.0
233459868,0.0,0.0,0.0,0.0
233659891,0.0,0.0,0.0,0.0
233859907,0.0,0.0,0.0,0.0
234059923,0.0,0.0,0.0,0.0
234259940,0.0,0.0,0.0,0.0
234459960,0.0,0.0,0.0,0.0
234659988,0.0,0.0,0.0,0.0
234860036,0.0,0.0,0.0,0.0
235060013,0.0,0.0,0.0,0.0
235260027,0.0,0.0,0.0,0.0
235460049,0.0,0.0,0.0,0.0
235660069,0.0,0.0,0.0,0.0
235860082,0.0,0.0,0.0,0.0
236060118,0.0,0.0,0.0,0.0
236260142,0.0,0.0,0.0,0.0
236460136,0.0,0.0,0.0,0.0
236660157,0.0,0.0,0.0,0.0
236860172,0.0,0.0,0.0,0.0
237060202,0.0,0.0,0.0,0.0
237260212,0.0,0.0,0.0,0.0
237460231,0.0,0.0,0.0,0.0
237660245,0.0,0.0,0.0,0.0
237860277,0.0,0.0,0.0,0.0
238060303,0.0,0.0,0.0,0.0
238260371,0.0,0.0,0.0,0.0
238460319,0.0,0.0,0.0,0.0
238660340,0.0,0.0,0.0,0.0
238860360,0.0,0.0,0.0,0.0
239060370,0.0,0.0,0.0,0.0
239260391,0.0,0.0,0.0,0.0
239460413,0.0,0.0,0.0,0.0
239660429,0.0,0.0,0.0,0.0
239855490,0.0,0.0,0.0,0.0
240060465,0.0,0.0,0.0,0.0
240260489,0.0,0.0,0.0,0.0
240460505,0.0,0.0,0.0,0.0
240660523,0.0,0.0,0.0,0.0
240860536,0.0,0.0,0.0,0.0
241060559,0.0,0.0,0.0,0.0
241255574,0.0,0.0,0.0,0.0
241460621,0.0,0.0,0.0,0.0
241660611,0.0,0.0,0.0,0.0
241860654,0.0,0.0,0.0,0.0
242060657,0.0,0.0,0.0,0.0
242260701,0.0,0.0,0.0,0.0
242460695,0.0,0.0,0.0,0.0
242655719,0.0,0.0,0.0,0.0
242860731,0.0,0.0,0.0,0.0
243060750,0.0,0.0,0.0,0.0
243260764,0.0,0.0,0.0,0.0
243460790,0.0,0.0,0.0,0.0
243660802,0.0,0.0,0.0,0.0
243860820,0.0,0.0,0.0,0.0
244055862,0.0,0.0,0.0,0.0
244260861,0.0,0.0,0.0,0.0
244460875,0.0,0.0,0.0,0.0
244660892,0.0,0.0,0.0,0.0
244860927,0.0,0.0,0.0,0.0
245060935,0.0,0.0,0.0,0.0
245255942,0.0,0.0,0.0,0.0
245455973,0.0,0.0,0.0,0.0
245661015,0.0,0.0,0.0,0.0
245861006,0.0,0.0,0.0,0.0
246061022,0.0,0.0,0.0,0.0
246261039,0.0,0.0,0.0,0.0
246461061,0.0,0.0,0.0,0.0
246661098,0.0,0.0,0.0,0.0
246856093,0.0,0.0,0.0,0.0
247061117,0.0,0.0,0.0,0.0
247261143,0.0,0.0,0.0,0.0
247461191,0.0,0.0,0.0,0.0
247661175,0.0,0.0,0.0,0.0
247861213,0.0,0.0,0.0,0.0
248056212,0.0,0.0,0.0,0.0
248256260,0.0,0.0,0.0,0.0
248461246,0.0,0.0,0.0,0.0
248661300,0.0,0.0,0.0,0.0
248861289,0.0,0.0,0.0,0.0
249061377,0.0,0.0,0.0,0.0
249261325,0.0,0.0,0.0,0.0
249456342,0.0,0.0,0.0,0.0
249656360,0.0,0.0,0.0,0.0
249861383,0.0,0.0,0.0,0.0
250061415,0.0,0.0,0.0,0.0
250261422,0.0,0.0,0.0,0.0
250461437,0.0,0.0,0.0,0.0
250661463,0.0,0.0,0.0,0.0
250856492,0.0,0.0,0.0,0.0
251056493,0.0,0.0,0.0,0.0
251261516,0.0,0.0,0.0,0.0
251461539,0.0,0.0,0.0,0.0
251661551,0.0,0.0,0.0,0.0
251861566,0.0,0.0,0.0,0.0
252056589,0.0,0.0,0.0,0.0
252256607,0.0,0.0,0.0,0.0
252456655,0.0,0.0,0.0,0.0
252661656,0.0,0.0,0.0,0.0
252861665,0.0,0.0,0.0,0.0
253061692,0.0,0.0,0.0,0.0
253261747,0.0,0.0,0.0,0.0
253456766,0.0,0.0,0.0,0.0
253656759,0.0,0.0,0.0,0.0
253856761,0.0,0.0,0.0,0.0
254062145,0.0,0.0,0.0,0.0
254262123,0.0,0.0,0.0,0.0
254461978,0.0,0.0,0.0,0.0
254662021,0.0,0.0,0.0,0.0
254856878,0.0,0.0,0.0,0.0
255056896,0.0,0.0,0.0,0.0
255256922,0.0,0.0,0.0,0.0
255462151,0.0,0.0,0.0,0.0
255662229,0.0,0.0,0.0,0.0
255862258,0.0,0.0,0.0,0.0
256056988,0.0,0.0,0.0,0.0
256257005,0.0,0.0,0.0,0.0
256457023,0.0,0.0,0.0,0.0
256657054,0.0,0.0,0.0,0.0
256862368,0.0,0.0,0.0,0.0
257062359,0.0,0.0,0.0,0.0
257262243,0.0,0.0,0.0,0.0
257457150,0.0,0.0,0.0,0.0
257657173,0.0,0.0,0.0,0.0
257857294,0.0,0.0,0.0,0.0
258057243,0.0,0.0,0.0,0.0
258262553,0.0,0.0,0.0,0.0
258462373,0.0,0.0,0.0,0.0
258662574,0.0,0.0,0.0,0.0
258857377,0.0,0.0,0.0,0.0
259057387,0.0,0.0,0.0,0.0
259257445,0.0,0.0,0.0,0.0
259457516,0.0,0.0,0.0,0.0
259657493,0.0,0.0,0.0,0.0
259862773,0.0,0.0,0.0,0.0
260062785,0.0,0.0,0.0,0.0
260257409,0.0,0.0,0.0,0.0
260457420,0.0,0.0,0.0,0.0
260657440,0.0,0.0,0.0,0.0
260857503,0.0,0.0,0.0,0.0
261062774,0.0,0.0,0.0,0.0
