timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
260842933,260818370,396321,0.47878748,-0.36323893,0.92354655,3
261397908,261348128,396321,0.57548535,-0.43402705,0.9764995,3
261910222,261877629,396321,0.5715213,-0.42926487,0.89558744,3
262358226,262332266,396321,0.6564169,-0.4692242,1.0363073,3
262913011,262862346,396321,0.59777814,-0.44435868,0.9754898,3
263404155,263391971,396321,0.5338676,-0.42111742,0.9135536,3
263873626,263847030,396321,0.99779814,-0.6109624,1.4253309,3
264428979,264377136,396321,1.2378173,-0.73229885,1.729961,3
264919647,264906939,396321,1.1307425,-0.7337691,1.644572,3
265389461,265361088,396321,1.0276401,-0.6924542,1.480033,3
265837568,265815304,396321,0.7911681,-0.55809784,1.2273887,3
266392372,266345596,396321,0.81339973,-0.56298006,1.2124583,3
266883571,266871068,396321,0.79857194,-0.5290232,1.184623,3
267352991,267324747,396321,0.77223045,-0.50107646,1.157037,3
267907787,267854897,396321,0.7592479,-0.4862534,1.1551322,3
268398821,268384946,396321,0.74210787,-0.48442072,1.1441848,3
268868381,268839919,396321,0.08860132,-0.24787852,0.44856936,3
269423149,269367837,396321,0.73064923,-0.29099393,1.1797125,3
269914109,269893113,396321,0.44775242,-0.054804392,0.9570235,3
270362240,270342063,396321,0.16122869,-0.11181853,0.76673746,3
270916977,270870784,396321,0.21196306,-0.38201338,0.6581303,3
271429350,271400553,396321,0.33273405,-0.4927275,0.712644,3
271877419,271854741,396321,0.41263092,-0.54060984,0.69063747,3
272432655,272384468,396321,0.47097132,-0.53743654,0.78228456,3
272901901,272838325,396321,0.4656457,-0.50628734,0.7998132,3
273392893,273367939,396321,0.48338088,-0.47739598,0.80858284,3
273841021,273819515,396321,0.50516045,-0.47126287,0.8847663,3
274395698,274345421,396321,0.5123145,-0.4541152,0.9034943,3
274886811,274870534,396321,0.4818623,-0.4272809,0.8872659,3
275356064,275324388,396321,0.48425776,-0.5204886,0.7997273,3
275910682,275853837,396321,0.6906313,-0.74568003,0.6750139,3
