timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
217083698,216983219,4325386,0.0019255937,0.002266461,-0.00028933006,0.34906584,2.1830613e-07,2.2103785e-07,4.2812334e-07,4259850,0.108777024,0.02191587,-0.017983701,0.4,0.0005000623,0.00059341965,0.0005000623,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
218093779,217993302,4325386,0.0019466395,0.0022731991,-0.00033766916,0.34906584,2.1581508e-07,2.1866911e-07,4.2904577e-07,4259850,0.10877038,0.022024283,-0.017362107,0.4,0.0005002482,0.0005935134,0.00050024566,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
219103853,219003385,4325386,0.0019444849,0.0022749822,-0.00040869677,0.34906584,2.1341313e-07,2.162826e-07,4.2923878e-07,4259850,0.10879087,0.022166207,-0.01732121,0.4,0.00050047034,0.0005937383,0.00050046947,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
220113887,220013468,4325386,0.001962941,0.0022570677,-0.00046209194,0.34906584,2.1070477e-07,2.1348886e-07,4.2911563e-07,4259850,0.108707175,0.022156073,-0.016743818,0.4,0.0004995275,0.00059249095,0.00049952394,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
221064216,220963547,4325386,0.0019778088,0.002271986,-0.00046089382,0.34906584,2.0833065e-07,2.1096129e-07,4.297345e-07,4259850,0.10885031,0.02216096,-0.01567057,0.4,0.00050018245,0.0005930224,0.00050018245,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
221464211,221363580,4325386,0.0019772924,0.0022756653,-0.0004483662,0.34906584,2.072882e-07,2.0984201e-07,4.2956114e-07,4259850,0.10878307,0.022131147,-0.014538904,0.4,0.0004995641,0.00059216324,0.0004995641,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
222104304,222003634,4325386,0.0019870542,0.0022710746,-0.00041391375,0.34906584,2.0651447e-07,2.0893995e-07,4.2943955e-07,4259850,0.10876963,0.021982599,-0.0133508565,0.4,0.0004996141,0.00059200596,0.0004996141,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
223064338,222963715,4325386,0.0019783692,0.0022907015,-0.00031959102,0.34906584,2.0444688e-07,2.0666147e-07,4.2939828e-07,4259850,0.10873481,0.021901827,-0.012280587,0.4,0.00049946085,0.0005913448,0.00049946085,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
224074242,223973800,4325386,0.0020029284,0.002317181,-0.0001758267,0.34906584,2.0307881e-07,2.050913e-07,4.301224e-07,4259850,0.10901962,0.021652829,-0.0124252,0.4,0.000499768,0.00059088087,0.000499768,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
225084387,224983886,4325386,0.0020189092,0.0023350755,-9.285495e-06,0.34906584,2.0182152e-07,2.0350805e-07,4.3007546e-07,4259850,0.109126106,0.021331368,-0.012066651,0.4,0.0005000519,0.0005903886,0.00050005194,396809,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
