timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
8759969,1,-1,0,20,0,0,1,0,0,0,0,0,0,0
218037441,1,-1,0,20,0,0,1,0,0,0,0,0,0,0
250844504,1,-1,0,20,0,0,1,0,0,0,0,0,0,0
252694316,1,0,1,20,0,0,1,0,0,0,0,0,0,0
260069162,1,1,2,20,0,0,1,0,0,0,0,0,0,0
263124136,1,3,3,20,0,0,1,0,0,0,0,0,0,0
268798670,1,3,4,20,0,0,1,0,0,0,0,0,0,0
272294214,1,4,5,20,0,0,1,0,0,0,0,0,0,0
274991112,1,5,6,20,0,0,1,0,0,0,0,0,0,0
281307265,1,6,7,20,0,0,1,0,0,0,0,0,0,0
289541211,1,7,8,20,0,0,1,0,0,0,0,0,0,0
300744803,1,8,9,20,0,0,1,0,0,0,0,0,0,0
304942618,1,9,10,20,0,0,1,0,0,0,0,0,0,0
322448606,1,10,11,20,0,0,1,0,0,0,0,0,0,0
325431299,1,11,12,20,0,0,1,0,0,0,0,0,0,0
335299525,1,12,13,20,0,0,1,0,0,0,0,0,0,0
336399385,1,13,14,20,0,0,1,0,0,0,0,0,0,0
383325173,1,14,15,20,0,0,1,0,0,0,0,0,0,0
383378546,1,15,16,20,0,0,1,0,0,0,0,0,0,0
383429287,1,16,17,20,0,0,1,0,0,0,0,0,0,0
383433860,1,17,18,20,0,0,1,0,0,0,0,0,0,0
414429961,1,18,19,20,0,0,1,0,0,0,0,0,0,0
418062071,1,19,19,20,0,0,1,0,0,0,0,0,0,0
473803948,1,19,19,20,0,0,1,0,0,0,0,0,0,0
473841870,1,19,19,20,0,0,1,0,1,0,0,0,0,0
509971010,1,-1,0,20,0,0,1,0,0,0,0,0,0,0
