timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
235204968,235204781,4259850,4325386,-0.00012937615,0.00022086904,-2.2198266e-05,-1.2356905e-05,-0.0025511272,-0.055050295,5001,4862,0,2,0
235704987,235704826,4259850,4325386,3.888275e-05,-0.00026121817,-0.00010761527,-0.000846707,-0.0011692012,-0.05703484,5000,4862,0,2,0
236205034,236204871,4259850,4325386,0.00046110785,0.00019695233,0.0001280701,-0.002430438,-0.007830878,-0.058263525,5000,4862,0,2,0
236705079,236704916,4259850,4325386,9.44084e-05,0.00023108938,0.00023579692,-0.00085916865,-0.008025751,-0.05945167,5000,4861,0,2,0
237205123,237204962,4259850,4325386,-0.00035910567,-5.7816567e-05,0.00024091886,0.0029095712,0.00081055594,-0.03643277,5001,4861,0,2,0
237700169,237700006,4259850,4325386,-0.00049231056,3.1039384e-05,0.00013181321,0.00023625985,-0.0043993555,-0.047571007,5000,4862,0,2,0
238200215,238200052,4259850,4325386,7.517847e-05,0.00029706667,-7.728217e-07,0.0018461818,-0.0031123369,-0.05444,5000,4863,0,2,0
238705261,238705098,4259850,4325386,-5.341578e-06,1.9640733e-05,0.00012025435,-0.0003517959,-0.0033355674,-0.047227383,5000,4863,0,2,0
239205317,239205144,4259850,4325386,-0.00029581093,0.00011393104,0.00010394964,-0.00028169603,-0.0020367536,-0.04517117,5001,4862,0,2,0
239705349,239705190,4259850,4325386,2.9413046e-05,1.6816275e-06,0.00021232376,-0.002743082,-0.004395497,-0.06195003,5001,4862,0,2,0
240205397,240205235,4259850,4325386,-0.00020217124,0.00019273508,0.00014260093,-0.002234445,-0.006875649,-0.052805036,5000,4862,0,2,0
240705442,240705282,4259850,4325386,0.000119459444,0.0001657204,0.00010543113,0.0019916068,-0.003990157,-0.033238914,5001,4862,0,2,0
