timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
288221696,288221626,4259850,6.6194887,10.021171,-7.998549,39.5,0,0,0,0,5
289223860,289223792,4259850,-2.9649794,-5.845683,-9.27801,39.5,0,0,0,0,5
290220915,290220846,4259850,-3.455312,-9.668744,-10.005848,39.5,0,0,0,0,5
291222930,291222861,4259850,8.236054,10.940544,-4.282748,39.5,0,0,0,0,5
292222781,292222563,4259850,1.3484144,2.59723,-12.45751,39.5,0,0,0,0,5
293224697,293224628,4259850,8.00621,7.600154,-8.21307,39.5,0,0,0,0,5
294221917,294221847,4259850,-2.3597252,-5.730761,-6.772718,39.5,0,0,0,0,5
295223560,295223492,4259850,6.0218964,9.155427,-5.071877,39.5,0,0,0,0,5
296223320,296223116,4259850,-3.6928167,0.24516626,-15.353537,39.5,0,0,0,0,5
297220374,297220305,4259850,-0.704853,3.1411927,-14.664007,39.5,0,0,0,0,5
298222440,298222370,4259850,-1.1109096,1.3024458,-11.0171585,39.5,0,0,0,0,5
299222477,299222407,4259850,4.6198516,4.2521024,-2.7427976,39.5,0,0,0,0,5
300224635,300224566,4259850,4.9186482,5.2863975,-7.7993517,39.5,0,0,0,0,5
301221917,301221847,4259850,8.144116,6.7114263,-4.7884035,39.5,0,0,0,0,5
302221528,302221451,4259850,5.2174444,3.9609673,-15.912823,39.5,0,0,0,0,5
303223125,303223052,4259850,0.97300357,-0.13790601,-11.844595,39.5,0,0,0,0,5
304220347,304220262,4259850,-3.4476504,-9.530838,-9.201396,39.5,0,0,0,0,5
305222456,305222387,4259850,0.3217807,1.4403517,-14.426502,39.5,0,0,0,0,5
306222319,306222125,4259850,7.7150755,9.086474,-14.863204,39.0,0,0,0,0,5
307224928,307224731,4259850,1.5782578,3.2101457,-17.636648,39.0,0,0,0,0,5
308222092,308222022,4259850,2.114559,-4.8880024,-7.063853,39.0,0,0,0,0,5
309221908,309221774,4259850,-2.9879637,5.5468864,-16.257587,39.0,0,0,0,0,5
310223578,310223510,4259850,-2.1222205,-0.13790601,-15.008772,39.0,0,0,0,0,5
311220817,311220749,4259850,-0.51331687,-1.6931795,-7.6614456,39.0,0,0,0,0,5
312222725,312222655,4259850,0.107260235,0.15322891,-5.4089804,39.0,0,0,0,0,5
313222393,313222322,4259850,-2.4210167,2.1911733,-9.27801,39.0,0,0,0,0,5
314224449,314224380,4259850,-3.0109482,2.9496565,-16.556383,39.0,0,0,0,0,5
315221479,315221411,4259850,-1.6778566,3.5012805,-13.9438305,39.0,0,0,0,0,5
316223410,316223340,4259850,-1.133894,0.1685518,-11.813949,39.0,0,0,0,0,5
317222862,317222791,4259850,-1.0342952,-1.1032481,-6.2900467,39.0,0,0,0,0,5
318221984,318221913,4259850,-0.15322891,-2.168189,-6.481583,39.0,0,0,0,0,5
319222176,319222107,4259850,0.076614454,0.16089036,-7.960242,39.0,0,0,0,0,5
320221824,320221752,4259850,-5.3859963,4.673482,-20.379446,39.0,0,0,0,0,5
321223765,321223692,4259850,3.700478,11.476846,-16.303556,39.0,0,0,0,0,5
322220865,322220796,4259850,-0.6052542,-6.2517395,-9.293333,39.0,0,0,0,0,5
323222897,323222829,4259850,0.62823856,-7.270712,-13.93617,39.0,0,0,0,0,5
324222508,324222436,4259850,-0.63589996,8.32033,-12.45751,39.0,0,0,0,0,5
325222401,325222167,4259850,-2.5129542,-11.699027,-9.760681,39.0,0,0,0,0,5
326221535,326221466,4259850,-1.8540698,-6.6194887,-7.699753,39.0,0,0,0,0,5
327223752,327223677,4259850,-1.7621325,0.6435614,-11.155065,39.0,0,0,0,0,5
328223560,328223490,4259850,-2.2141578,-3.1335313,-7.4545865,39.0,0,0,0,0,5
329220831,329220761,4259850,1.0649409,7.975565,-5.14083,39.0,0,0,0,0,5
330223486,330223412,4259850,1.0036494,10.197384,-14.686991,39.0,0,0,0,0,5
331223353,331223284,4259850,-2.8577192,-5.3247046,-8.665095,39.0,0,0,0,0,5
332220841,332220739,4259850,0.75082165,-2.5052927,-3.7234626,39.0,0,0,0,0,5
333223042,333222972,4259850,3.2790987,9.684067,-13.154702,39.0,0,0,0,0,5
334222389,334222318,4259850,0.6435614,-10.886914,-10.136092,38.5,0,0,0,0,5
335224613,335224543,4259850,0.0842759,7.4545865,-4.175488,38.5,0,0,0,0,5
336221974,336221906,4259850,-2.6355371,4.037582,-13.40753,38.5,0,0,0,0,5
337221769,337221696,4259850,2.1911733,4.696466,-9.492531,38.5,0,0,0,0,5
338224419,338224348,4259850,5.6847925,5.868667,-9.094136,38.5,0,0,0,0,5
339221876,339221635,4259850,8.128794,9.415916,-8.412267,38.5,0,0,0,0,5
340221486,340221416,4259850,7.6308,10.220368,-13.14704,38.5,0,0,0,0,5
341223647,341223578,4259850,3.4323275,6.343677,-7.3013577,38.5,0,0,0,0,5
342222987,342222917,4259850,5.569871,5.539225,-11.009498,38.5,0,0,0,0,5
343222702,343222631,4259850,1.6012421,-6.274724,-12.518802,38.5,0,0,0,0,5
344222386,344222314,4259850,8.251377,12.24299,-3.386359,38.5,0,0,0,0,5
345224467,345224397,4259850,4.9109864,5.30172,-12.327266,38.5,0,0,0,0,5
346221757,346221687,4259850,7.2170815,8.42759,-8.925584,38.5,0,0,0,0,5
347221561,347221491,4259850,0.72017586,-9.377609,-14.20432,38.5,0,0,0,0,5
348223846,348223776,4259850,7.469909,10.771993,-5.7537456,39.0,0,0,0,0,5
349223210,349223139,4259850,7.462248,11.760319,-7.362649,38.5,0,0,0,0,5
350221211,350221141,4259850,-1.3560759,-5.807376,-11.783303,38.5,0,0,0,0,5
351223607,351223535,4259850,2.4516625,2.7121518,-10.327628,38.5,0,0,0,0,5
352223501,352223432,4259850,5.692454,4.849695,-10.894575,38.5,0,0,0,0,5
353221032,353220933,4259850,4.0299206,1.202847,-6.964254,38.5,0,0,0,0,5
354220951,354220881,4259850,3.4629734,3.7541084,-13.614388,38.5,0,0,0,0,5
355223326,355223258,4259850,3.1565156,4.068228,-13.744634,38.5,0,0,0,0,5
356223234,356223165,4259850,-2.0915747,-6.910624,-6.2900467,38.5,0,0,0,0,5
357222621,357222548,4259850,0.9959879,2.7121518,-10.794977,38.5,0,0,0,0,5
358222396,358222327,4259850,5.0182467,3.4936192,-17.138653,38.5,0,0,0,0,5
359224641,359224571,4259850,8.688079,8.58848,-8.473558,38.5,0,0,0,0,5
360222063,360221994,4259850,-2.2831109,-1.0419565,-10.319967,38.5,0,0,0,0,5
361222017,361221949,4259850,-3.0569167,2.581907,-17.521727,38.5,0,0,0,0,5
362224299,362224229,4259850,0.6588843,-2.7657819,-6.9872384,38.5,0,0,0,0,5
363224011,363223944,4259850,-3.9149988,1.6318879,-11.87524,38.5,0,0,0,0,5
364221427,364221355,4259850,2.9496565,1.5169662,-7.9832263,38.5,0,0,0,0,5
365223298,365223228,4259850,1.8617313,4.098873,-14.326903,38.5,0,0,0,0,5
366223105,366223035,4259850,7.6767683,6.5811815,-8.986876,38.5,0,0,0,0,5
367220359,367220285,4259850,-4.5662217,-8.098148,-11.02482,38.5,0,0,0,0,5
368222617,368222546,4259850,5.2480903,5.761407,-14.47247,38.5,0,0,0,0,5
369222982,369222784,4259850,2.750459,4.9416323,-15.851531,38.5,0,0,0,0,5
370225032,370224963,4259850,-5.3936577,-8.780017,-9.515515,38.5,0,0,0,0,5
