timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
218196923,218196761,2490378,0.0005262634,-0.02243281,0.0042534075,36.274155,0,20
219199527,219199364,2490378,0.021716692,-0.025620367,0.013193224,36.262077,0,20
220197194,220197029,2490378,-9.659265e-05,-0.003364089,0.001718683,36.30737,0,20
221197324,221197163,2490378,-0.04609468,0.044269413,0.003697167,36.301327,0,20
222197461,222197298,2490378,-0.074359685,0.009206279,0.07697102,36.24094,0,20
223200063,223199903,2490378,0.21226402,-0.0006295176,0.04576826,36.316425,0,20
224197734,224197570,2490378,0.34709737,-0.5088634,0.0363688,36.277176,0,20
225197869,225197707,2490378,0.25231665,-0.21533166,0.04775674,36.4221,0,20
226198008,226197844,2490378,-0.10711459,0.024617802,-0.011168109,36.43116,0,20
227195675,227195513,2490378,-0.16275528,0.049225613,-0.029487405,36.391907,0,20
228198283,228198121,2490378,-0.214902,0.22005472,0.07784368,36.376812,0,20
229198420,229198260,2490378,0.09645609,0.22038779,0.09038074,36.373795,0,20
230198560,230198400,2490378,0.19347174,-0.09874433,0.053552296,36.419083,0,20
231196238,231196072,2490378,-0.033071324,0.038147435,0.05265965,36.443237,0,20
232198849,232198683,2490378,-0.12448128,0.012776876,-0.047743417,36.530796,0,20
233198983,233198822,2490378,-0.038407236,-0.024914242,-0.05113082,36.482487,0,20
234196656,234196495,2490378,0.0019185299,0.10269131,-0.030230168,36.467392,0,20
235196799,235196637,2490378,-0.070829056,-0.08860877,0.0131399315,36.61836,0,20
236199413,236199249,2490378,0.22366528,-0.058328636,0.0583353,36.55495,0,20
237199556,237199393,2490378,0.13218205,-0.008167075,0.10908641,36.533817,0,20
238197230,238197068,2490378,-0.25887164,0.13727148,-0.035952453,36.66063,0,20
239197375,239197212,2490378,0.006178599,-0.19108024,0.051107503,36.615337,0,20
240197520,240197357,2490378,-0.26831773,0.007940582,0.001735337,36.781403,0,20
241195196,241195033,2490378,-0.5956769,0.16206248,-0.07535226,36.77838,0,20
242197810,242197649,2490378,-0.124131545,0.028897857,0.019864779,36.73611,0,20
243197957,243197795,2490378,-0.45878845,0.0625554,-0.107394375,36.766304,0,20
244198107,244197942,2490378,0.36028725,-0.1554975,0.058958154,36.678745,0,20
245195784,245195620,2490378,0.06968327,-0.037341386,0.07028281,36.796497,0,20
246198406,246198237,2490378,0.08938151,0.043353446,0.027645484,36.74517,0,20
247198755,247198389,2490378,0.29409796,0.02686941,-0.011987481,36.721016,0,20
248196284,248196064,2490378,-0.09376149,0.030526608,0.02647638,36.757248,0,20
249196378,249196213,2490378,0.19041076,0.011817611,0.08499154,36.705917,0,20
250198992,250198831,2490378,-0.068117805,-0.22549388,0.0455884,36.820652,0,20
251199150,251198980,2490378,0.3020985,0.47976238,0.10085272,36.87802,0,20
252196824,252196660,2490378,0.01786964,-0.4351166,0.102318265,36.838768,0,20
253196989,253196814,2490378,-0.81923556,-0.4374981,-0.1208474,36.865944,0,20
254199590,254199429,2490378,0.75405884,1.4331717,0.13033013,36.796497,0,20
255197276,255197110,2490378,0.20809054,-0.17118216,-0.15133737,36.847828,0,20
256197423,256197261,2490378,0.29460093,0.32239962,-0.11851585,36.956524,0,20
257197579,257197412,2490378,-0.23853056,-0.6114715,-0.21371624,36.905193,0,20
258200198,258200033,2490378,0.12577362,0.013949311,-0.00793392,36.980675,0,20
259197879,259197715,2490378,0.41493204,-0.12169009,0.16132972,36.956524,0,20
260198030,260197867,2490378,0.5669955,0.17212144,0.12427144,36.853867,0,20
261198183,261198019,2490378,-0.20403032,-0.420238,0.056616616,36.92633,0,20
262195868,262195702,2490378,-0.0260567,0.08075812,0.0654232,36.911232,0,20
263196015,263195855,2490378,0.35133412,-0.05437833,0.0957433,36.953503,0,20
264198657,264198478,2490378,-0.33500996,0.023591923,0.08539123,36.87802,0,20
265198796,265198632,2490378,0.47660813,0.052313246,-0.045055475,36.862923,0,20
266196479,266196316,2490378,0.6765449,-0.15788901,0.009149656,37.001812,0,20
267196633,267196471,2490378,0.35424522,0.36076024,0.003926991,36.99879,0,20
268199258,268199095,2490378,-0.17679453,0.12427144,-0.088159114,37.059177,0,20
269196943,269196780,2490378,1.2312598,-0.486344,0.16353136,37.010868,0,20
270197096,270196936,2490378,-0.6992275,0.03391401,0.5466811,37.038044,0,20
271197254,271197091,2490378,-0.22374855,0.2011059,-0.016067687,36.962563,0,20
272199882,272199716,2490378,0.37898627,0.044712406,-0.054178484,37.032005,0,20
273197565,273197402,2490378,0.43819755,-0.1306732,0.044888936,37.101448,0,20
274197719,274197558,2490378,0.081654094,-0.2038871,-7.660796e-05,37.02295,0,20
275197877,275197714,2490378,-1.2523804,0.106208615,-0.12405161,37.080315,0,20
276195561,276195400,2490378,0.35859522,0.39874777,-0.52820855,37.08937,0,20
277198192,277198025,2490378,-0.012943415,0.8800323,-0.59770864,36.992756,0,20
278198397,278198180,2490378,0.26485705,0.60630876,-0.55926144,37.038044,0,20
279198497,279198335,2490378,0.25860518,0.71831626,-0.6574629,37.001812,0,20
280196183,280196021,2490378,0.9597779,0.19759859,-0.048722666,36.956524,0,20
281198807,281198645,2490378,-0.5087102,0.31134808,0.35471487,37.019928,0,20
282198961,282198799,2490378,-0.0006228561,0.12231294,0.4130235,36.896137,0,20
283196644,283196483,2490378,-0.03479667,0.12934089,0.14208446,36.992756,0,20
284196799,284196636,2490378,-0.33753803,0.011261371,0.050930973,36.856884,0,20
285199421,285199258,2490378,0.42387518,-0.04788664,0.066329174,36.86896,0,20
286199573,286199410,2490378,-0.37880307,-0.17001972,-0.14014262,36.914253,0,20
287197302,287197094,2490378,0.43333128,-0.21216743,0.12040441,36.781403,0,20
288197407,288197243,2490378,-0.14531864,0.08925494,0.0076408116,36.865944,0,20
289197555,289197394,2490378,0.48153767,0.06290846,0.08515475,36.820652,0,20
