timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
369801390,35,0,123,122,100,83,55
370847830,35,0,123,122,96,85,56
371781264,35,0,133,133,100,79,56
372792630,35,0,132,135,100,79,56
373839581,35,0,128,127,97,84,57
374773961,35,0,119,115,95,86,57
375797351,36,0,110,100,100,84,56
376846832,36,0,118,116,99,74,56
377887442,36,0,126,124,92,81,55
378804084,36,0,119,122,97,89,56
379888901,36,0,122,121,96,83,56
380769115,36,0,125,120,95,77,54
381812680,36,0,131,129,97,82,54
382848832,36,0,128,125,100,72,53
383765347,36,0,136,134,97,78,54
384808464,36,0,137,136,93,81,54
385848144,36,0,128,127,98,74,54
386775252,36,0,120,118,99,80,57
387804010,36,0,119,106,100,82,55
388836841,36,0,135,134,96,84,60
389770628,36,0,139,136,97,83,55
390814503,36,0,130,130,100,79,55
391743484,36,0,122,119,100,81,52
392771583,36,0,120,117,100,81,52
393851351,36,0,116,110,100,79,58
394833797,36,0,122,117,97,83,52
395758050,36,0,125,123,100,83,54
396820634,36,0,128,124,99,82,57
397860632,36,0,138,137,100,75,60
398777473,36,0,145,144,100,79,54
399795862,36,0,148,144,97,77,53
400753986,36,0,148,146,100,109,53
401780342,36,0,151,148,95,75,55
402822199,36,0,156,154,96,81,51
403860272,36,0,161,160,96,77,64
404764855,36,0,161,156,96,82,55
405801454,36,0,162,161,99,88,52
406840633,36,0,160,161,99,78,55
407799489,36,0,158,157,100,82,57
408809627,36,0,156,156,100,82,50
409863092,36,0,154,153,91,82,54
410764849,36,0,153,152,94,81,55
411797876,36,0,153,153,100,86,54
412848781,36,0,146,147,100,81,56
413816680,36,0,137,139,100,81,52
414807977,36,0,127,128,95,82,52
415847634,36,0,121,126,97,84,53
416782464,36,0,134,133,96,81,53
417745546,36,0,149,149,99,80,54
418761019,36,0,154,154,100,77,52
419807090,36,0,155,153,100,74,61
420823353,36,0,154,152,96,82,57
421747635,36,0,154,151,98,81,59
422780834,36,0,156,154,99,82,56
423821137,36,0,155,154,98,81,54
424862631,36,0,155,155,100,84,50
425787634,36,0,155,155,94,83,49
426818446,36,0,155,153,96,81,52
427746966,36,0,156,155,97,82,53
428783273,36,0,156,154,100,81,53
429821498,36,0,156,154,99,83,55
430756431,36,0,155,153,99,80,52
431792630,36,0,155,151,95,76,50
432830146,36,0,156,154,93,82,49
433746996,36,0,152,151,100,85,49
434780686,36,0,152,151,100,72,53
435809244,36,0,153,152,98,83,49
436755059,36,0,154,152,100,83,49
437809341,36,0,154,153,96,85,51
438819444,36,0,155,153,100,82,46
439754633,36,0,146,152,100,83,51
440794105,36,0,155,153,100,82,53
441834621,36,0,156,153,96,81,51
442748249,36,0,156,155,100,83,51
443822749,36,0,158,158,97,82,53
444822390,36,0,158,157,99,84,54
445767515,36,0,159,156,100,83,52
446779634,36,0,160,158,100,82,54
447831523,36,0,160,157,99,86,56
448779528,36,0,160,158,95,80,54
449916132,36,0,164,162,98,84,53
450826854,36,0,166,163,100,79,53
451758463,36,0,168,166,100,83,56
452780134,36,0,168,166,100,86,54
453825221,36,0,170,168,97,83,55
454753288,36,0,171,170,100,79,57
455815701,36,0,172,170,97,82,53
456832658,36,0,175,174,98,83,55
457755974,36,0,177,178,100,82,53
458787467,36,0,178,179,100,85,50
459761959,36,0,182,181,94,84,53
460756355,36,0,184,182,100,83,55
461813080,36,0,184,184,100,85,54
462839108,36,0,182,181,100,82,53
463774972,36,0,177,178,100,83,55
464782178,36,0,168,164,99,82,53
465835569,36,0,170,165,100,82,54
466755319,36,0,174,170,98,82,54
467801254,36,0,178,175,96,84,55
468821492,36,0,174,172,96,85,54
469784638,36,0,170,172,99,86,56
470806858,36,0,168,167,97,77,54
471846613,36,0,168,166,92,89,56
472757598,36,0,165,162,98,85,55
473810324,36,0,165,165,96,83,58
474829008,36,0,167,163,97,80,63
475777269,36,0,163,161,100,80,61
476801077,36,0,145,144,99,74,63
477826121,36,0,145,125,96,87,70
478771014,36,0,148,143,96,79,68
479791262,36,0,155,135,96,82,66
480830158,36,0,159,160,100,81,67
481766982,36,0,155,152,100,82,74
482813266,36,0,146,141,100,84,84
483744634,36,0,135,120,100,83,67
484752133,36,0,127,113,96,93,88
485802375,36,0,133,117,94,83,87
486829632,36,0,142,136,100,82,85
487794402,36,0,159,152,100,88,88
488796692,36,0,164,160,97,80,86
489842970,36,0,177,175,97,81,87
490758318,36,0,184,184,95,80,86
491796029,36,0,187,183,100,83,86
492837647,36,0,185,185,100,84,88
493766553,36,0,187,183,93,96,75
494814152,36,0,184,163,95,88,82
495840330,36,0,179,179,97,93,80
496756461,36,0,175,174,100,76,80
497802022,36,0,168,173,100,78,84
498754565,36,0,185,188,100,82,65
499768439,36,0,192,192,94,84,83
500802043,36,0,179,174,96,84,84
501852403,36,0,173,169,90,81,84
502756206,36,0,166,164,99,83,85
503819227,36,0,169,168,100,81,84
504834458,36,0,175,175,99,82,84
505816160,36,0,180,179,100,84,85
506804457,36,0,179,180,99,81,84
507844477,36,0,171,166,100,75,62
508774413,36,0,178,179,100,82,84
509805609,36,0,162,154,100,71,83
510759922,36,0,170,170,99,83,83
