timestamp,timestamp_sample,baro_device_id,bias,bias_var,innov,innov_var,innov_test_ratio
217659327,217540112,4028193,3.562774,0.03198368,3.4461071,14.8837385,0.08865496
218261490,218147335,4028193,3.58468,0.031990476,3.3951137,14.841975,0.08629278
218666471,218523034,4028193,3.5992029,0.032019217,3.297348,14.816469,0.081534676
219269453,219123471,4028193,3.621193,0.031812917,3.4182987,14.771965,0.08788995
219664366,219556139,4028193,3.6350398,0.03167659,3.3837237,14.746645,0.08626886
220266678,220162322,4028193,3.6563745,0.031473804,3.1783903,14.705791,0.076327935
220661735,220547664,4028193,3.6709714,0.031339727,3.3657084,14.680808,0.08573546
221264505,221125090,4028193,3.6924999,0.031140333,3.3523242,14.646651,0.085253306
221659757,221510431,4028193,3.706248,0.031008592,3.3261445,14.625035,0.08405098
222261963,222109063,4028193,3.728037,0.03081274,3.4029696,14.594319,0.088163696
222676865,222548382,4028193,3.7421215,0.030683383,3.1341376,14.5759735,0.07487831
223269717,223140648,4028193,3.7666016,0.030490994,3.8918486,14.551604,0.115653425
223664686,223522535,4028193,3.7835488,0.03036387,4.38237,14.530428,0.14685784
224257290,224117037,4028193,3.8045704,0.030174838,3.5393958,14.500339,0.095992565
224672168,224549369,4028193,3.8185043,0.030049995,3.3833184,14.485337,0.08780406
225264893,225143496,4028193,3.8397405,0.029864307,3.513224,14.455551,0.09487122
225659949,225521877,4028193,3.8540277,0.029741602,3.367663,14.443645,0.08724447
226272430,226170618,4028193,3.8742843,0.029559337,2.9560804,14.425845,0.067305215
226667538,226548922,4028193,3.8866215,0.029438853,3.0720184,14.411099,0.072762564
227270267,227143598,4028193,3.9029636,0.029259792,3.0917053,14.390529,0.07380349
227665199,227518381,4028193,3.916669,0.0291415,3.4560719,14.3817005,0.0922811
228257847,228117674,4028193,3.9353185,0.02896573,2.931093,14.364161,0.06645633
228662901,228515694,4028193,3.949395,0.028849619,4.0272565,14.349628,0.12558433
229265431,229122189,4028193,3.9660327,0.028677074,2.1582923,14.329359,0.03612029
229660662,229556090,4028193,3.980324,0.028563013,3.7644365,14.314949,0.10999367
230263134,230112410,4028193,3.9986625,0.028393302,3.2606168,14.292011,0.082653955
230658168,230537959,4028193,4.0101385,0.028281204,2.5787454,14.280562,0.051740322
231270646,231151840,4028193,4.0276237,0.028114596,2.9668498,14.266271,0.06855484
231655849,231536535,4028193,4.0383244,0.028004445,3.028799,14.252086,0.071518764
232268296,232156611,4028193,4.0549717,0.027840732,2.5691118,14.2323,0.05152861
232673273,232541965,4028193,4.0661564,0.027732478,2.584918,14.218236,0.052216206
233265945,233136646,4028193,4.0805025,0.027571533,1.971909,14.206946,0.030410986
233670994,233569237,4028193,4.0904026,0.0274653,2.5645895,14.20684,0.051439382
234263677,234124382,4028193,4.105953,0.027307395,2.4226394,14.206681,0.045903143
234658764,234558469,4028193,4.1150312,0.027203223,2.2944603,14.209355,0.04116652
235261395,235153536,4028193,4.128845,0.027048374,3.2927065,14.2092,0.0847801
235666316,235535761,4028193,4.138349,0.026946109,2.4996324,14.209098,0.04885885
236268859,236144980,4028193,4.153779,0.02679423,3.5951185,14.208945,0.10106996
236663989,236527274,4028193,4.1610494,0.02669389,2.4601717,14.208844,0.047329243
237246768,237118204,4028193,4.177548,0.026544794,3.4568768,14.208694,0.09344824
237671596,237548370,4028193,4.1890726,0.02644637,3.1636658,14.208596,0.078268595
238264301,238156462,4028193,4.2011976,0.02630007,1.8127666,14.20567,0.025702745
238669199,238538418,4028193,4.2042513,0.02620339,0.9793701,14.205573,0.0075022653
239271745,239136677,4028193,4.2205777,0.026059734,2.9714193,14.205429,0.06906071
239656988,239514817,4028193,4.2284355,0.025964804,2.743772,14.205334,0.05888465
240269515,240165684,4028193,4.241431,0.025823819,2.6530871,14.205193,0.05505711
240684344,240547624,4028193,4.2481074,0.025730617,1.129117,14.205099,0.009972203
241267108,241139425,4028193,4.2573023,0.025592092,1.1565056,14.20496,0.010461958
241662276,241514267,4028193,4.26562,0.025500545,1.3668237,14.204867,0.014613199
242274666,242128257,4028193,4.2690444,0.025364561,0.5425644,14.204731,0.0023026452
242669834,242560984,4028193,4.274127,0.025274724,1.5262852,14.204641,0.018222107
243272328,243147043,4028193,4.280883,0.025141051,2.2742972,14.204507,0.040459994
243657574,243527616,4028193,4.2868524,0.025052708,1.8853903,14.201641,0.027811311
243865013,243744281,4028193,4.288354,0.025008794,0.8509307,14.198822,0.005666222
244665165,244555233,4028193,4.2939906,0.024834588,1.6066594,14.1986475,0.020200316
245267685,245142747,4028193,4.2967725,0.024705479,-1.2529898,14.1957445,0.012288372
245652935,245523974,4028193,4.300277,0.02462016,0.6629791,14.198432,0.0034396702
246057996,245956326,4028193,4.3018093,0.024535503,0.41388464,14.198347,0.0013405355
