timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
236265502,236164867,1.4784056,1.7425698,-2.5643265,-0.97224474,0.3834615,1.4112794,2.421732,-0.23818263,-0.2735392,-0.1261625,-0.049420893,-0.08969599,0.09343529,-0.07903958,-0.12479727,-0.030568473,0.082199946,0.09409726,0.08507997,0.2159927,0.3618333,0.24299674
237265386,237164958,1.5355121,1.6853732,-2.5275924,-0.92049444,0.44032308,1.4609526,2.4616013,0.12823187,-0.06794938,-0.12069717,-0.014559255,0.11222843,0.16462305,0.20751834,0.040034022,-0.04639913,-0.0030982196,0.091083966,0.080847904,0.21405625,0.36832336,0.24568845
238255507,238155048,1.5631697,1.6402853,-2.503349,-0.8844641,0.47733158,1.491248,2.4850073,0.20101537,0.085394464,-0.056372285,-0.032907188,0.08451721,0.0004934557,0.15428028,0.0649583,-0.062348016,-0.11001947,0.088083275,0.078056976,0.21423273,0.37366083,0.24596614
239265776,239165140,1.5762511,1.6286428,-2.484105,-0.86238354,0.497874,1.5094448,2.5022311,0.07133917,0.010364022,-0.08790422,-0.08392603,-0.013146019,-0.014663063,0.093951136,0.048855633,-0.034392472,-0.0752583,0.08702521,0.07768465,0.21528055,0.37503207,0.2449775
240265796,240165232,1.6137553,1.5998893,-2.4530191,-0.8237892,0.5383028,1.5458928,2.5338206,0.10100107,0.13701613,0.03464551,-0.02253934,-0.0023898333,-0.12024973,0.00091298297,0.04003398,-0.021482356,-0.101480626,0.08526191,0.075685404,0.21477799,0.37853336,0.24574134
241255741,241155323,1.6300836,1.5722777,-2.429431,-0.79266167,0.56762576,1.5698625,2.5544481,-0.07947283,0.051330622,0.018035237,-0.07331855,-0.13055111,-0.20893002,-0.16079322,-0.045139216,-0.035261527,-0.105320945,0.08289987,0.074339345,0.21630378,0.38210273,0.24435426
242255947,242155415,1.6178949,1.5465524,-2.4171782,-0.77271503,0.58085024,1.5760747,2.5592306,-0.088524416,-0.044215504,-0.042139113,-0.06807275,-0.09267643,-0.073431745,-0.07275803,-0.034876414,-0.022300258,-0.036926236,0.07980095,0.07382085,0.22050394,0.38569865,0.24017563
243266120,243165509,1.6327772,1.5356381,-2.4218683,-0.774623,0.5841099,1.5795913,2.559415,0.06915654,-0.10859612,-0.16330695,-0.07470364,0.04070311,0.1308632,0.18252434,0.033752445,-0.0481505,-0.019602228,0.08000432,0.07237371,0.21767232,0.38681808,0.2431316
244266167,244165602,1.6053585,1.4055235,-2.4534664,-0.7677616,0.5910407,1.5637653,2.5227916,0.2784004,0.08413551,-0.066067964,-0.002799347,0.15368895,0.16821876,0.336337,0.18012087,0.031188682,-0.0006030053,0.070567034,0.06439806,0.21934265,0.4041589,0.24153337
245256098,245155694,1.6266017,1.341078,-2.451099,-0.7459675,0.6177578,1.5802047,2.527297,0.17587821,0.29422036,0.10789011,-0.018417343,-0.013621479,-0.23247184,-0.005559044,0.101047866,0.006082101,-0.14964633,0.066752695,0.05981436,0.2172023,0.41280127,0.24342936
246256354,246155788,1.6388918,1.236084,-2.451563,-0.7112242,0.65402037,1.5969925,2.525535,-0.09581036,0.20657381,0.14911222,-0.033947058,-0.16850352,-0.33808112,-0.26234162,-0.010724574,0.024515405,-0.10068999,0.059544258,0.05321004,0.21684614,0.42773813,0.24266137
247266504,247165883,1.6215991,1.1295269,-2.4728417,-0.6925522,0.66993374,1.5903028,2.4997957,-0.387406,-0.15675823,-0.0076718777,-0.08471319,-0.24969362,-0.19875972,-0.3811356,-0.19390053,-0.042870626,-0.013065785,0.05168108,0.046915796,0.21822852,0.444044,0.23913059
248256416,248155976,1.6170812,0.99777395,-2.506752,-0.66912496,0.6954498,1.5872364,2.4679558,-0.38952723,-0.5314247,-0.26171598,-0.115489215,-0.13029322,0.27284005,-0.06294321,-0.16995533,-0.03344538,0.16428399,0.042827573,0.03834093,0.21539144,0.46563905,0.23780099
249256484,249156069,1.644583,0.8477193,-2.5303645,-0.61535877,0.7547367,1.610527,2.4527054,0.19276363,-0.29318893,-0.26578707,-0.032645375,0.18715325,0.56845707,0.56261176,0.18492326,0.09146729,0.2055802,0.033389196,0.02854621,0.20814388,0.49225113,0.23766963
