timestamp,timestamp_sample,baro_device_id,bias,bias_var,innov,innov_var,innov_test_ratio
253066995,252925303,4028193,4.312259,0.023156445,-0.6063204,14.210858,0.0028743623
253276995,253141602,4028193,4.3152685,0.023119003,1.8468747,14.210821,0.026669396
253867134,253765663,4028193,4.312526,0.023007507,-0.08123922,14.227449,5.1542083e-05
254267132,254165372,4028193,4.3139086,0.022933846,0.7764168,14.241381,0.0047032195
255867240,255722944,4028193,4.3161225,0.022644186,1.2515574,14.257961,0.012206792
256067329,255939273,4028193,4.317761,0.022608498,1.031095,14.252294,0.008288389
256487304,256376312,4028193,4.3189077,0.022537459,0.96027803,14.246599,0.0071918443
257067348,256917361,4028193,4.320854,0.02243156,0.8671627,14.243683,0.0058659236
257267521,257133574,4028193,4.3231893,0.02239652,1.4823875,14.240842,0.01714531
257477396,257349755,4028193,4.3251934,0.022361584,1.2740283,14.238001,0.012666791
258257560,258117674,4028193,4.3264313,0.022222847,1.7850609,14.249094,0.024847133
258657697,258550673,4028193,4.3285813,0.022154257,1.8339787,14.260289,0.026207024
259457809,259308069,4028193,4.326193,0.022018395,-1.9755054,14.285614,0.030353935
259857820,259740765,4028193,4.3250957,0.021951225,-1.3007636,14.291226,0.013154816
260477692,260336425,4028193,4.326175,0.02185122,0.23867369,14.299661,0.00044263
260867826,260715042,4028193,4.3283134,0.021785052,0.91859055,14.299594,0.0065565854
262068030,261915179,4028193,4.331639,0.021588955,1.5573635,14.290863,0.01885728
262667990,262564206,4028193,4.3336987,0.02149228,0.8421531,14.293609,0.0055131232
263248183,263105296,4028193,4.336591,0.021396382,1.4917359,14.302053,0.01728793
264258227,264140746,4028193,4.3382235,0.021238763,0.62439346,14.310455,0.003027058
264503081,264356897,4028193,4.3396063,0.021207528,0.93155193,14.307569,0.006739161
264668316,264522707,4028193,4.3481355,0.021176329,5.7551203,14.310392,0.2571667
265068179,264955238,4028193,4.3462396,0.021114297,-1.071579,14.298922,0.008922829
265668239,265553497,4028193,4.3549,0.021021804,2.0771427,14.287453,0.03355331
266258378,266144796,4028193,4.364489,0.020930044,2.5874214,14.27885,0.05209531
266668360,266533957,4028193,4.368395,0.020869302,2.8109646,14.273125,0.061510485
267258433,267113303,4028193,4.384725,0.020778779,3.2749615,14.2702055,0.08351022
267658593,267546185,4028193,4.3955092,0.020718947,3.6140332,14.270145,0.10169823
268068502,267921234,4028193,4.4072847,0.020659361,4.085112,14.267259,0.12996455
268668562,268519996,4028193,4.425853,0.020570673,4.601323,14.264344,0.16491917
269058562,268952936,4028193,4.4383435,0.020512015,3.2583804,14.264285,0.08270105
269658579,269536368,4028193,4.4505854,0.020424534,3.7618413,14.261374,0.11025468
270058660,269919719,4028193,4.4665594,0.02036665,5.149102,14.26414,0.2065261
270668687,270518881,4028193,4.4807897,0.020280471,3.4563446,14.264053,0.0930569
271258720,271109995,4028193,4.4966865,0.02019504,4.4949646,14.27528,0.15726258
271668742,271542510,4028193,4.50462,0.0201386,2.054627,14.286568,0.032831866
272068810,271924521,4028193,4.5154505,0.020082463,3.8768663,14.297887,0.11680119
272659011,272522860,4028193,4.534584,0.019998943,6.2313166,14.309212,0.30150983
273259112,273113509,4028193,4.5524964,0.01991614,4.416605,14.314844,0.1514077
273649020,273545769,4028193,4.5647044,0.019861389,4.2664633,14.317651,0.14126083
274259077,274145149,4028193,4.585215,0.01977981,3.7230597,14.326163,0.10750473
274659051,274519802,4028193,4.5965395,0.019725775,3.5703087,14.328979,0.0988448
275259128,275113159,4028193,4.613848,0.019645317,2.9174109,14.323162,0.06602581
275659235,275545581,4028193,4.6237283,0.019592088,4.5264807,14.323109,0.15894306
276249335,276146974,4028193,4.642815,0.019512769,4.47798,14.337384,0.1554003
276659216,276528784,4028193,4.662231,0.01946026,9.457264,14.340207,0.6929998
277249302,277126990,4028193,4.68371,0.019382082,5.388204,14.345889,0.22486304
277659528,277555768,4028193,4.697808,0.01933036,5.2058597,14.348721,0.20985979
278259625,278145618,4028193,4.7123456,0.019253273,5.779445,14.360196,0.25844577
278649439,278524026,4028193,4.72342,0.019202283,4.8453116,14.386253,0.18132313
279259506,279107709,4028193,4.7361493,0.019126564,3.1073337,14.444777,0.07427154
279649597,279541959,4028193,4.742191,0.019076671,1.6887245,14.483246,0.021878079
280259588,280143412,4028193,4.7569804,0.019002387,4.139417,14.507044,0.1312372
280649798,280521575,4028193,4.766831,0.018953197,4.4081726,14.512982,0.14877091
281259712,281159033,4028193,4.783487,0.018879982,3.6502624,14.509913,0.10203304
281659765,281538300,4028193,4.7942386,0.018831404,4.221012,14.500893,0.13651991
282249815,282136789,4028193,4.8147073,0.01875902,4.889707,14.494848,0.18327765
282670037,282565677,4028193,4.8299403,0.018711118,6.4170194,14.50376,0.3154595
283259934,283106192,4028193,4.8472276,0.018639702,5.9672585,14.527673,0.27233982
283659933,283538354,4028193,4.856639,0.01859256,4.2255783,14.545698,0.136394
283860133,283754576,4028193,4.862024,0.018569093,4.213475,14.548693,0.13558587
284660046,284521340,4028193,4.871501,0.018475784,3.8689432,14.566755,0.1141772
285060235,284954303,4028193,4.883925,0.01842956,7.365222,14.563678,0.4138644
285670147,285545141,4028193,4.8977795,0.018360583,2.7485757,14.569674,0.057613343
285860141,285710759,4028193,4.9023213,0.018337676,3.604002,14.569651,0.099055454
286650282,286526059,4028193,4.921606,0.018246843,3.4451342,14.57867,0.09045902
287060290,286952247,4028193,4.928458,0.018201793,2.25352,14.578625,0.038704704
287660376,287556772,4028193,4.939937,0.018134624,1.4068351,14.581598,0.015081299
288260378,288147606,4028193,4.951277,0.01806793,3.6366653,14.584575,0.100755885
288660401,288522318,4028193,4.9567986,0.018023718,1.7739964,14.581488,0.023980659
289250450,289127579,4028193,4.969034,0.017957909,3.6967688,14.590556,0.10407112
289660553,289558102,4028193,4.975484,0.017914351,3.5978498,14.596613,0.09853521
290060715,289940393,4028193,4.9765487,0.017870963,0.10371399,14.599622,8.186355e-05
290660643,290539808,4028193,4.985679,0.017806344,3.56492,14.611789,0.096639276
291260683,291125006,4028193,4.9962454,0.017742157,2.0939565,14.599493,0.03336991
291660762,291551098,4028193,5.0049014,0.017699644,4.9166155,14.593347,0.18404968
292260769,292149965,4028193,5.014691,0.017636208,3.3717256,14.590234,0.08657643
292680825,292531816,4028193,5.023986,0.017594138,5.2604427,14.587145,0.21078117
293060820,292913866,4028193,5.025174,0.017552285,1.7137594,14.593199,0.022361798
293660897,293509445,4028193,5.031661,0.01748992,1.8172174,14.59924,0.025132807
294260994,294158762,4028193,5.0470166,0.017428098,3.1135254,14.60529,0.07374831
294660977,294537093,4028193,5.0507655,0.017387053,3.5143905,14.602192,0.09398088
295261017,295131673,4028193,5.0646734,0.017325932,6.4388475,14.617435,0.31513935
295661109,295510071,4028193,5.0705996,0.017285436,2.0236373,14.626602,0.031108525
296061068,295935683,4028193,5.0747504,0.017245194,2.0939126,14.626561,0.03330676
296661218,296539980,4028193,5.081548,0.017185196,1.1274571,14.635726,0.009650356
297051202,296914715,4028193,5.090752,0.01714541,4.020398,14.644929,0.12263327
297661265,297505671,4028193,5.093031,0.017086115,1.0138745,14.635627,0.0078039523
298261367,298157835,4028193,5.105998,0.017027268,2.216681,14.623272,0.037335273
298661348,298532527,4028193,5.1129656,0.01698816,3.1862845,14.620164,0.07715683
299061346,298914387,4028193,5.11564,0.016949235,-1.6306605,14.6109295,0.020221192
299651425,299508528,4028193,5.125195,0.01689115,2.6341329,14.592536,0.05283261
300061467,299941026,4028193,5.131268,0.016852641,2.4963474,14.574234,0.047509648
300681494,300539088,4028193,5.140726,0.016795062,3.158002,14.549935,0.07615899
301061607,300913785,4028193,5.145232,0.016756812,2.6718235,14.537826,0.054559905
301661618,301504755,4028193,5.154203,0.016699703,4.3489885,14.498755,0.14494503
302251671,302102866,4028193,5.1665955,0.016642893,4.344503,14.480805,0.14482547
302661783,302541870,4028193,5.1752234,0.016605288,2.8280993,14.483746,0.061357252
303071699,302919803,4028193,5.182159,0.01656778,3.4700985,14.489668,0.09233847
303662057,303517968,4028193,5.19612,0.01651187,5.4613304,14.4777,0.22890475
304061974,303950414,4028193,5.2067804,0.016474802,2.1468725,14.459855,0.035416532
304681855,304559248,4028193,5.209872,0.01641937,3.0225425,14.424399,0.07037276
305072036,304933932,4028193,5.21781,0.016382504,4.246156,14.409698,0.13902554
305481922,305323817,4028193,5.2221875,0.016345829,1.9637523,14.400886,0.029753748
306062031,305922913,4028193,5.2224574,0.016291067,-1.8325295,14.383335,0.025941785
306662051,306520812,4028193,5.2313385,0.016236626,2.3548975,14.371656,0.042874068
307062162,306953288,4028193,5.237394,0.016200565,3.145104,14.37162,0.076475404
307442126,307327820,4028193,5.2374644,0.016164588,-1.0436511,14.374487,0.008419298
307852268,307709739,4028193,5.239274,0.01612883,1.1454263,14.391911,0.010129157
308652265,308527287,4028193,5.242404,0.01605797,2.7805567,14.429917,0.05953291
309062302,308959699,4028193,5.2441382,0.01602288,0.70120907,14.444617,0.0037822174
310862409,310742933,4028193,5.243102,0.015866624,-0.4569993,14.429726,0.0016081646
311262470,311120760,4028193,5.241386,0.015832284,-0.7129216,14.432634,0.0039128703
312262493,312144137,4028193,5.240212,0.015747266,-0.29862785,14.447293,0.00068585394
315062734,314954385,4028193,5.241504,0.015514088,0.36991882,14.432315,0.0010534995
315462891,315339737,4028193,5.242612,0.015481277,0.45784473,14.420522,0.0016151504
315852789,315719190,4028193,5.244155,0.015448564,0.82572985,14.408761,0.0052578333
316062926,315935040,4028193,5.245204,0.015432284,0.97793484,14.402892,0.0073778126
316462836,316317114,4028193,5.2472525,0.015399755,0.9511709,14.394097,0.0069837742
317062864,316907940,4028193,5.2499957,0.015351195,1.090745,14.379484,0.009193071
317462911,317340848,4028193,5.2525797,0.015319022,1.1808133,14.370736,0.0107805515
318062953,317945928,4028193,5.2566733,0.015270936,1.0969248,14.359097,0.009310737
318483042,318378092,4028193,5.2584133,0.015239061,0.81139994,14.35328,0.0050965496
319053034,318919074,4028193,5.2630463,0.015191337,1.3618889,14.344571,0.014366576
319463053,319308746,4028193,5.2667284,0.015159723,1.9185414,14.3358965,0.02852824
320063164,319957552,4028193,5.2718177,0.015112609,1.3396573,14.338728,0.0139070265
320263176,320112100,4028193,5.2741942,0.015096882,2.25524,14.341594,0.03940448
321063359,320924806,4028193,5.2826815,0.015034601,1.6300254,14.341531,0.020584991
