timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
315796684,315697448,2.0168967,3.4598134,0.078323156,0.03443007,6.5048294,2.1455722,0.27565014,0.090237975
316794407,316695112,2.0224853,3.4214153,0.07863043,0.034470044,6.5048294,2.1455722,0.3019855,0.09024632
317801894,317702653,2.0285902,3.3835943,0.07896061,0.034493275,6.5048294,2.1455722,0.27195308,0.0902505
318789743,318690439,2.0563765,3.3365583,0.07922082,0.034563847,6.5048294,2.1455722,0.29893363,0.09021775
319797195,319697980,2.0597665,3.3344824,0.07942245,0.034681525,6.5048294,2.1455722,-0.037485156,0.0902144
320794939,320695642,2.0598967,3.3223329,0.07976227,0.034885656,6.5048294,2.1455722,0.18881245,0.090172805
321792529,321693304,2.0264919,3.2831666,0.08006498,0.03509932,6.5048294,2.1455722,0.44329995,0.09031388
322790324,322690966,2.0018039,3.247424,0.08038632,0.03531637,6.5048294,2.1455722,0.2233648,0.09019329
323797855,323698506,1.9973811,3.2277966,0.080757864,0.03549967,6.5048294,2.1455722,0.15780988,0.0901877
324795547,324696167,1.9966652,3.204261,0.08109608,0.03564094,6.5048294,2.1455722,0.19858912,0.09020708
325793052,325693828,1.9968667,3.1839204,0.081395164,0.035735205,6.5048294,2.1455722,0.20582455,0.09022838
326791083,326691488,1.9966501,3.1584885,0.08166918,0.0357884,6.5048294,2.1455722,0.20800734,0.0902483
327798619,327699027,1.9943743,3.1263578,0.08193181,0.035799976,6.5048294,2.1455722,0.22681226,0.09025012
328796077,328696687,1.9919823,3.1013305,0.08217872,0.03584697,6.5048294,2.1455722,0.20248966,0.09024065
329794012,329694347,1.9895118,3.0804837,0.082403965,0.035886355,6.5048294,2.1455722,0.20325616,0.09025227
330791328,330692007,1.986422,3.0569282,0.082605824,0.03586931,6.5048294,2.1455722,0.16274741,0.090262465
331799118,331699545,1.9842396,3.0382323,0.082790755,0.035857182,6.5048294,2.1455722,0.16596119,0.09028067
332796545,332697204,1.9828638,3.0213954,0.082964554,0.035821114,6.5048294,2.1455722,0.1268005,0.090294294
