timestamp,main_state_changes,main_state
217335257,2,1
217836724,2,1
218023842,3,3
218045650,3,3
218551647,3,3
219057647,3,3
219564106,3,3
220069909,3,3
220575648,3,3
221081667,3,3
221587648,3,3
222093669,3,3
222599661,3,3
223106656,3,3
223612646,3,3
224119847,3,3
224625667,3,3
225131647,3,3
225637647,3,3
226143647,3,3
226649651,3,3
227155666,3,3
227661667,3,3
228167647,3,3
228673646,3,3
229179887,3,3
229685648,3,3
230191648,3,3
230697808,3,3
231203676,3,3
231710109,3,3
232215647,3,3
232721646,3,3
233228716,3,3
233734646,3,3
234240667,3,3
234746646,3,3
235252666,3,3
235758665,3,3
236264649,3,3
236770647,3,3
237276647,3,3
237782720,3,3
238288795,3,3
238794647,3,3
239300805,3,3
239806646,3,3
240312648,3,3
240818667,3,3
241324646,3,3
241830981,3,3
242336646,3,3
242842648,3,3
243348656,3,3
243854661,3,3
244361647,3,3
244867648,3,3
245373662,3,3
245879646,3,3
246385647,3,3
246892649,3,3
247398667,3,3
247904646,3,3
248410646,3,3
248916647,3,3
249422645,3,3
249928666,3,3
250434647,3,3
250940647,3,3
251446989,3,3
251952666,3,3
252459156,3,3
252964645,3,3
253470645,3,3
253977646,3,3
254484309,3,3
254989646,3,3
255496646,3,3
256002666,3,3
256508963,3,3
257014647,3,3
257521646,3,3
258027646,3,3
258533935,3,3
259039715,3,3
259545645,3,3
260051643,3,3
260062994,3,3
260568796,3,3
261075652,3,3
261581645,3,3
262087854,3,3
262593816,3,3
263099644,3,3
263133028,3,3
263639649,3,3
264145646,3,3
264651645,3,3
265158244,3,3
265663649,3,3
266169667,3,3
266675661,3,3
267181647,3,3
267687646,3,3
268193645,3,3
268699647,3,3
268787646,3,3
269293645,3,3
269799647,3,3
270305654,3,3
270811647,3,3
271317645,3,3
271823707,3,3
272329646,3,3
272835646,3,3
273341645,3,3
273847647,3,3
274354646,3,3
274860668,3,3
275366646,3,3
275872646,3,3
276378645,3,3
276884660,3,3
277390667,3,3
277896646,3,3
278402660,3,3
278908647,3,3
279414648,3,3
279920647,3,3
280426668,3,3
280932659,3,3
281438669,3,3
281945053,3,3
282450646,3,3
282956646,3,3
283462645,3,3
283968647,3,3
284475129,3,3
284980647,3,3
285486646,3,3
285992646,3,3
286499645,3,3
287005646,3,3
287511645,3,3
288017646,3,3
288523892,3,3
289029676,3,3
289535645,3,3
290041647,3,3
290547733,3,3
291053647,3,3
291559646,3,3
292065671,3,3
292571648,3,3
293077646,3,3
293583646,3,3
294089737,3,3
294596010,3,3
295101646,3,3
295607645,3,3
296113646,3,3
296619646,3,3
297125647,3,3
297631665,3,3
298137646,3,3
298643680,3,3
299149667,3,3
299655648,3,3
300161645,3,3
300667646,3,3
301173734,3,3
301679646,3,3
302185646,3,3
302691891,3,3
303197665,3,3
303703646,3,3
304210160,3,3
304715647,3,3
305221968,3,3
305728677,3,3
306234939,3,3
306742323,3,3
307247666,3,3
307753646,3,3
308260238,3,3
308765678,3,3
309271645,3,3
309778691,3,3
310285019,3,3
310790659,3,3
311296680,3,3
311802941,3,3
