timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
237900559,237900025,0.83676845,0.019346192,-0.004776353,0.5471941,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
238400607,238400070,0.836672,0.021884877,0.0002394643,0.5472668,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
238900666,238900116,0.8342703,0.021431243,0.0005985496,0.5509387,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
239400814,239400162,0.83040535,0.020711605,-0.004182688,0.55675906,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
239905504,239905208,0.82558995,0.02534263,-0.001991335,0.5636976,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
240405584,240405254,0.8219382,0.022309205,-0.004697908,0.5691202,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
240905581,240905300,0.81858647,0.019526532,-0.004463597,0.57403404,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
241400901,241400346,0.8169522,0.017195757,-0.00019506532,0.57644886,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
241900954,241900392,0.81634647,0.014369076,0.0050063254,0.57736206,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
242400989,242400438,0.81360334,0.015780132,0.008661573,0.5811416,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
242901032,242900485,0.8139576,0.014706776,0.009431595,0.58066154,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
243405825,243405531,0.81817144,0.014219144,0.0053174356,0.5747739,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
243905850,243905578,0.8208612,0.016962206,-0.004269193,0.5708599,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
244405922,244405625,0.81973284,0.024315478,-0.0071212896,0.5721855,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
244901155,244900671,0.81814325,0.024750318,-0.008587419,0.5744173,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
245401376,245400718,0.81669027,0.019071914,-0.010116383,0.57667243,-0.99832785,-2.438307e-09,1.7469284e-10,0.057806443,4
