"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
1,1,1377696469.74116,36.660693,126.342028,15.9
1,1,1377696469.94118,36.660692,126.342028,16.5
1,1,1377696470.14131,36.660692,126.342028,17
1,1,1377696470.34132,36.660692,126.342028,17.6
1,1,1377696470.54132,36.660692,126.342028,18.2
1,1,1377696470.74146,36.660692,126.342028,18.8
1,1,1377696470.94146,36.660692,126.342028,19.4
1,1,1377696471.14151,36.660692,126.342028,19.9
1,1,1377696471.34162,36.660692,126.342028,20.5
1,1,1377696471.54163,36.660692,126.342028,21.1
1,1,1377696471.74173,36.660692,126.342028,21.6
1,1,1377696471.94181,36.660692,126.342028,22.2
1,1,1377696472.14182,36.660692,126.342029,22.8
1,1,1377696472.34196,36.660691,126.342029,23.4
1,1,1377696472.5418,36.660692,126.342029,23.9
1,1,1377696472.74185,36.660692,126.342029,24.5
1,1,1377696472.94192,36.660692,126.342029,25.1
1,1,1377696473.14199,36.660692,126.342029,25.7
1,1,1377696473.34202,36.660692,126.342029,26.3
1,1,1377696473.54204,36.660692,126.342029,26.9
1,1,1377696473.74208,36.660692,126.342029,27.5
1,1,1377696473.94213,36.660693,126.342029,28.1
1,1,1377696474.14217,36.660693,126.342029,28.6
1,1,1377696474.34226,36.660693,126.342029,29.2
1,1,1377696474.54235,36.660693,126.342028,29.8
1,1,1377696474.7423,36.660693,126.342028,30.3
1,1,1377696474.94237,36.660693,126.342028,30.9
1,1,1377696475.1425,36.660693,126.342028,31.5
1,1,1377696475.34243,36.660693,126.342028,32.1
1,1,1377696475.54245,36.660693,126.342028,32.7
1,1,1377696475.7425,36.660693,126.342028,33.2
1,1,1377696475.94257,36.660693,126.342028,33.8
1,1,1377696476.14259,36.660693,126.342028,34.4
1,1,1377696476.34267,36.660693,126.342028,35
1,1,1377696476.54267,36.660693,126.342028,35.6
1,1,1377696476.74276,36.660693,126.342028,36.1
1,1,1377696476.94269,36.660693,126.342028,36.7
1,1,1377696477.14286,36.660692,126.342028,37.3
1,1,1377696477.34291,36.660692,126.342028,37.9
1,1,1377696477.54288,36.660692,126.342027,38.4
1,1,1377696477.74292,36.660692,126.342027,39
1,1,1377696477.94312,36.660692,126.342027,39.6
1,1,1377696478.14301,36.660692,126.342027,40.1
1,1,1377696478.3431,36.660693,126.342027,40.7
1,1,1377696478.5431,36.660693,126.342027,41.2
1,1,1377696478.74315,36.660693,126.342027,41.8
1,1,1377696478.94329,36.660693,126.342027,42.4
1,1,1377696479.14327,36.660693,126.342027,42.9
1,1,1377696479.34328,36.660693,126.342027,43.5
1,1,1377696479.54337,36.660693,126.342028,44
1,1,1377696479.74341,36.660693,126.342028,44.6
1,1,1377696479.94343,36.660693,126.342028,45.1
1,1,1377696480.14353,36.660693,126.342028,45.6
1,1,1377696480.34357,36.660693,126.342029,46.1
1,1,1377696480.54357,36.660693,126.342029,46.5
1,1,1377696480.74361,36.660693,126.342029,46.9
1,1,1377696480.94372,36.660693,126.342029,47.3
1,1,1377696481.14369,36.660693,126.342029,47.6
1,1,1377696481.34374,36.660693,126.342028,47.8
1,1,1377696481.54378,36.660693,126.342028,48.1
1,1,1377696481.74385,36.660693,126.342028,48.3
1,1,1377696481.94387,36.660693,126.342028,48.5
1,1,1377696482.14391,36.660693,126.342028,48.6
1,1,1377696482.34402,36.660693,126.342028,48.8
1,1,1377696482.54398,36.660693,126.342028,48.9
1,1,1377696482.74405,36.660693,126.342027,49
1,1,1377696482.94419,36.660692,126.342028,49.1
1,1,1377696483.14412,36.660692,126.342028,49.2
1,1,1377696483.34422,36.660692,126.342028,49.3
1,1,1377696483.54433,36.660692,126.342028,49.3
1,1,1377696483.74427,36.660692,126.342028,49.4
1,1,1377696483.94431,36.660692,126.342028,49.5
1,1,1377696484.14439,36.660692,126.342028,49.6
1,1,1377696484.3444,36.660693,126.342028,49.6
1,1,1377696484.54449,36.660694,126.342028,49.7
1,1,1377696484.74455,36.660695,126.342028,49.7
1,1,1377696484.9446,36.660696,126.342027,49.7
1,1,1377696485.14459,36.660696,126.342027,49.7
1,1,1377696485.34467,36.660698,126.342027,49.8
1,1,1377696485.54469,36.6607,126.342027,49.8
1,1,1377696485.74477,36.660703,126.342028,49.8
1,1,1377696485.94475,36.660707,126.342028,49.8
